episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,53000,96.852254,3,2,1478,370,player_destroyed,False,2,5,754.0,114.7552,33,20,0.606061,0.606061,2,206.0,Pulse Cannon,1,2,0,0,0,3,0,0,0,regen:1,3,0.2,0.5081081081081081,172.31424773184935,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 340}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 29.12, ""frames"": 532}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 0, ""boss_hits"": 3, ""contacts"": 0, ""damage"": 71.63520000000001, ""frames"": 606}}"
2,53001,42.787769,2,1,1125,282,player_destroyed,False,6,3,894.0,108.808,37,23,0.621622,0.621622,2,148.0,Rapid Pulse,1,1,0,0,0,0,0,1,0,fire_rate:1;drone:1,7,0.39361702127659576,0.4326241134751773,173.43192564477852,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 468}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 80.808, ""frames"": 657}}"
3,53002,121.506012,3,2,1542,386,player_destroyed,False,9,5,1737.775,101.696,58,53,0.913793,0.913793,3,248.0,Pulse Cannon,2,2,0,0,0,0,0,1,0,engine:1;drone:1;critical:1,6,0.16321243523316062,0.3626943005181347,166.79266633958554,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 376}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 29.12, ""frames"": 572}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 72.57600000000001, ""frames"": 594}}"
4,53003,50.461257,2,1,630,158,player_destroyed,False,0,4,517.5,100.8,35,19,0.542857,0.542857,2,142.0,Rapid Pulse,1,1,0,0,0,0,0,0,0,fire_rate:1,7,0.2974683544303797,0.5189873417721519,138.25411429575612,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 260}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 72.8, ""frames"": 370}}"
5,53004,43.543865,2,1,939,235,player_destroyed,False,6,3,782.0,100.8,41,22,0.536585,0.536585,2,148.0,Nova Payload,1,1,0,0,0,0,0,1,0,splash:1;drone:1,7,0.39148936170212767,0.4340425531914894,73.34980883459187,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 456}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 72.8, ""frames"": 483}}"
6,53005,118.699884,3,2,1200,300,player_destroyed,False,8,5,1599.05,116.9504,98,63,0.642857,0.642857,3,242.0,Multi-Beam Array,2,2,0,0,1,0,0,0,0,multishot:1;engine:1,6,0.13666666666666666,0.25333333333333335,241.49781441986786,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 388}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.56, ""frames"": 476}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 74.3904, ""frames"": 336}}"
7,53006,282.047542,4,3,5534,1384,phase_timeout,True,28,10,4221.84,87.9424,135,76,0.562963,0.562963,4,664.0,Pulse Cannon,3,2,1,0,3,1,1,1,0,damage:1;engine:1;drone:1;riftbreaker:1,8,0.2622832369942196,0.7304913294797688,135.47197023994457,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 300}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.56, ""frames"": 484}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 3, ""boss_hits"": 1, ""contacts"": 2, ""damage"": 42.022400000000005, ""frames"": 1092}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 31.360000000000003, ""frames"": 3658}}"
8,53007,110.894892,3,2,1270,318,player_destroyed,False,5,5,1334.2125,145.2864,62,40,0.645161,0.645161,2,224.0,Pulse Cannon,1,2,0,0,1,1,0,1,0,drone:1,8,0.24528301886792453,0.5471698113207547,93.79790283631034,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 56.0, ""frames"": 368}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 29.12, ""frames"": 500}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 1, ""contacts"": 2, ""damage"": 60.16640000000001, ""frames"": 402}}"
9,53008,114.664284,3,2,1338,335,player_destroyed,False,5,5,1485.6,110.4544,50,46,0.92,0.92,2,224.0,Pulse Cannon,1,2,0,0,0,1,0,1,0,damage:1;drone:1,6,0.19402985074626866,0.6477611940298508,186.32049995187407,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 356}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 576}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 96.4544, ""frames"": 406}}"
10,53009,42.0364,2,1,988,247,player_destroyed,False,6,3,723.0,108.808,41,19,0.463415,0.463415,2,148.0,Pulse Cannon,1,1,0,0,0,0,0,1,0,damage:1;drone:1,7,0.21052631578947367,0.46153846153846156,164.25076965622407,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 480}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 80.808, ""frames"": 508}}"
