episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,53000,379.466865,4,3,5080,1270,phase_timeout,True,148,7,11601.5755,38.248,347,341,0.982709,0.982709,5,1369.0,Nova Payload,4,2,1,1,3,0,1,2,0,damage:2;splash:1;drone:2;artifact:1,3,0.5771653543307087,0.12755905511811025,72.93252695985248,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 224}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 22.568, ""frames"": 568}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 628}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 15.680000000000001, ""frames"": 3660}}"
2,53001,639.697466,6,5,7285,1822,player_destroyed,False,150,16,16308.6438,155.292,497,468,0.94165,0.94165,6,1920.0,Rapid Pulse,5,4,1,4,9,1,1,2,0,damage:2;fire_rate:1;drone:2;capacitor:1;artifact:1,10,0.20142700329308452,0.2854006586169045,109.09279477984326,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 504}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 668}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 496}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 15.680000000000001, ""frames"": 2532}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 25.171999999999997, ""frames"": 732}, ""6"": {""boss_casts"": 12, ""boss_dodges"": 7, ""boss_hits"": 1, ""contacts"": 4, ""damage"": 114.44, ""frames"": 2353}}"
3,53002,366.472866,5,4,3282,821,player_destroyed,False,42,13,5205.44,113.68,211,181,0.85782,0.85782,4,860.0,Nova Payload,3,3,1,0,1,0,1,0,0,damage:1;splash:1;regen:1,7,0.10962241169305725,0.18392204628501826,129.0975816248683,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 592}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 336}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 840}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 952}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 113.67999999999998, ""frames"": 562}}"
4,53003,494.298721,6,5,4008,1002,player_destroyed,False,74,16,8502.1712,123.624,271,255,0.940959,0.940959,5,1164.0,Nova Payload,4,4,1,0,2,1,1,2,0,hull:1;splash:1;drone:2;capacitor:1,9,0.1317365269461078,0.1157684630738523,105.87292134435053,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 204}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 448}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 18.144000000000002, ""frames"": 636}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 31.360000000000003, ""frames"": 1016}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 0.0, ""frames"": 1216}, ""6"": {""boss_casts"": 3, ""boss_dodges"": 1, ""boss_hits"": 1, ""contacts"": 4, ""damage"": 74.12, ""frames"": 488}}"
5,53004,828.089307,9,8,4103,1026,player_destroyed,False,70,27,13337.4799,133.756,465,409,0.87957,0.87957,6,1741.0,Multi-Beam Array,5,6,2,1,2,0,2,2,0,damage:1;multishot:2;drone:2;critical:2;artifact:1,11,0.09941520467836257,0.11598440545808966,149.25165330241435,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 284}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 468}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 368}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 536}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 500}, ""6"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 40.32, ""frames"": 368}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 26.908, ""frames"": 584}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 0.0, ""frames"": 556}, ""9"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 66.52799999999999, ""frames"": 439}}"
6,53005,221.862821,4,3,2445,612,player_destroyed,False,21,7,2909.09,142.1482,133,121,0.909774,0.909774,4,607.0,Pulse Cannon,3,2,1,1,1,1,1,0,0,shield:1;critical:1;riftbreaker:1;artifact:1,9,0.12745098039215685,0.29901960784313725,123.45093370841492,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 372}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 336}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 1, ""boss_hits"": 1, ""contacts"": 0, ""damage"": 21.490560000000002, ""frames"": 944}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 9, ""damage"": 120.6576, ""frames"": 793}}"
7,53006,839.89299,9,8,4350,1088,player_destroyed,False,86,27,14440.7733,154.092,540,484,0.896296,0.896296,6,1837.0,Multi-Beam Array,5,6,2,1,2,1,2,2,0,multishot:2;drone:2;critical:2;artifact:2,8,0.1332720588235294,0.13143382352941177,114.86567003211853,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 260}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 300}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 432}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 688}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 648}, ""6"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 0.0, ""frames"": 348}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 26.908, ""frames"": 832}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 444}, ""9"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 1, ""contacts"": 4, ""damage"": 127.184, ""frames"": 398}}"
8,53007,319.373934,4,3,4877,1220,phase_timeout,True,55,10,5569.44,22.568,240,236,0.983333,0.983333,5,901.0,Nova Payload,4,2,1,1,1,0,1,0,0,multishot:3;splash:1;artifact:1,2,0.013114754098360656,0.0,125.58618340758863,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 408}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 22.568, ""frames"": 452}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 360}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 3657}}"
9,53008,469.71149,6,5,2520,630,player_destroyed,False,40,16,7170.9861,128.44,240,221,0.920833,0.920833,5,960.0,Nova Payload,4,4,1,0,1,1,1,2,0,damage:1;multishot:1;splash:1;drone:2;critical:1;artifact:1,6,0.14761904761904762,0.15396825396825398,126.0632057741742,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 244}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 368}, ""3"": {""boss_casts"": 1, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 284}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 572}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 572}, ""6"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 1, ""contacts"": 4, ""damage"": 114.44, ""frames"": 480}}"
10,53009,524.052529,6,5,4700,1175,player_destroyed,False,90,16,9975.4248,175.48,322,290,0.900621,0.900621,6,1410.0,Rapid Pulse,5,4,1,2,4,1,1,2,0,damage:1;fire_rate:1;engine:1;drone:2;capacitor:1,10,0.1804255319148936,0.03404255319148936,117.03841874681805,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 456}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 544}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 684}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 884}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 81.19999999999999, ""frames"": 1324}, ""6"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 1, ""contacts"": 3, ""damage"": 94.28, ""frames"": 808}}"
