episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,53000,113.523137,3,2,1179,295,player_destroyed,False,3,5,1314.375,113.1648,48,41,0.854167,0.854167,2,212.0,Pulse Cannon,1,2,0,0,0,2,0,1,0,homing:1;drone:1,4,0.19661016949152543,0.5389830508474577,160.83313620208827,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 344}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 29.12, ""frames"": 444}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 2, ""contacts"": 2, ""damage"": 84.04480000000001, ""frames"": 391}}"
2,53001,119.957003,3,2,1607,402,player_destroyed,False,8,5,1510.95,112.6048,81,38,0.469136,0.469136,3,242.0,Pulse Cannon,2,2,0,0,1,2,0,1,0,engine:1;drone:1,6,0.23134328358208955,0.6119402985074627,161.01373205312908,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 360}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.56, ""frames"": 640}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 1, ""boss_hits"": 2, ""contacts"": 4, ""damage"": 84.04480000000001, ""frames"": 607}}"
3,53002,121.877433,3,2,1711,428,player_destroyed,False,10,5,1752.05,117.4096,56,42,0.75,0.75,3,254.0,Rapid Pulse,2,2,0,0,2,1,0,1,0,damage:1;fire_rate:1;drone:1,5,0.1658878504672897,0.5210280373831776,162.28389567848618,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 404}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 29.12, ""frames"": 556}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 3, ""damage"": 88.28960000000002, ""frames"": 751}}"
4,53003,41.505799,2,1,946,237,player_destroyed,False,6,3,844.0,100.8,39,23,0.589744,0.589744,2,148.0,Pulse Cannon,1,1,0,0,0,0,0,1,0,engine:1;drone:1,7,0.4472573839662447,0.47257383966244726,77.46958460516453,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 256}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 72.8, ""frames"": 690}}"
5,53004,97.804069,3,2,1525,382,player_destroyed,False,0,5,723.0,113.7024,35,18,0.514286,0.514286,2,194.0,Pulse Cannon,1,2,0,0,2,1,0,0,0,critical:1,6,0.2198952879581152,0.7120418848167539,155.38376869134416,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 360}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 43.68, ""frames"": 384}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 1, ""damage"": 42.022400000000005, ""frames"": 781}}"
6,53005,98.774615,3,2,952,238,player_destroyed,False,3,5,732.0,106.3104,70,27,0.385714,0.385714,2,212.0,Multi-Beam Array,1,2,0,0,0,1,0,0,0,multishot:1,5,0.23109243697478993,0.5294117647058824,92.50722698475909,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 368}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 276}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 1, ""contacts"": 3, ""damage"": 78.31040000000002, ""frames"": 308}}"
7,53006,234.351211,4,3,1968,492,player_destroyed,False,14,9,2828.9887,122.64,150,87,0.58,0.58,4,550.0,Multi-Beam Array,3,2,1,0,2,0,1,2,0,damage:1;multishot:1;drone:2;artifact:1,10,0.22764227642276422,0.5853658536585366,157.37411739669528,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 268}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.56, ""frames"": 604}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 0.0, ""frames"": 456}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 94.08000000000001, ""frames"": 640}}"
8,53007,38.999548,2,1,1011,253,player_destroyed,False,4,3,652.0,101.92,36,24,0.666667,0.666667,2,136.0,Pulse Cannon,1,1,0,0,0,0,0,0,0,engine:1,7,0.3675889328063241,0.5217391304347826,150.8990202889393,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 336}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 101.92, ""frames"": 675}}"
9,53008,109.142907,3,2,2170,543,player_destroyed,False,11,5,1453.8297,177.4528,52,31,0.596154,0.596154,3,260.0,Pulse Cannon,2,2,0,0,4,2,0,2,0,engine:1;drone:2,8,0.23572744014732966,0.4972375690607735,179.91440519023442,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 376}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 29.12, ""frames"": 540}, ""3"": {""boss_casts"": 6, ""boss_dodges"": 4, ""boss_hits"": 2, ""contacts"": 4, ""damage"": 120.3328, ""frames"": 1254}}"
10,53009,24.343842,2,1,674,169,player_destroyed,False,1,2,579.5,118.832,24,18,0.75,0.75,2,88.0,Pulse Cannon,1,1,0,0,0,0,0,1,0,damage:1;drone:1,6,0.39644970414201186,0.591715976331361,193.4819479431278,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 424}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 104.83200000000001, ""frames"": 250}}"
11,53010,127.10566,3,2,3025,757,player_destroyed,False,23,5,2261.1375,195.776,78,39,0.5,0.5,3,332.0,Prism Laser,2,2,0,0,5,5,0,1,0,laser:1;drone:1;leech:1,5,0.1083223249669749,0.6142668428005285,260.0958514342632,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 188}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 58.24, ""frames"": 672}, ""3"": {""boss_casts"": 10, ""boss_dodges"": 5, ""boss_hits"": 5, ""contacts"": 1, ""damage"": 137.536, ""frames"": 2165}}"
12,53011,94.26111,3,2,1303,326,player_destroyed,False,1,5,679.0,114.5984,43,17,0.395349,0.395349,2,200.0,Multi-Beam Array,1,2,0,0,1,1,0,0,0,multishot:1,6,0.24539877300613497,0.7055214723926381,274.92701325958484,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 224}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 472}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 1, ""boss_hits"": 1, ""contacts"": 6, ""damage"": 114.59840000000001, ""frames"": 607}}"
13,53012,119.213993,3,2,1967,492,player_destroyed,False,10,5,1570.75,129.9738,62,38,0.612903,0.612903,3,254.0,Pulse Cannon,2,2,0,0,4,1,0,1,0,shield:1;regen:1;drone:1,9,0.15853658536585366,0.4247967479674797,171.36060296781912,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 264}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 43.68, ""frames"": 580}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 4, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 72.29376, ""frames"": 1123}}"
