episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary
1,22000,226.442037,4,3,1571,393,player_destroyed,False,12,8,2511.0,118.384,90,82,0.911111,0.911111,5,691.0,Pulse Cannon,4,2,1,1,2,0,1,0,0,damage:1;homing:1;critical:1;riftbreaker:1;artifact:1
2,22001,136.026325,3,2,1690,423,player_destroyed,False,16,5,2209.0,117.12,98,96,0.979592,0.979592,3,353.0,Rapid Pulse,2,2,0,0,1,1,0,0,0,fire_rate:2
3,22002,109.665634,3,2,1167,292,player_destroyed,False,7,5,1448.55,134.4,61,56,0.918033,0.918033,3,281.0,Pulse Cannon,2,2,0,0,1,0,0,0,0,hull:1;capacitor:1
4,22003,214.982449,4,3,1786,447,player_destroyed,False,15,8,2720.6121,193.952,84,78,0.928571,0.928571,5,625.0,Prism Laser,4,2,1,0,0,1,1,3,0,laser:1;regen:1;drone:3
5,22004,560.05416,7,6,3985,997,player_destroyed,False,45,19,7297.2399,131.852,224,208,0.928571,0.928571,7,1475.0,Multi-Beam Array,6,4,2,0,1,0,2,3,0,fire_rate:1;multishot:1;homing:1;regen:1;drone:3;riftbreaker:1;artifact:1
6,22005,121.949147,3,2,1094,274,player_destroyed,False,9,5,1585.575,108.864,49,48,0.979592,0.979592,3,297.0,Pulse Cannon,2,2,0,0,1,0,0,1,0,damage:1;drone:1;capacitor:1
7,22006,585.114061,7,6,3464,866,player_destroyed,False,49,20,8051.2066,250.556,332,272,0.819277,0.819277,8,1632.0,Multi-Beam Array,7,4,2,1,0,1,2,2,0,damage:1;fire_rate:1;multishot:1;drone:2;capacitor:1;leech:1;riftbreaker:1;artifact:1
8,22007,815.678226,9,8,3967,992,player_destroyed,False,68,27,12534.3331,160.2112,401,362,0.902743,0.902743,9,1989.0,Multi-Beam Array,8,6,2,0,1,2,2,3,0,damage:1;multishot:2;shield:1;drone:3;capacitor:1;critical:1;riftbreaker:1;artifact:2
9,22008,342.698631,5,4,2395,599,player_destroyed,False,28,13,4115.35,183.092,134,124,0.925373,0.925373,6,929.0,Prism Laser,5,3,1,0,2,0,1,1,0,laser:1;regen:1;drone:1;critical:1;artifact:1
10,22009,117.428914,3,2,1027,257,player_destroyed,False,10,5,1465.05,113.536,48,43,0.895833,0.895833,3,305.0,Pulse Cannon,2,2,0,0,0,1,0,1,0,damage:1;drone:1;capacitor:1
11,22010,124.559432,3,2,1183,296,player_destroyed,False,12,5,1841.25,117.12,75,64,0.853333,0.853333,3,321.0,Nova Payload,2,2,0,0,1,1,0,0,0,splash:1;critical:1
12,22011,28.142568,1,0,3600,900,phase_timeout,True,27,1,1450.0,0.0,60,58,0.966667,0.966667,3,251.0,Prism Laser,2,0,0,0,0,0,0,0,0,fire_rate:1;laser:1
13,22012,565.470373,7,6,3328,832,player_destroyed,False,49,19,8232.7196,261.1404,301,261,0.86711,0.86711,7,1507.0,Multi-Beam Array,6,4,2,0,2,2,2,3,0,multishot:1;shield:1;drone:3;critical:2;riftbreaker:1
14,22013,227.552742,4,3,1610,403,player_destroyed,False,15,8,2763.75,129.104,79,77,0.974684,0.974684,5,625.0,Prism Laser,4,2,1,0,1,1,1,1,0,fire_rate:2;laser:1;splash:1;drone:1;artifact:1
15,22014,111.765624,3,2,977,245,player_destroyed,False,8,5,1360.175,108.664,45,43,0.955556,0.955556,3,289.0,Pulse Cannon,2,2,0,0,0,1,0,1,0,homing:1;regen:1;drone:1
16,22015,459.370587,6,5,2185,547,player_destroyed,False,32,16,5845.775,122.848,223,202,0.90583,0.90583,6,1181.0,Nova Payload,5,4,1,1,1,1,1,1,0,damage:1;multishot:2;splash:1;drone:1;artifact:1
17,22016,29.2985,1,0,3600,900,phase_timeout,True,27,1,1536.25,14.0,64,61,0.953125,0.953125,3,251.0,Prism Laser,2,0,0,0,0,0,0,0,0,laser:1;critical:1
18,22017,1236.288292,12,11,5289,1323,player_destroyed,False,119,38,22791.5266,247.04,664,570,0.858434,0.858434,11,3277.0,Prism Laser,10,8,3,3,1,1,3,3,0,damage:2;multishot:2;laser:1;regen:1;drone:3;capacitor:1;riftbreaker:2;artifact:1
19,22018,26.53783,1,0,3600,900,phase_timeout,True,26,1,1450.0,0.0,64,58,0.90625,0.90625,3,243.0,Multi-Beam Array,2,0,0,0,0,0,0,0,0,multishot:2
20,22019,27.316584,1,0,3600,900,phase_timeout,True,28,1,1550.0,14.0,64,62,0.96875,0.96875,3,259.0,Multi-Beam Array,2,0,0,0,0,0,0,0,0,damage:1;multishot:1
