episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary
1,9400,-33.85003,1,0,924,231,player_destroyed,False,7,0,378.75,112.0,27,15,0.555556,0.555556,2,56.0,Prism Laser,1,0,0,0,0,0,0,0,0,laser:1
2,9401,-34.216907,1,0,941,236,player_destroyed,False,6,0,350.0,112.0,26,14,0.538462,0.538462,1,48.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
3,9402,-29.268896,1,0,1001,251,player_destroyed,False,9,0,500.0,112.0,29,20,0.689655,0.689655,2,72.0,Pulse Cannon,1,0,0,0,0,0,0,0,0,regen:1
4,9403,34.773266,1,0,3600,900,phase_timeout,True,37,1,2074.0,14.0,198,46,0.232323,0.232323,3,331.0,Multi-Beam Array,2,0,0,0,0,0,0,1,0,multishot:1;drone:1
5,9404,-36.349705,1,0,730,183,player_destroyed,False,5,0,275.0,112.0,22,11,0.5,0.5,1,40.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
6,9405,135.173213,3,2,2917,730,player_destroyed,False,30,5,2649.5782,107.76,89,56,0.629213,0.629213,4,465.0,Pulse Cannon,3,2,0,0,2,3,0,2,0,damage:1;homing:1;drone:2
7,9406,-26.137371,1,0,1307,327,player_destroyed,False,13,0,675.0,112.0,53,27,0.509434,0.509434,2,104.0,Rapid Pulse,1,0,0,0,0,0,0,0,0,fire_rate:1
8,9407,29.674839,1,0,3600,900,phase_timeout,True,35,1,1850.0,42.0,217,73,0.336406,0.336406,3,315.0,Multi-Beam Array,2,0,0,0,0,0,0,0,0,multishot:1;critical:1
9,9408,26.520395,1,0,3600,900,phase_timeout,True,28,1,1550.0,14.0,170,62,0.364706,0.364706,3,259.0,Multi-Beam Array,2,0,0,0,0,0,0,0,0,fire_rate:1;multishot:1
10,9409,-35.235481,1,0,530,133,player_destroyed,False,2,0,150.0,112.0,17,6,0.352941,0.352941,1,16.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
11,9410,-22.654615,1,0,1462,366,player_destroyed,False,16,0,825.0,112.0,50,33,0.66,0.66,2,128.0,Nova Payload,1,0,0,0,0,0,0,0,0,splash:1
12,9411,-33.401196,1,0,573,144,player_destroyed,False,5,0,300.0,112.0,16,12,0.75,0.75,1,40.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
13,9412,-33.739872,1,0,679,170,player_destroyed,False,4,0,225.0,112.0,18,9,0.5,0.5,1,32.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
14,9413,-22.881824,1,0,1255,314,player_destroyed,False,16,0,800.0,126.0,41,32,0.780488,0.780488,2,128.0,Pulse Cannon,1,0,0,0,0,0,0,0,0,leech:1
15,9414,-27.367598,1,0,1052,263,player_destroyed,False,11,0,575.0,112.0,38,23,0.605263,0.605263,2,88.0,Rapid Pulse,1,0,0,0,0,0,0,0,0,fire_rate:1
16,9415,-38.450313,1,0,375,94,player_destroyed,False,1,0,100.0,112.0,8,4,0.5,0.5,1,8.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
17,9416,-38.805477,1,0,890,223,player_destroyed,False,7,0,400.0,112.0,30,16,0.533333,0.533333,2,56.0,Pulse Cannon,1,0,0,0,0,0,0,0,0,capacitor:1
18,9417,-12.027742,1,0,2290,573,player_destroyed,False,26,0,1325.0,112.0,77,53,0.688312,0.688312,3,208.0,Rapid Pulse,2,0,0,0,0,0,0,0,0,fire_rate:1;homing:1
19,9418,143.378058,2,1,6148,1537,phase_timeout,True,90,3,5225.5,129.36,204,118,0.578431,0.578431,5,850.0,Pulse Cannon,4,1,0,0,0,0,0,1,0,damage:1;drone:1;leech:2
20,9419,42.98634,2,1,2266,567,player_destroyed,False,19,2,1357.0,101.92,72,20,0.277778,0.277778,3,247.0,Pulse Cannon,2,1,0,0,0,0,0,1,0,regen:1;drone:1
