episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary
1,9400,-39.052049,1,0,686,172,player_destroyed,False,0,0,0.0,112.0,22,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
2,9401,-38.880288,1,0,670,168,player_destroyed,False,0,0,0.0,112.0,22,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
3,9402,-39.486699,1,0,1073,269,player_destroyed,False,0,0,25.0,112.0,41,1,0.02439,0.02439,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
4,9403,-39.465441,1,0,718,180,player_destroyed,False,0,0,0.0,112.0,27,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
5,9404,-39.123251,1,0,720,180,player_destroyed,False,0,0,0.0,112.0,17,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
6,9405,-38.502839,1,0,540,135,player_destroyed,False,0,0,0.0,112.0,22,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
7,9406,-38.15539,1,0,376,94,player_destroyed,False,0,0,25.0,112.0,17,1,0.058824,0.058824,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
8,9407,-38.241038,1,0,800,200,player_destroyed,False,1,0,125.0,112.0,29,5,0.172414,0.172414,1,8.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
9,9408,-39.824468,1,0,466,117,player_destroyed,False,0,0,0.0,112.0,18,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
10,9409,-37.574052,1,0,645,162,player_destroyed,False,1,0,125.0,112.0,21,5,0.238095,0.238095,1,8.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
11,9410,-38.303698,1,0,942,236,player_destroyed,False,0,0,50.0,112.0,36,2,0.055556,0.055556,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
12,9411,-38.957618,1,0,532,133,player_destroyed,False,0,0,0.0,112.0,17,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
13,9412,-39.26456,1,0,933,234,player_destroyed,False,0,0,25.0,112.0,33,1,0.030303,0.030303,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
14,9413,-39.578639,1,0,1086,272,player_destroyed,False,0,0,0.0,112.0,41,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
15,9414,-37.136926,1,0,466,117,player_destroyed,False,1,0,75.0,112.0,16,3,0.1875,0.1875,1,8.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
16,9415,-37.903646,1,0,362,91,player_destroyed,False,0,0,50.0,112.0,13,2,0.153846,0.153846,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
17,9416,-37.381637,1,0,380,95,player_destroyed,False,0,0,50.0,112.0,9,2,0.222222,0.222222,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
18,9417,-39.082478,1,0,744,186,player_destroyed,False,0,0,25.0,112.0,27,1,0.037037,0.037037,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
19,9418,-35.568618,1,0,989,248,player_destroyed,False,4,0,300.0,112.0,39,12,0.307692,0.307692,1,32.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
20,9419,-39.030945,1,0,464,116,player_destroyed,False,0,0,50.0,126.0,15,2,0.133333,0.133333,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,
