episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary
1,23000,120.912067,3,2,1301,326,player_destroyed,False,10,5,1647.1,101.136,56,48,0.857143,0.857143,3,305.0,Rapid Pulse,2,2,0,0,3,0,0,1,0,fire_rate:1;piercing:1;drone:1
2,23001,451.297372,6,5,2340,585,player_destroyed,False,29,16,5768.3773,110.64,248,196,0.790323,0.790323,6,1157.0,Multi-Beam Array,5,4,1,1,0,1,1,3,0,damage:1;multishot:1;homing:1;drone:3;riftbreaker:1
3,23002,110.376637,3,2,1800,450,player_destroyed,False,8,5,1534.5123,122.832,50,30,0.6,0.6,3,289.0,Pulse Cannon,2,2,0,0,2,1,0,2,0,hull:1;drone:2
4,23003,108.278832,3,2,1505,377,player_destroyed,False,7,5,1268.8,120.368,50,30,0.6,0.6,3,281.0,Pulse Cannon,2,2,0,0,1,1,0,1,0,damage:1;engine:1;drone:1
5,23004,244.178199,4,3,1899,475,player_destroyed,False,22,9,3043.8777,123.2,249,99,0.39759,0.39759,5,716.0,Prism Laser,4,2,1,0,1,0,1,2,0,multishot:2;laser:1;drone:2;artifact:1
6,23005,114.136619,3,2,1648,412,player_destroyed,False,7,5,1632.45,113.536,59,38,0.644068,0.644068,3,281.0,Pulse Cannon,2,2,0,0,2,1,0,1,0,damage:1;drone:1;critical:1
7,23006,115.441544,3,2,1422,356,player_destroyed,False,12,5,1996.475,177.064,83,58,0.698795,0.698795,3,321.0,Multi-Beam Array,2,2,0,0,1,2,0,1,0,damage:1;multishot:1;drone:1
8,23007,54.759983,2,1,654,164,player_destroyed,False,2,4,725.5,109.928,29,21,0.724138,0.724138,2,181.0,Pulse Cannon,1,1,0,0,0,0,0,1,0,engine:1;drone:1
9,23008,976.715268,10,9,4947,1237,player_destroyed,False,99,32,17137.8487,314.928,760,575,0.756579,0.756579,10,2677.0,Prism Laser,9,6,3,1,0,2,3,2,0,multishot:3;laser:1;homing:3;drone:2;leech:1
10,23009,124.273333,3,2,1351,338,player_destroyed,False,9,5,1726.8,105.248,117,72,0.615385,0.615385,3,297.0,Multi-Beam Array,2,2,0,0,1,1,0,0,0,multishot:2
11,23010,94.866221,3,2,1227,307,player_destroyed,False,2,5,707.5,173.48,30,26,0.866667,0.866667,3,241.0,Pulse Cannon,2,2,0,0,0,2,0,0,0,range:1;leech:1
12,23011,121.448254,3,2,1168,292,player_destroyed,False,8,5,1682.6,114.624,74,53,0.716216,0.716216,3,289.0,Pulse Cannon,2,2,0,0,0,2,0,1,0,range:1;drone:1;critical:1
13,23012,122.3149,3,2,1047,262,player_destroyed,False,5,5,1504.2,108.864,65,61,0.938462,0.938462,3,265.0,Multi-Beam Array,2,2,0,0,1,0,0,0,0,multishot:1;homing:1
14,23013,122.300166,3,2,1696,424,player_destroyed,False,13,5,1856.02,102.224,75,47,0.626667,0.626667,3,329.0,Pulse Cannon,2,2,0,0,2,1,0,1,0,damage:1;drone:1;riftbreaker:1
15,23014,242.710824,4,3,2322,581,player_destroyed,False,24,9,3718.8619,194.4,148,123,0.831081,0.831081,5,732.0,Multi-Beam Array,4,2,1,0,1,1,1,2,0,hull:1;multishot:1;homing:1;drone:2
16,23015,60.01574,2,1,764,191,player_destroyed,False,5,4,813.5,101.36,31,27,0.870968,0.870968,3,205.0,Pulse Cannon,2,1,0,0,0,0,0,1,0,engine:1;homing:1;drone:1
17,23016,112.598515,3,2,1083,271,player_destroyed,False,8,5,1268.25,112.672,94,47,0.5,0.5,3,289.0,Multi-Beam Array,2,2,0,0,0,0,0,0,0,multishot:1;piercing:1
18,23017,259.222898,4,3,1947,487,player_destroyed,False,27,9,3784.3,135.632,184,129,0.701087,0.701087,5,846.0,Multi-Beam Array,4,2,1,1,1,0,1,1,0,multishot:1;homing:2;drone:1;artifact:1
19,23018,62.84069,2,1,680,170,player_destroyed,False,6,4,962.5,101.92,35,33,0.942857,0.942857,3,213.0,Pulse Cannon,2,1,0,0,0,0,0,1,0,homing:2;drone:1
20,23019,109.09719,3,2,1388,347,player_destroyed,False,4,5,1092.6,106.368,51,37,0.72549,0.72549,3,257.0,Pulse Cannon,2,2,0,0,1,1,0,0,0,damage:1;engine:1
