episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_defenders_destroyed,boss_immune_hits,missiles_evaded,missile_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,252000,156.163071,5,2,3076,769,player_destroyed,False,40,5,3965.5563,220.1628,190,177,0.931579,0.931579,4,651.0,Pulse Cannon,3,1,1,0,3,2,2,10,0,1,1,1,0,regen:2;drone:1;artifact:1,10,0.16905071521456436,0.28998699609882966,92.87206865796175,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 3, ""boss_hits"": 2, ""contacts"": 1, ""damage"": 77.50280000000001, ""frames"": 1108}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 30.939999999999998, ""frames"": 828}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 111.72000000000003, ""frames"": 1140}}"
2,252001,3833.15721,27,24,17211,4303,player_destroyed,False,613,85,141110.6061,730.6626,4331,3798,0.876934,0.876934,18,9863.0,Prism Laser,17,16,8,10,27,4,31,279,1,13,8,3,0,hull:1;damage:3;multishot:4;range:1;laser:1;splash:1;shield:1;regen:1;drone:2;capacitor:1;riftbreaker:1;weapon_mastery:1;drone_mastery:1;artifact:2,40,0.23843829886125958,0.19869858238438298,101.32845783980002,"{""10"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 380}, ""11"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 444}, ""12"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 0.0, ""frames"": 660}, ""13"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 972}, ""14"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 568}, ""15"": {""boss_casts"": 6, ""boss_dodges"": 3, ""boss_hits"": 1, ""contacts"": 2, ""damage"": 100.99199999999999, ""frames"": 920}, ""16"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 0.0, ""frames"": 696}, ""17"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 580}, ""18"": {""boss_casts"": 6, ""boss_dodges"": 4, ""boss_hits"": 1, ""contacts"": 3, ""damage"": 106.5384, ""frames"": 724}, ""19"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 552}, ""20"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 436}, ""21"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 28.116, ""frames"": 564}, ""22"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 0.0, ""frames"": 1268}, ""23"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 824}, ""24"": {""boss_casts"": 7, ""boss_dodges"": 4, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 146.088, ""frames"": 856}, ""25"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 0.0, ""frames"": 1664}, ""26"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 564}, ""27"": {""boss_casts"": 5, ""boss_dodges"": 3, ""boss_hits"": 1, ""contacts"": 8, ""damage"": 172.54800000000003, ""frames"": 659}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 11.770000000000001, ""frames"": 856}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 46.41, ""frames"": 456}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 15.96, ""frames"": 484}, ""6"": {""boss_casts"": 2, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 28.717, ""frames"": 480}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 468}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 588}, ""9"": {""boss_casts"": 3, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 73.5232, ""frames"": 548}}"
3,252002,271.470289,6,3,2650,663,player_destroyed,False,31,8,4804.0341,156.649,312,279,0.894231,0.894231,5,718.0,Multi-Beam Array,4,2,1,0,7,1,4,69,0,2,1,0,0,damage:1;fire_rate:1;multishot:2,11,0.19004524886877827,0.10407239819004525,110.11683454233199,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 47.722, ""frames"": 940}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 46.41, ""frames"": 404}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 0.0, ""frames"": 536}, ""6"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 1, ""contacts"": 1, ""damage"": 62.517, ""frames"": 770}}"
4,252003,429.28859,7,4,4692,1173,player_destroyed,False,65,10,8281.7091,293.726,280,276,0.985714,0.985714,6,1367.0,Pulse Cannon,5,2,2,2,12,0,5,9,2,2,2,1,0,hull:1;damage:1;regen:1;drone:1;riftbreaker:1,23,0.3273657289002558,0.18073316283034954,76.85556151627608,"{""3"": {""boss_casts"": 4, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 47.722, ""frames"": 876}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 15.469999999999999, ""frames"": 1212}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 15.96, ""frames"": 476}, ""6"": {""boss_casts"": 8, ""boss_dodges"": 8, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 79.054, ""frames"": 1656}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 11, ""damage"": 135.51999999999998, ""frames"": 472}}"
5,252004,283.434614,6,3,2297,575,player_destroyed,False,26,8,4256.0051,118.3084,205,194,0.946341,0.946341,5,683.0,Multi-Beam Array,4,2,1,0,5,1,5,17,1,0,1,1,0,fire_rate:1;multishot:2;engine:1;drone:1;artifact:1,7,0.16695652173913045,0.1426086956521739,109.06624700293692,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 3, ""boss_hits"": 1, ""contacts"": 0, ""damage"": 23.878400000000003, ""frames"": 968}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 15.469999999999999, ""frames"": 496}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 416}, ""6"": {""boss_casts"": 2, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 78.96, ""frames"": 417}}"
6,252005,713.815355,9,6,4512,1128,player_destroyed,False,80,19,12674.3653,196.412,429,400,0.932401,0.932401,8,2004.0,Multi-Beam Array,7,4,2,4,8,0,9,26,0,2,2,3,0,damage:3;fire_rate:1;multishot:1;drone:3;critical:1;artifact:2,13,0.2225177304964539,0.1675531914893617,97.77875510074452,"{""3"": {""boss_casts"": 4, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 57.6088, ""frames"": 896}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 628}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 788}, ""6"": {""boss_casts"": 3, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 608}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 528}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 532}, ""9"": {""boss_casts"": 3, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 138.8032, ""frames"": 532}}"
7,252006,323.803946,6,3,4176,1044,player_destroyed,False,57,8,6309.1165,275.761,243,239,0.983539,0.983539,5,900.0,Rapid Pulse,4,2,1,0,10,0,4,8,4,1,1,2,0,hull:1;fire_rate:1;drone:2;leech:1,20,0.328544061302682,0.07567049808429119,63.78586581038798,"{""3"": {""boss_casts"": 6, ""boss_dodges"": 6, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 107.856, ""frames"": 1264}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 0.0, ""frames"": 672}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 95.76000000000002, ""frames"": 1268}, ""6"": {""boss_casts"": 5, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 72.145, ""frames"": 972}}"
8,252007,78.676632,4,1,1379,345,player_destroyed,False,11,3,1687.5439,140.2384,90,89,0.988889,0.988889,3,352.0,Pulse Cannon,2,0,1,0,3,1,2,10,0,2,1,0,0,hull:1;capacitor:1;artifact:1,6,0.16231884057971013,0.05507246376811594,64.41091578774136,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 3, ""boss_hits"": 1, ""contacts"": 0, ""damage"": 47.418400000000005, ""frames"": 900}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 92.82, ""frames"": 479}}"
9,252008,680.018642,9,6,5359,1340,player_destroyed,False,101,19,13565.8938,264.298,595,525,0.882353,0.882353,7,1896.0,Nova Payload,6,4,2,1,10,1,8,38,0,4,2,3,0,damage:1;fire_rate:1;multishot:1;splash:1;drone:3;capacitor:1;artifact:1,14,0.22686567164179106,0.1291044776119403,125.9256018385441,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 5, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 62.1028, ""frames"": 1104}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 556}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 0.0, ""frames"": 616}, ""6"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 35.532, ""frames"": 520}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 33.879999999999995, ""frames"": 1056}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 34.86, ""frames"": 708}, ""9"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 1, ""contacts"": 1, ""damage"": 97.9232, ""frames"": 799}}"
10,252009,318.408996,6,3,5718,1430,player_destroyed,False,73,8,7664.1206,343.2384,380,373,0.981579,0.981579,5,1012.0,Pulse Cannon,4,2,1,0,18,3,2,14,0,4,1,0,0,leech:1;riftbreaker:1,13,0.15804195804195803,0.057342657342657345,83.97856838392336,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 4, ""boss_hits"": 1, ""contacts"": 0, ""damage"": 70.95840000000001, ""frames"": 1004}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 61.879999999999995, ""frames"": 544}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 63.84, ""frames"": 828}, ""6"": {""boss_casts"": 17, ""boss_dodges"": 14, ""boss_hits"": 2, ""contacts"": 5, ""damage"": 146.56, ""frames"": 3342}}"
