episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_defenders_destroyed,boss_immune_hits,missiles_evaded,missile_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,232000,-2.845159,3,0,981,246,player_destroyed,False,7,0,1053.25,113.7584,65,51,0.784615,0.784615,1,49.0,Pulse Cannon,0,0,0,0,4,1,2,0,1,0,0,0,0,,5,0.3821138211382114,0.08130081300813008,63.10754737879394,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 4, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 113.7584, ""frames"": 981}}"
2,232001,337.05843,6,3,3420,855,player_destroyed,False,49,8,6595.868,161.111,424,295,0.695755,0.695755,5,929.0,Multi-Beam Array,4,2,1,1,7,0,5,24,0,2,1,0,0,hull:1;fire_rate:1;multishot:1;critical:1;artifact:1,7,0.13450292397660818,0.08304093567251462,128.3640052069296,"{""3"": {""boss_casts"": 7, ""boss_dodges"": 5, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 29.746000000000002, ""frames"": 1340}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 444}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 744}, ""6"": {""boss_casts"": 5, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 131.36499999999998, ""frames"": 892}}"
3,232002,2247.273479,18,15,15087,3772,player_destroyed,False,345,52,58147.8554,332.386,1867,1554,0.832351,0.832351,14,6008.0,Nova Payload,13,10,5,8,27,2,21,146,8,6,5,4,0,damage:3;fire_rate:1;multishot:2;splash:2;homing:1;regen:1;drone:4;critical:1;riftbreaker:1;artifact:2,17,0.14581124072110285,0.08218451749734888,116.03830151898903,"{""10"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 724}, ""11"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 544}, ""12"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 0.0, ""frames"": 716}, ""13"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 520}, ""14"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 372}, ""15"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 624}, ""16"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 452}, ""17"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 444}, ""18"": {""boss_casts"": 7, ""boss_dodges"": 5, ""boss_hits"": 2, ""contacts"": 0, ""damage"": 136.3, ""frames"": 931}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 5, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 83.674, ""frames"": 1088}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 1264}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 0.0, ""frames"": 1748}, ""6"": {""boss_casts"": 10, ""boss_dodges"": 8, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 19.74, ""frames"": 1948}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1516}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 984}, ""9"": {""boss_casts"": 7, ""boss_dodges"": 5, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 92.67200000000001, ""frames"": 1212}}"
4,232003,304.778132,6,3,2957,740,player_destroyed,False,38,8,5456.7087,150.141,286,252,0.881119,0.881119,5,767.0,Multi-Beam Array,4,2,1,0,8,0,5,18,0,4,1,0,0,hull:1;damage:1;multishot:1;capacitor:1;artifact:1,8,0.16216216216216217,0.0918918918918919,97.30975885994752,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 29.746000000000002, ""frames"": 956}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 61.879999999999995, ""frames"": 640}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 564}, ""6"": {""boss_casts"": 4, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 58.515, ""frames"": 797}}"
5,232004,293.696721,6,3,2699,675,player_destroyed,False,34,8,5205.1256,140.794,408,212,0.519608,0.519608,5,824.0,Multi-Beam Array,4,2,1,1,5,1,5,10,0,2,1,1,0,multishot:3;drone:1;capacitor:1;artifact:1,5,0.09333333333333334,0.38666666666666666,128.6838783382668,"{""3"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 17.976, ""frames"": 776}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 508}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 644}, ""6"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 4, ""damage"": 122.81800000000001, ""frames"": 771}}"
6,232005,412.722612,6,3,8025,2007,phase_timeout,True,112,8,10768.7733,210.788,534,407,0.762172,0.762172,6,1285.0,Nova Payload,5,2,1,0,25,3,2,1,1,2,1,1,0,splash:1;regen:2;drone:1;capacitor:1,8,0.0817140009965122,0.02391629297458894,127.65275837840433,"{""3"": {""boss_casts"": 7, ""boss_dodges"": 7, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 77.468, ""frames"": 1456}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 0.0, ""frames"": 1540}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 31.92, ""frames"": 772}, ""6"": {""boss_casts"": 22, ""boss_dodges"": 18, ""boss_hits"": 3, ""contacts"": 0, ""damage"": 101.4, ""frames"": 4257}}"
7,232006,1877.68318,16,13,12870,3218,player_destroyed,False,313,43,52154.2381,440.9933,1855,1360,0.733154,0.733154,13,5507.0,Prism Laser,12,8,5,9,25,1,17,100,1,6,5,4,0,damage:1;fire_rate:2;multishot:1;laser:1;splash:1;homing:1;drone:3;critical:2;leech:1;riftbreaker:1;drone_mastery:1;artifact:1,27,0.12119328775637042,0.11715351149782474,120.76961421134138,"{""10"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1000}, ""11"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 704}, ""12"": {""boss_casts"": 7, ""boss_dodges"": 6, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 0.0, ""frames"": 1220}, ""13"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 880}, ""14"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 0.0, ""frames"": 716}, ""15"": {""boss_casts"": 10, ""boss_dodges"": 6, ""boss_hits"": 1, ""contacts"": 0, ""damage"": 91.58, ""frames"": 1444}, ""16"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 11, ""damage"": 161.19249999999997, ""frames"": 586}, ""3"": {""boss_casts"": 7, ""boss_dodges"": 6, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 80.07879999999999, ""frames"": 1340}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 15.469999999999999, ""frames"": 532}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1132}, ""6"": {""boss_casts"": 4, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 844}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 996}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 732}, ""9"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 92.672, ""frames"": 744}}"
8,232007,386.736748,6,3,5572,1393,player_destroyed,False,72,8,8745.8525,158.096,382,291,0.76178,0.76178,6,1175.0,Nova Payload,5,2,1,2,18,0,4,27,2,5,1,1,0,hull:1;splash:1;drone:1;critical:1;riftbreaker:1,8,0.14501076812634603,0.05025125628140704,114.8299064312004,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 5, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 53.286, ""frames"": 1012}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 968}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 816}, ""6"": {""boss_casts"": 14, ""boss_dodges"": 13, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 104.80999999999999, ""frames"": 2776}}"
9,232008,1367.93035,12,9,14075,3519,player_destroyed,False,306,30,40450.3858,304.487,1126,1195,1.0,1.061279,11,4274.0,Prism Laser,10,6,3,5,32,3,9,53,3,7,3,2,0,fire_rate:1;laser:1;piercing:2;splash:1;shield:1;regen:1;drone:1;critical:2;drone_mastery:1;artifact:2,11,0.12901392441034384,0.0733162830349531,108.94568827033098,"{""10"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 2008}, ""11"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1088}, ""12"": {""boss_casts"": 8, ""boss_dodges"": 5, ""boss_hits"": 1, ""contacts"": 4, ""damage"": 133.37856, ""frames"": 1251}, ""3"": {""boss_casts"": 6, ""boss_dodges"": 4, ""boss_hits"": 1, ""contacts"": 1, ""damage"": 65.3944, ""frames"": 1216}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 704}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 692}, ""6"": {""boss_casts"": 16, ""boss_dodges"": 15, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 3208}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 45.738, ""frames"": 1024}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 980}, ""9"": {""boss_casts"": 11, ""boss_dodges"": 8, ""boss_hits"": 1, ""contacts"": 0, ""damage"": 59.976, ""frames"": 1904}}"
10,232009,-36.718317,3,0,726,182,player_destroyed,False,4,0,709.25,113.4548,43,36,0.837209,0.837209,1,28.0,Pulse Cannon,0,0,0,0,1,2,1,3,0,1,0,0,0,,3,0.3626373626373626,0.21978021978021978,56.14372191346868,"{""3"": {""boss_casts"": 4, ""boss_dodges"": 1, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 113.45479999999999, ""frames"": 726}}"
