episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_defenders_destroyed,boss_immune_hits,missiles_evaded,missile_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,212000,913.403911,9,6,8089,2023,player_destroyed,False,169,22,21890.7647,154.221,941,649,0.689692,0.689692,9,2644.0,Prism Laser,8,4,2,3,18,1,8,16,1,1,2,3,0,fire_rate:1;multishot:1;laser:1;splash:1;drone:3;critical:2;artifact:1,9,0.1166584280771132,0.12061295106277806,112.01315220378855,"{""3"": {""boss_casts"": 7, ""boss_dodges"": 7, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 36.288000000000004, ""frames"": 1524}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 2176}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 608}, ""6"": {""boss_casts"": 8, ""boss_dodges"": 7, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 12.925, ""frames"": 1612}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 688}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 536}, ""9"": {""boss_casts"": 5, ""boss_dodges"": 4, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 105.008, ""frames"": 945}}"
2,212001,-39.534823,3,0,765,192,player_destroyed,False,5,0,975.25,115.7732,55,47,0.854545,0.854545,1,35.0,Pulse Cannon,0,0,0,0,2,2,0,1,0,1,0,0,0,,2,0.2916666666666667,0.0,68.80515642324671,"{""3"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 2, ""contacts"": 2, ""damage"": 115.77320000000002, ""frames"": 765}}"
3,212002,-22.083056,3,0,765,192,player_destroyed,False,5,0,761.85,102.1888,48,41,0.854167,0.854167,1,35.0,Pulse Cannon,0,0,0,0,2,2,1,3,0,0,0,0,0,,3,0.21354166666666666,0.14583333333333334,73.33730871164794,"{""3"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 102.18880000000001, ""frames"": 765}}"
4,212003,90.639651,4,1,2294,574,player_destroyed,False,26,2,2751.5353,171.3552,150,131,0.873333,0.873333,4,423.0,Rapid Pulse,3,0,1,0,6,0,2,9,1,4,1,0,0,fire_rate:1;capacitor:1;critical:1,11,0.23170731707317074,0.16202090592334495,88.84384248679022,"{""3"": {""boss_casts"": 6, ""boss_dodges"": 6, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 61.595200000000006, ""frames"": 1264}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 10, ""damage"": 109.76, ""frames"": 1030}}"
5,212004,7.76853,3,0,1188,297,player_destroyed,False,7,0,1157.55,114.26,70,55,0.785714,0.785714,1,49.0,Pulse Cannon,0,0,0,0,5,0,2,0,2,2,0,0,0,,5,0.27946127946127947,0.06397306397306397,54.67387206145783,"{""3"": {""boss_casts"": 6, ""boss_dodges"": 5, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 114.26000000000002, ""frames"": 1188}}"
6,212005,133.300969,4,1,3421,856,player_destroyed,False,33,2,3148.7625,208.6212,218,148,0.678899,0.678899,4,557.0,Pulse Cannon,3,0,1,1,12,0,2,2,0,1,1,0,0,regen:1;critical:1;riftbreaker:1,16,0.2441588785046729,0.03271028037383177,97.99657038927822,"{""3"": {""boss_casts"": 12, ""boss_dodges"": 12, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 98.86120000000001, ""frames"": 2520}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 11, ""damage"": 109.76000000000002, ""frames"": 901}}"
7,212006,109.749842,4,1,1920,480,player_destroyed,False,23,2,2587.0445,142.138,126,117,0.928571,0.928571,4,487.0,Nova Payload,3,0,1,1,6,0,2,0,1,1,1,0,0,splash:1;homing:1;regen:1;artifact:1,9,0.29375,0.12083333333333333,82.75360980999938,"{""3"": {""boss_casts"": 6, ""boss_dodges"": 6, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 48.05800000000001, ""frames"": 1228}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 94.08000000000001, ""frames"": 692}}"
8,212007,-18.948587,3,0,723,181,player_destroyed,False,4,0,747.3,114.26,48,44,0.916667,0.916667,1,28.0,Pulse Cannon,0,0,0,0,3,0,1,6,0,2,0,0,0,,5,0.39226519337016574,0.0,42.82297245418979,"{""3"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 114.26000000000002, ""frames"": 723}}"
9,212008,356.668297,6,3,2782,696,player_destroyed,False,45,11,6800.4668,154.548,352,303,0.860795,0.860795,5,1003.0,Nova Payload,4,2,1,1,5,0,3,22,0,3,1,0,0,fire_rate:1;multishot:1;splash:1;homing:1,11,0.257183908045977,0.010057471264367816,88.83749687514552,"{""3"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 48.05800000000001, ""frames"": 784}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 812}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 456}, ""6"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 106.49, ""frames"": 730}}"
10,212009,-1.376127,3,0,1189,298,player_destroyed,False,7,0,968.45,117.0052,68,50,0.735294,0.735294,1,49.0,Pulse Cannon,0,0,0,0,5,0,1,4,1,1,0,0,0,,6,0.25838926174496646,0.053691275167785234,86.92518670968637,"{""3"": {""boss_casts"": 6, ""boss_dodges"": 5, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 117.00520000000002, ""frames"": 1189}}"
