episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_defenders_destroyed,boss_immune_hits,missiles_evaded,missile_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,242000,375.478816,7,4,3725,932,player_destroyed,False,53,9,7439.1681,316.913,277,301,1.0,1.086643,6,1164.0,Prism Laser,5,2,2,1,7,1,5,5,1,4,2,0,0,hull:1;fire_rate:1;laser:1;piercing:1;splash:1;artifact:1,19,0.2607296137339056,0.12875536480686695,89.46243970201145,"{""3"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 41.516000000000005, ""frames"": 740}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 15.469999999999999, ""frames"": 804}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 15.96, ""frames"": 872}, ""6"": {""boss_casts"": 5, ""boss_dodges"": 4, ""boss_hits"": 1, ""contacts"": 2, ""damage"": 99.13, ""frames"": 1024}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 11, ""damage"": 144.837, ""frames"": 285}}"
2,242001,683.69974,9,6,5326,1332,player_destroyed,False,102,19,14343.6246,233.5164,717,582,0.811715,0.811715,8,1903.0,Prism Laser,7,4,2,1,7,2,8,84,1,5,2,4,0,fire_rate:1;multishot:1;laser:1;splash:1;drone:4;capacitor:1;artifact:1,10,0.1906906906906907,0.13213213213213212,112.13153787656458,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 3, ""boss_hits"": 1, ""contacts"": 3, ""damage"": 85.9812, ""frames"": 964}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 420}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 664}, ""6"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 35.532, ""frames"": 780}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1068}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 752}, ""9"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 4, ""damage"": 112.00319999999999, ""frames"": 678}}"
3,242002,717.173184,9,6,5497,1375,player_destroyed,False,103,19,15720.5648,303.423,409,529,1.0,1.293399,8,1995.0,Prism Laser,7,4,2,2,12,3,9,17,1,3,2,1,0,hull:1;fire_rate:1;range:1;laser:1;piercing:1;homing:1;drone:1;critical:1;artifact:1,12,0.17963636363636365,0.030545454545454546,101.9284158593671,"{""3"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 29.746000000000002, ""frames"": 724}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 412}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 31.92, ""frames"": 448}, ""6"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 1, ""contacts"": 2, ""damage"": 86.205, ""frames"": 872}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1008}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 596}, ""9"": {""boss_casts"": 8, ""boss_dodges"": 6, ""boss_hits"": 2, ""contacts"": 6, ""damage"": 155.552, ""frames"": 1437}}"
4,242003,316.633312,6,3,3463,866,player_destroyed,False,48,8,6022.4092,148.5108,228,258,1.0,1.131579,5,1007.0,Pulse Cannon,4,2,1,2,8,0,2,0,0,1,1,0,0,damage:1;piercing:1;capacitor:1;critical:1;artifact:1,13,0.2528868360277136,0.10046189376443418,96.55793224497266,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 5, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 93.5608, ""frames"": 1088}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 15.469999999999999, ""frames"": 800}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 0.0, ""frames"": 880}, ""6"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 39.48, ""frames"": 695}}"
5,242004,342.245765,6,3,4142,1036,player_destroyed,False,54,8,6449.3841,119.125,299,232,0.77592,0.77592,5,879.0,Nova Payload,4,2,1,0,12,0,4,15,0,2,1,2,0,fire_rate:1;splash:2;drone:2;artifact:1,5,0.0945945945945946,0.1476833976833977,116.58122577168959,"{""3"": {""boss_casts"": 8, ""boss_dodges"": 7, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 11.770000000000001, ""frames"": 1588}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 15.469999999999999, ""frames"": 800}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 616}, ""6"": {""boss_casts"": 6, ""boss_dodges"": 5, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 91.88499999999999, ""frames"": 1138}}"
6,242005,696.133454,9,6,4447,1112,player_destroyed,False,82,19,12900.5296,142.922,583,456,0.782161,0.782161,7,1848.0,Multi-Beam Array,6,4,2,2,9,1,8,70,1,3,2,2,0,damage:1;multishot:2;homing:1;drone:2;riftbreaker:2,5,0.09892086330935251,0.15197841726618705,110.03180973762458,"{""3"": {""boss_casts"": 4, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 11.770000000000001, ""frames"": 820}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 536}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 760}, ""6"": {""boss_casts"": 4, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 872}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 548}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 376}, ""9"": {""boss_casts"": 3, ""boss_dodges"": 1, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 131.15200000000002, ""frames"": 535}}"
7,242006,534.378203,7,4,7020,1755,player_destroyed,False,114,10,13079.0482,240.8244,532,438,0.823308,0.823308,7,1795.0,Nova Payload,6,2,2,3,19,1,5,24,3,3,2,2,0,splash:1;engine:1;homing:1;regen:1;drone:2,13,0.15156695156695157,0.11794871794871795,91.96697503572466,"{""3"": {""boss_casts"": 7, ""boss_dodges"": 5, ""boss_hits"": 1, ""contacts"": 1, ""damage"": 77.1644, ""frames"": 1368}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 584}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 948}, ""6"": {""boss_casts"": 16, ""boss_dodges"": 14, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 78.96, ""frames"": 3228}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 84.69999999999999, ""frames"": 892}}"
8,242007,1378.80769,13,10,9961,2491,player_destroyed,False,266,32,38470.042,438.8774,1464,1304,0.89071,0.89071,11,4235.0,Prism Laser,10,6,4,5,17,3,13,75,2,3,4,2,0,fire_rate:1;multishot:1;laser:1;homing:1;regen:1;drone:2;capacitor:1;critical:1;leech:1;riftbreaker:1;artifact:3,22,0.09995985547972702,0.04937775993576877,126.2740332417246,"{""10"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 2024}, ""11"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 640}, ""12"": {""boss_casts"": 10, ""boss_dodges"": 9, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1680}, ""13"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 14, ""damage"": 198.79999999999998, ""frames"": 821}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 1, ""damage"": 53.6244, ""frames"": 744}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 592}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 520}, ""6"": {""boss_casts"": 4, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 52.405, ""frames"": 812}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 716}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 640}, ""9"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 2, ""contacts"": 2, ""damage"": 134.048, ""frames"": 772}}"
9,242008,324.00222,6,3,4184,1046,player_destroyed,False,52,8,6386.2619,123.7064,286,230,0.804196,0.804196,5,865.0,Rapid Pulse,4,2,1,0,10,1,5,20,2,4,1,2,0,fire_rate:1;shield:1;drone:2;capacitor:1;artifact:1,5,0.09177820267686425,0.02581261950286807,107.43335020123556,"{""3"": {""boss_casts"": 6, ""boss_dodges"": 5, ""boss_hits"": 1, ""contacts"": 0, ""damage"": 23.878400000000003, ""frames"": 1264}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 872}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 884}, ""6"": {""boss_casts"": 6, ""boss_dodges"": 5, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 99.82799999999997, ""frames"": 1164}}"
10,242009,-20.033881,3,0,626,157,player_destroyed,False,4,0,732.5,107.5524,43,37,0.860465,0.860465,1,28.0,Pulse Cannon,0,0,0,0,2,1,2,0,0,1,0,0,0,,4,0.3821656050955414,0.0,47.00803092540263,"{""3"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 4, ""damage"": 107.55239999999999, ""frames"": 626}}"
