episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_defenders_destroyed,boss_immune_hits,missiles_evaded,missile_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,241000,1033.076712,10,9,8549,2138,player_destroyed,False,201,25,25009.6632,402.3512,654,748,1.0,1.143731,9,3029.0,Rapid Pulse,8,6,3,1,15,0,9,11,0,5,3,2,0,damage:3;fire_rate:1;piercing:1;drone:2;critical:1;leech:1;artifact:1,24,0.20907390084190833,0.25257249766136575,107.49904776227167,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 360}, ""10"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 15, ""damage"": 220.92, ""frames"": 1669}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 380}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 29.746000000000002, ""frames"": 1040}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 412}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 56.65800000000001, ""frames"": 624}, ""6"": {""boss_casts"": 6, ""boss_dodges"": 5, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 1236}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 904}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 820}, ""9"": {""boss_casts"": 6, ""boss_dodges"": 6, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 95.02720000000001, ""frames"": 1104}}"
2,241001,407.054598,6,5,2769,693,player_destroyed,False,31,12,5738.1051,124.55,247,223,0.902834,0.902834,5,995.0,Multi-Beam Array,4,4,1,1,5,0,3,39,0,2,1,2,0,damage:1;fire_rate:1;multishot:1;homing:1;drone:2;artifact:1,7,0.15584415584415584,0.16305916305916307,140.34996812143527,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 192}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 216}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 616}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 600}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 520}, ""6"": {""boss_casts"": 3, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 124.54999999999998, ""frames"": 625}}"
3,241002,2195.396547,18,17,9786,2447,player_destroyed,False,250,56,53512.4048,269.9898,1615,1398,0.865635,0.865635,13,5365.0,Nova Payload,12,12,5,6,17,2,17,94,1,1,5,3,0,damage:3;multishot:2;piercing:1;splash:2;regen:1;drone:3;capacitor:1;leech:1;weapon_mastery:1;artifact:2,12,0.09603596240294238,0.22108704536166734,131.0798091625162,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 244}, ""10"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 556}, ""11"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 456}, ""12"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 348}, ""13"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 488}, ""14"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 0.0, ""frames"": 600}, ""15"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 50.064, ""frames"": 640}, ""16"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 508}, ""17"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 644}, ""18"": {""boss_casts"": 11, ""boss_dodges"": 6, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 200.18580000000003, ""frames"": 1406}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 364}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 640}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 204}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 508}, ""6"": {""boss_casts"": 3, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 19.74, ""frames"": 620}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 400}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 556}, ""9"": {""boss_casts"": 3, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 604}}"
4,241003,380.078701,6,5,2815,704,player_destroyed,False,34,12,5542.3976,141.7695,307,225,0.732899,0.732899,5,1016.0,Nova Payload,4,4,1,1,2,1,4,52,1,4,1,3,0,fire_rate:1;multishot:1;splash:1;drone:3;artifact:1,4,0.125,0.265625,144.9269446290258,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 440}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 136}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 29.746000000000002, ""frames"": 588}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 39.448499999999996, ""frames"": 436}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 612}, ""6"": {""boss_casts"": 3, ""boss_dodges"": 1, ""boss_hits"": 1, ""contacts"": 0, ""damage"": 72.575, ""frames"": 603}}"
5,241004,1675.656848,15,14,9571,2393,player_destroyed,False,207,45,36498.0952,326.9294,1150,1081,0.94,0.94,11,4206.0,Prism Laser,10,10,4,3,16,4,16,65,1,5,4,6,0,damage:1;fire_rate:1;multishot:3;laser:1;piercing:1;drone:6;capacitor:1;artifact:1,20,0.1525282072712077,0.10196406184705391,124.7737145137414,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 352}, ""10"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 560}, ""11"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 572}, ""12"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 1, ""contacts"": 4, ""damage"": 43.16, ""frames"": 720}, ""13"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 524}, ""14"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 20.37, ""frames"": 600}, ""15"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 1, ""contacts"": 3, ""damage"": 135.436, ""frames"": 655}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 564}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 0, ""damage"": 47.418400000000005, ""frames"": 648}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 532}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 636}, ""6"": {""boss_casts"": 6, ""boss_dodges"": 5, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 66.465, ""frames"": 1180}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 0.0, ""frames"": 792}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 632}, ""9"": {""boss_casts"": 3, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 14.08, ""frames"": 604}}"
6,241005,500.508208,6,5,6792,1698,player_destroyed,False,124,12,11216.41,175.8014,489,352,0.719836,0.719836,7,1561.0,Prism Laser,6,4,1,0,5,1,4,2,1,3,1,1,0,damage:1;laser:1;drone:1;critical:3;artifact:1,8,0.10482921083627797,0.22379269729093051,107.74377837778282,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 204}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1120}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 3, ""damage"": 77.8064, ""frames"": 676}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 3028}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1008}, ""6"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 97.99499999999999, ""frames"": 756}}"
7,241006,1629.25709,14,13,8080,2020,player_destroyed,False,212,44,34882.6056,216.7734,1234,980,0.794165,0.794165,11,4264.0,Prism Laser,10,9,4,4,9,1,13,37,1,1,4,4,0,damage:1;multishot:2;laser:1;splash:1;drone:4;capacitor:2;critical:1;riftbreaker:1;artifact:1,19,0.15792079207920792,0.1613861386138614,122.46236716442476,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 196}, ""10"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 624}, ""11"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 580}, ""12"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 15.235, ""frames"": 640}, ""13"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 748}, ""14"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 122.22000000000001, ""frames"": 532}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 336}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 2, ""damage"": 23.878400000000003, ""frames"": 656}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 448}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 15.96, ""frames"": 420}, ""6"": {""boss_casts"": 3, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 39.48, ""frames"": 652}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 876}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 764}, ""9"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 0.0, ""frames"": 608}}"
8,241007,1349.893571,12,11,9760,2440,player_destroyed,False,185,34,28559.3957,189.1371,1031,844,0.818623,0.818623,11,3704.0,Prism Laser,10,8,3,6,20,1,11,73,0,4,3,3,0,damage:2;fire_rate:1;multishot:1;laser:1;shield:1;homing:1;drone:3;riftbreaker:2;artifact:2,14,0.12459016393442623,0.08483606557377049,129.42984489643717,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 444}, ""10"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 1028}, ""11"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 724}, ""12"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 115.37910000000002, ""frames"": 548}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 296}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 17.976, ""frames"": 1036}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 592}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 728}, ""6"": {""boss_casts"": 11, ""boss_dodges"": 10, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 17.766, ""frames"": 2116}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 572}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 388}, ""9"": {""boss_casts"": 7, ""boss_dodges"": 5, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 38.016000000000005, ""frames"": 1288}}"
9,241008,575.457983,7,6,7222,1806,player_destroyed,False,94,14,11768.4896,226.916,495,376,0.759596,0.759596,7,1762.0,Pulse Cannon,6,4,2,2,17,4,5,17,1,1,2,1,0,damage:2;shield:2;homing:1;drone:1;leech:1,13,0.07862679955703211,0.27464008859357697,136.39651138653036,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 192}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 520}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1152}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 644}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 600}, ""6"": {""boss_casts"": 18, ""boss_dodges"": 13, ""boss_hits"": 4, ""contacts"": 2, ""damage"": 118.50000000000003, ""frames"": 3572}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 11, ""damage"": 108.416, ""frames"": 542}}"
10,241009,473.636592,6,5,5494,1374,player_destroyed,False,70,12,8285.3992,128.982,349,229,0.65616,0.65616,6,1183.0,Pulse Cannon,5,4,1,0,14,2,4,30,1,2,1,2,0,engine:1;drone:2;critical:2;riftbreaker:1;artifact:1,2,0.05312954876273653,0.06477438136826782,138.89324395636967,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 388}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 432}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 5, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1076}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 536}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 856}, ""6"": {""boss_casts"": 11, ""boss_dodges"": 9, ""boss_hits"": 2, ""contacts"": 2, ""damage"": 128.982, ""frames"": 2206}}"
