episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_defenders_destroyed,boss_immune_hits,missiles_evaded,missile_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,252000,-9.183883,3,0,1237,310,player_destroyed,False,7,0,871.25,105.7548,64,42,0.65625,0.65625,1,49.0,Pulse Cannon,0,0,0,0,5,1,1,0,1,1,0,0,0,,3,0.17096774193548386,0.0,95.47758616029574,"{""3"": {""boss_casts"": 6, ""boss_dodges"": 5, ""boss_hits"": 1, ""contacts"": 3, ""damage"": 105.75480000000002, ""frames"": 1237}}"
2,252001,1421.195632,14,11,7851,1963,player_destroyed,False,197,37,32154.7601,344.364,1527,1187,0.777341,0.777341,11,3950.0,Multi-Beam Array,10,7,4,5,14,0,13,87,1,2,4,1,0,fire_rate:1;multishot:2;drone:1;capacitor:3;critical:2;leech:1;riftbreaker:1;artifact:3,26,0.16556291390728478,0.13499745287824758,107.85117097195113,"{""10"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 612}, ""11"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 544}, ""12"": {""boss_casts"": 5, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 824}, ""13"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 616}, ""14"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 13, ""damage"": 183.33, ""frames"": 751}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 35.952, ""frames"": 888}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 15.469999999999999, ""frames"": 544}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 560}, ""6"": {""boss_casts"": 3, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 0.0, ""frames"": 656}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 16.939999999999998, ""frames"": 508}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 568}, ""9"": {""boss_casts"": 4, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 92.67200000000001, ""frames"": 780}}"
3,252002,-19.404342,3,0,974,244,player_destroyed,False,6,0,822.25,107.5524,66,49,0.742424,0.742424,1,42.0,Pulse Cannon,0,0,0,0,3,1,1,8,0,1,0,0,0,,4,0.2540983606557377,0.0,82.97083983411042,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 3, ""boss_hits"": 1, ""contacts"": 4, ""damage"": 107.55239999999999, ""frames"": 974}}"
4,252003,-32.726401,3,0,1062,266,player_destroyed,False,7,0,905.75,106.6068,71,62,0.873239,0.873239,1,49.0,Pulse Cannon,0,0,0,0,3,2,2,16,0,5,0,0,0,,0,0.19172932330827067,0.2819548872180451,63.78802388886793,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 3, ""boss_hits"": 2, ""contacts"": 0, ""damage"": 106.6068, ""frames"": 1062}}"
5,252004,182.600813,5,2,3006,752,player_destroyed,False,40,5,4018.3426,163.3284,199,177,0.889447,0.889447,4,651.0,Pulse Cannon,3,1,1,0,4,1,2,3,0,1,1,1,0,regen:2;drone:1;capacitor:1;artifact:1,8,0.20079787234042554,0.13696808510638298,93.2897985898463,"{""3"": {""boss_casts"": 6, ""boss_dodges"": 4, ""boss_hits"": 1, ""contacts"": 0, ""damage"": 35.6484, ""frames"": 1168}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1188}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 127.68000000000004, ""frames"": 650}}"
6,252005,793.231415,10,7,5864,1466,player_destroyed,False,115,21,16397.9595,326.9832,824,603,0.731796,0.731796,8,2320.0,Nova Payload,7,4,3,2,11,1,9,42,0,5,3,0,0,damage:1;fire_rate:1;multishot:1;splash:1;regen:1;capacitor:1;critical:1;artifact:1,18,0.15688949522510232,0.09959072305593451,118.62235781841727,"{""10"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 11, ""damage"": 128.87, ""frames"": 884}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 5, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 41.516000000000005, ""frames"": 1072}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 336}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 384}, ""6"": {""boss_casts"": 6, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 65.33, ""frames"": 1168}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 536}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 752}, ""9"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 3, ""damage"": 91.26719999999999, ""frames"": 732}}"
7,252006,0.566761,3,0,816,204,player_destroyed,False,5,0,825.25,101.65,48,46,0.958333,0.958333,1,35.0,Pulse Cannon,0,0,0,0,4,0,2,4,1,1,0,0,0,,5,0.39705882352941174,0.0,40.13498024749617,"{""3"": {""boss_casts"": 4, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 101.64999999999999, ""frames"": 816}}"
8,252007,224.752574,5,2,5000,1250,player_destroyed,False,87,5,7086.4092,253.028,355,306,0.861972,0.861972,5,980.0,Pulse Cannon,4,1,1,0,5,0,2,0,0,2,1,1,0,hull:1;drone:1;capacitor:1;critical:1;leech:1,17,0.2424,0.4216,91.20920232219466,"{""3"": {""boss_casts"": 6, ""boss_dodges"": 5, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 77.468, ""frames"": 1132}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 0.0, ""frames"": 2604}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 12, ""damage"": 175.56000000000006, ""frames"": 1264}}"
9,252008,894.418896,10,7,9609,2403,player_destroyed,False,181,20,21351.5929,269.7649,1265,812,0.641897,0.641897,9,2663.0,Nova Payload,8,4,3,1,22,0,9,76,2,7,3,3,0,multishot:1;splash:1;shield:1;drone:3;leech:2,20,0.12442779858510196,0.2222222222222222,122.12677563095457,"{""10"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 10, ""damage"": 115.983, ""frames"": 633}, ""3"": {""boss_casts"": 6, ""boss_dodges"": 6, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 38.5414, ""frames"": 1312}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 420}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1000}, ""6"": {""boss_casts"": 7, ""boss_dodges"": 7, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 25.8453, ""frames"": 1392}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1332}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 1448}, ""9"": {""boss_casts"": 12, ""boss_dodges"": 9, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 89.39519999999999, ""frames"": 2072}}"
10,252009,1005.340408,11,8,5842,1461,player_destroyed,False,119,29,18245.1441,179.826,776,564,0.726804,0.726804,9,2648.0,Nova Payload,8,5,3,2,10,0,9,31,1,1,3,2,0,damage:3;fire_rate:1;multishot:2;splash:1;drone:2;riftbreaker:1;artifact:2,11,0.13894592744695414,0.1601642710472279,116.74061333887138,"{""10"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 520}, ""11"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 132.3, ""frames"": 522}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 17.976, ""frames"": 756}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 15.469999999999999, ""frames"": 672}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 612}, ""6"": {""boss_casts"": 4, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 804}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 700}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 676}, ""9"": {""boss_casts"": 3, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 14.08, ""frames"": 580}}"
