episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_defenders_destroyed,boss_immune_hits,missiles_evaded,missile_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,251000,552.522991,7,6,4660,1165,player_destroyed,False,66,15,8347.2903,119.616,656,329,0.501524,0.501524,6,1430.0,Nova Payload,5,4,2,0,6,0,5,11,0,0,2,1,0,multishot:1;splash:1;drone:1;capacitor:1;riftbreaker:1;artifact:1,8,0.10214592274678111,0.13390557939914163,167.574635810969,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 480}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 552}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 17.976, ""frames"": 704}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1040}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 544}, ""6"": {""boss_casts"": 4, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 792}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 101.63999999999999, ""frames"": 548}}"
2,251001,2049.464766,17,16,11279,2820,player_destroyed,False,285,55,49047.0037,376.8305,1796,1191,0.66314,0.66314,13,5548.0,Prism Laser,12,11,5,6,14,2,17,148,0,3,5,4,0,fire_rate:1;multishot:2;laser:1;splash:2;homing:1;drone:4;critical:2;riftbreaker:1;artifact:2,20,0.12304964539007092,0.19680851063829788,136.23678730425746,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 240}, ""10"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 932}, ""11"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 496}, ""12"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 676}, ""13"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 0.0, ""frames"": 732}, ""14"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 31.573500000000003, ""frames"": 516}, ""15"": {""boss_casts"": 7, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 2, ""damage"": 110.404, ""frames"": 972}, ""16"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 628}, ""17"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 9, ""damage"": 131.04, ""frames"": 715}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 772}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 860}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 616}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 620}, ""6"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 1, ""contacts"": 1, ""damage"": 46.72500000000001, ""frames"": 488}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 576}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 584}, ""9"": {""boss_casts"": 5, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 57.08800000000001, ""frames"": 856}}"
3,251002,1957.108893,16,15,12749,3188,player_destroyed,False,317,50,50773.223,384.536,2326,1455,0.625537,0.625537,13,5574.0,Nova Payload,12,10,5,6,18,2,17,222,8,7,5,7,0,damage:1;fire_rate:1;multishot:2;splash:1;drone:5;critical:1;riftbreaker:1;drone_mastery:2;artifact:1,21,0.1599749058971142,0.1784818067754078,131.35525563736,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 284}, ""10"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1140}, ""11"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 804}, ""12"": {""boss_casts"": 5, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 100.274, ""frames"": 764}, ""13"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 800}, ""14"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 668}, ""15"": {""boss_casts"": 10, ""boss_dodges"": 7, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1432}, ""16"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 10, ""damage"": 128.1, ""frames"": 1065}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 800}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 11.770000000000001, ""frames"": 520}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 516}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 400}, ""6"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 1, ""damage"": 49.592000000000006, ""frames"": 848}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 528}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 720}, ""9"": {""boss_casts"": 8, ""boss_dodges"": 4, ""boss_hits"": 1, ""contacts"": 2, ""damage"": 94.8, ""frames"": 1460}}"
4,251003,2428.774481,19,18,13194,3299,player_destroyed,False,361,59,63589.1246,444.6925,2343,1949,0.83184,0.83184,14,6587.0,Prism Laser,13,12,6,8,20,0,21,161,4,7,6,4,0,damage:1;fire_rate:1;multishot:3;laser:1;homing:2;regen:1;drone:4;capacitor:2;riftbreaker:1;artifact:2,34,0.17793270688087298,0.12185510760836617,117.47544337084219,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 584}, ""10"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 744}, ""11"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 580}, ""12"": {""boss_casts"": 6, ""boss_dodges"": 5, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 115.509, ""frames"": 984}, ""13"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 712}, ""14"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 864}, ""15"": {""boss_casts"": 5, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 0.0, ""frames"": 800}, ""16"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 412}, ""17"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 568}, ""18"": {""boss_casts"": 6, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 73.656, ""frames"": 720}, ""19"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 9, ""damage"": 136.92, ""frames"": 670}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 36.9495, ""frames"": 536}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 65.698, ""frames"": 836}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 524}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 15.96, ""frames"": 708}, ""6"": {""boss_casts"": 2, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 404}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 824}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 872}, ""9"": {""boss_casts"": 5, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 852}}"
5,251004,2038.638341,16,15,13880,3470,player_destroyed,False,347,47,53170.9092,271.985,1713,1117,0.652072,0.652072,14,6022.0,Prism Laser,13,10,5,10,27,1,17,54,2,2,5,6,0,multishot:1;laser:1;splash:2;homing:1;drone:5;critical:4;riftbreaker:2;drone_mastery:1;artifact:2,21,0.11930835734870317,0.1100864553314121,128.75785326460363,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 356}, ""10"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 936}, ""11"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1036}, ""12"": {""boss_casts"": 8, ""boss_dodges"": 8, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1364}, ""13"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 552}, ""14"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 744}, ""15"": {""boss_casts"": 7, ""boss_dodges"": 5, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1096}, ""16"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 13, ""damage"": 170.79999999999998, ""frames"": 760}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 256}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 5, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1116}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 880}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 15.96, ""frames"": 1116}, ""6"": {""boss_casts"": 4, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 32.665, ""frames"": 804}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1180}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 476}, ""9"": {""boss_casts"": 7, ""boss_dodges"": 5, ""boss_hits"": 1, ""contacts"": 1, ""damage"": 52.559999999999995, ""frames"": 1208}}"
6,251005,345.929894,5,4,4807,1202,player_destroyed,False,81,9,7601.2049,286.1189,382,327,0.856021,0.856021,6,1385.0,Rapid Pulse,5,3,1,3,2,1,2,0,0,1,1,0,0,hull:1;fire_rate:1;homing:1;regen:1;capacitor:1;artifact:1,16,0.3211314475873544,0.31114808652246256,105.26514565690067,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 276}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 852}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 2, ""damage"": 71.60040000000001, ""frames"": 1000}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 54.918499999999995, ""frames"": 816}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 10, ""damage"": 159.60000000000002, ""frames"": 1863}}"
7,251006,390.274328,6,5,2980,745,player_destroyed,False,30,12,5127.9471,117.8204,343,236,0.688047,0.688047,5,988.0,Multi-Beam Array,4,4,1,1,4,1,4,25,1,3,1,0,0,multishot:2;capacitor:1;riftbreaker:1,4,0.07919463087248323,0.19463087248322147,170.6657674764343,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 264}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 412}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 0, ""damage"": 35.6484, ""frames"": 648}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 484}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 24.738000000000003, ""frames"": 388}, ""6"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 57.434, ""frames"": 784}}"
8,251007,1887.452632,14,13,16189,4048,player_destroyed,False,516,42,64314.1906,677.1214,1205,1467,1.0,1.217427,14,6664.0,Prism Laser,13,9,4,8,16,3,13,27,3,6,4,6,0,damage:2;fire_rate:2;laser:1;piercing:1;drone:5;critical:2;leech:1;riftbreaker:1;drone_mastery:1;artifact:3,35,0.2015810276679842,0.3142292490118577,109.6851322756095,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 344}, ""10"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1256}, ""11"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 648}, ""12"": {""boss_casts"": 14, ""boss_dodges"": 8, ""boss_hits"": 1, ""contacts"": 4, ""damage"": 73.63, ""frames"": 2304}, ""13"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 9, ""damage"": 139.16, ""frames"": 3276}, ""14"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 164.997, ""frames"": 317}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.489999999999998, ""frames"": 388}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 1, ""contacts"": 2, ""damage"": 71.6004, ""frames"": 476}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 616}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 872}, ""6"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 59.22, ""frames"": 776}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 16.939999999999998, ""frames"": 1604}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 34.86, ""frames"": 2196}, ""9"": {""boss_casts"": 6, ""boss_dodges"": 4, ""boss_hits"": 1, ""contacts"": 2, ""damage"": 102.22399999999999, ""frames"": 1116}}"
9,251008,414.291561,6,5,2963,741,player_destroyed,False,30,12,5088.3087,120.602,292,165,0.565068,0.565068,5,988.0,Multi-Beam Array,4,4,1,1,5,0,4,37,2,2,1,1,0,damage:2;multishot:1;drone:1;critical:1;artifact:1,6,0.1214574898785425,0.1241565452091768,146.07517071462448,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 296}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 164}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 836}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 440}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 608}, ""6"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 120.60199999999999, ""frames"": 619}}"
10,251009,875.006658,9,8,8008,2002,player_destroyed,False,124,23,15919.098,192.2368,799,630,0.788486,0.788486,8,2419.0,Multi-Beam Array,7,6,2,3,14,0,9,49,3,6,2,1,0,multishot:1;shield:1;homing:1;drone:1;capacitor:2;critical:2;artifact:2,9,0.09540459540459541,0.04195804195804196,137.92066314092338,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 960}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 348}, ""3"": {""boss_casts"": 9, ""boss_dodges"": 8, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 21.186000000000003, ""frames"": 1852}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 27.846, ""frames"": 984}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 492}, ""6"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 23.265, ""frames"": 876}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 15.245999999999999, ""frames"": 940}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 720}, ""9"": {""boss_casts"": 5, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 104.69376, ""frames"": 836}}"
