episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,96000,695.043728,9,6,4059,1015,player_destroyed,False,77,22,12704.015,228.684,537,475,0.884544,0.884544,6,1589.0,Multi-Beam Array,5,4,2,1,5,1,2,1,0,multishot:2;regen:1;drone:1;critical:1;artifact:2,14,0.16157635467980297,0.11330049261083744,100.15447812761322,"{""3"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 36.288000000000004, ""frames"": 784}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 868}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 420}, ""6"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 60.480000000000004, ""frames"": 512}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 26.908, ""frames"": 756}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 488}, ""9"": {""boss_casts"": 1, ""boss_dodges"": 0, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 105.008, ""frames"": 231}}"
2,96001,1179.099526,12,9,6329,1583,player_destroyed,False,152,33,27006.225,279.952,1218,1032,0.847291,0.847291,8,2715.0,Multi-Beam Array,7,6,3,3,8,1,3,1,0,fire_rate:1;multishot:4;regen:1;drone:1;riftbreaker:1;artifact:1,21,0.14718888186986734,0.12571067593177512,108.37835232448847,"{""10"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 868}, ""11"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 528}, ""12"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 120.96000000000001, ""frames"": 261}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 920}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 15.680000000000001, ""frames"": 476}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 776}, ""6"": {""boss_casts"": 3, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 60.480000000000004, ""frames"": 600}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 732}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 796}, ""9"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 1, ""contacts"": 4, ""damage"": 82.832, ""frames"": 372}}"
3,96002,101.50335,4,1,1930,483,player_destroyed,False,30,2,3033.44,127.904,144,138,0.958333,0.958333,3,392.0,Rapid Pulse,2,0,1,0,4,0,1,0,0,fire_rate:1;riftbreaker:1;artifact:1,8,0.37060041407867494,0.08695652173913043,77.35973448785617,"{""3"": {""boss_casts"": 4, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 18.144000000000002, ""frames"": 824}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 109.76000000000002, ""frames"": 1106}}"
4,96003,116.881857,4,1,2528,632,player_destroyed,False,32,2,3181.6,143.584,170,148,0.870588,0.870588,3,479.0,Pulse Cannon,2,0,1,1,7,0,1,0,0,homing:1;capacitor:1;artifact:1,10,0.1930379746835443,0.23259493670886075,76.96783354035297,"{""3"": {""boss_casts"": 7, ""boss_dodges"": 7, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 18.144000000000002, ""frames"": 1472}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 9, ""damage"": 125.44000000000003, ""frames"": 1056}}"
5,96004,93.019631,4,1,1923,481,player_destroyed,False,27,2,2943.44,125.44,135,130,0.962963,0.962963,3,374.0,Pulse Cannon,2,0,1,0,3,0,1,0,0,damage:1;capacitor:1;artifact:1,8,0.5197505197505198,0.2972972972972973,57.89537496816455,"{""3"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 744}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 125.44000000000003, ""frames"": 1179}}"
6,96005,129.594014,4,1,2405,602,player_destroyed,False,44,4,4134.44,169.9264,186,183,0.983871,0.983871,4,536.0,Nova Payload,3,0,1,0,3,1,1,0,0,fire_rate:1;splash:1;capacitor:1,12,0.4186046511627907,0.05647840531561462,47.47403055305781,"{""3"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 1, ""contacts"": 2, ""damage"": 60.16640000000001, ""frames"": 804}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 10, ""damage"": 109.76000000000002, ""frames"": 1601}}"
7,96006,129.372114,4,1,1633,409,player_destroyed,False,27,4,3011.44,125.44,149,138,0.926174,0.926174,3,434.0,Multi-Beam Array,2,0,1,0,4,0,1,0,0,multishot:1;homing:1;artifact:1,8,0.33496332518337407,0.14180929095354522,80.2532903767567,"{""3"": {""boss_casts"": 4, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 824}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 125.44000000000003, ""frames"": 809}}"
8,96007,1646.389794,15,12,8644,2161,player_destroyed,False,233,44,42318.6807,320.368,1410,1498,1.0,1.062411,9,3802.0,Multi-Beam Array,8,8,4,4,10,2,4,2,0,fire_rate:1;multishot:3;piercing:1;regen:1;drone:2;critical:2;artifact:1,22,0.15502082369273484,0.1013419713095789,105.546901921169,"{""10"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 29.512, ""frames"": 636}, ""11"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 528}, ""12"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 67.352, ""frames"": 544}, ""13"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 0.0, ""frames"": 624}, ""14"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 0.0, ""frames"": 764}, ""15"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 131.04, ""frames"": 248}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 18.144000000000002, ""frames"": 824}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 15.680000000000001, ""frames"": 1052}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 796}, ""6"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 20.16, ""frames"": 628}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 660}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 780}, ""9"": {""boss_casts"": 3, ""boss_dodges"": 1, ""boss_hits"": 1, ""contacts"": 1, ""damage"": 38.48, ""frames"": 560}}"
9,96008,545.059411,7,4,4204,1051,player_destroyed,False,96,15,12544.265,294.756,462,491,1.0,1.062771,6,1599.0,Prism Laser,5,2,2,3,7,0,2,0,0,damage:1;multishot:1;laser:1;piercing:1;regen:1;artifact:1,25,0.35680304471931495,0.13606089438629876,80.59986104935638,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 18.144000000000002, ""frames"": 964}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 109.76000000000002, ""frames"": 1264}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 25.171999999999997, ""frames"": 588}, ""6"": {""boss_casts"": 3, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 20.16, ""frames"": 608}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 11, ""damage"": 121.52, ""frames"": 780}}"
10,96009,638.446561,8,5,4659,1165,player_destroyed,False,104,20,14306.265,346.976,566,513,0.90636,0.90636,6,1669.0,Nova Payload,5,3,2,1,7,0,2,2,0,fire_rate:1;multishot:1;splash:1;drone:2;capacitor:1;leech:1;artifact:2,22,0.3244635193133047,0.04978540772532189,74.30753157201558,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 944}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 540}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 32.48, ""frames"": 736}, ""6"": {""boss_casts"": 3, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 20.16, ""frames"": 660}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 69.44, ""frames"": 756}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 13, ""damage"": 224.89600000000007, ""frames"": 1023}}"
