episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,93000,329.902186,4,3,3665,917,player_destroyed,False,78,10,7195.64,127.008,233,218,0.935622,0.935622,5,1039.0,Pulse Cannon,4,2,1,1,2,0,1,2,0,damage:1;shield:1;drone:2;artifact:1,12,0.4122137404580153,0.10141766630316248,90.06103937231767,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 168}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 780}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 544}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 11, ""damage"": 127.00799999999998, ""frames"": 2173}}"
2,93001,757.510371,8,7,5016,1254,player_destroyed,False,104,23,14966.0716,342.86,568,500,0.880282,0.880282,6,1953.0,Nova Payload,5,5,2,3,6,0,2,2,0,multishot:1;splash:1;regen:1;drone:2;critical:1;artifact:2,24,0.22807017543859648,0.15709728867623604,103.21261703557069,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 216}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 22.568, ""frames"": 488}, ""3"": {""boss_casts"": 1, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 284}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 31.360000000000003, ""frames"": 520}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 41.41199999999999, ""frames"": 936}, ""6"": {""boss_casts"": 5, ""boss_dodges"": 5, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1020}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 104.16, ""frames"": 788}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 9, ""damage"": 143.36, ""frames"": 764}}"
3,93002,912.088106,9,8,5942,1486,player_destroyed,False,128,27,19368.147,286.696,698,613,0.878223,0.878223,7,2164.0,Nova Payload,6,6,2,2,8,1,2,3,0,fire_rate:1;multishot:1;splash:2;regen:1;drone:3;leech:1;artifact:1,18,0.18236877523553163,0.10901749663526245,101.82128707084817,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 152}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 376}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 0.0, ""frames"": 500}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 668}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 64.96, ""frames"": 732}, ""6"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 1, ""contacts"": 1, ""damage"": 53.96000000000001, ""frames"": 824}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 34.72, ""frames"": 764}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 1172}, ""9"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 133.05599999999998, ""frames"": 754}}"
4,93003,1571.346148,13,12,8843,2211,player_destroyed,False,218,42,38396.44,234.332,1283,1187,0.925175,0.925175,9,3652.0,Multi-Beam Array,8,8,4,4,13,0,4,5,0,fire_rate:1;multishot:2;drone:5;capacitor:2;critical:2;artifact:1,25,0.16372682044323836,0.09633649932157395,106.4028409763654,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 244}, ""10"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 0.0, ""frames"": 736}, ""11"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 684}, ""12"": {""boss_casts"": 6, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 48.384, ""frames"": 988}, ""13"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 10, ""damage"": 124.32, ""frames"": 899}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 240}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 352}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 636}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 0.0, ""frames"": 640}, ""6"": {""boss_casts"": 5, ""boss_dodges"": 5, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 0.0, ""frames"": 1020}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 61.628, ""frames"": 1384}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 404}, ""9"": {""boss_casts"": 3, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 0.0, ""frames"": 616}}"
5,93004,437.081291,6,5,2469,618,player_destroyed,False,35,16,5577.5888,210.224,181,163,0.900552,0.900552,5,930.0,Nova Payload,4,4,1,0,2,0,1,1,0,damage:1;fire_rate:1;splash:1;drone:1;riftbreaker:1,12,0.16181229773462782,0.1553398058252427,95.98593068838929,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 180}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.56, ""frames"": 352}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 18.144000000000002, ""frames"": 380}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 15.680000000000001, ""frames"": 696}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 81.19999999999999, ""frames"": 656}, ""6"": {""boss_casts"": 1, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 80.64, ""frames"": 205}}"
6,93005,407.930854,5,4,4210,1053,player_destroyed,False,78,13,7496.84,113.288,322,306,0.950311,0.950311,5,1076.0,Nova Payload,4,3,1,0,2,0,1,0,0,splash:1;shield:1;homing:1;capacitor:1,10,0.29534662867996203,0.0389363722697056,103.8517417233323,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 260}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 616}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 596}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 84.672, ""frames"": 2328}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 14.616, ""frames"": 410}}"
7,93006,497.533967,5,4,6072,1518,phase_timeout,True,150,13,13105.1098,128.352,505,400,0.792079,0.792079,6,1508.0,Pulse Cannon,5,3,1,0,2,0,1,2,2,shield:1;regen:1;drone:2;leech:1;riftbreaker:1,10,0.08300395256916997,0.49341238471673254,108.82371187494363,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 200}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 43.68, ""frames"": 504}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 660}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 84.672, ""frames"": 1048}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 3660}}"
8,93007,356.685244,5,4,2710,678,player_destroyed,False,45,12,5386.9111,137.172,170,168,0.988235,0.988235,4,848.0,Nova Payload,3,3,1,0,2,0,1,2,0,fire_rate:1;splash:1;drone:2;critical:1;artifact:1,10,0.26548672566371684,0.23893805309734514,90.50455634851582,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 196}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.56, ""frames"": 352}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 488}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 1308}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 122.61199999999998, ""frames"": 366}}"
9,93008,259.443853,4,3,2347,587,player_destroyed,False,33,8,4080.54,125.44,140,132,0.942857,0.942857,4,709.0,Nova Payload,3,2,1,1,2,0,1,1,0,fire_rate:1;splash:1;engine:1;drone:1;artifact:1,11,0.2674616695059625,0.09028960817717206,139.7340833685324,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 420}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 552}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 468}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 11, ""damage"": 125.44000000000003, ""frames"": 907}}"
10,93009,396.993732,5,4,2905,727,player_destroyed,False,50,14,6015.1755,146.048,197,190,0.964467,0.964467,5,1013.0,Nova Payload,4,3,1,1,2,0,1,2,0,fire_rate:2;splash:1;drone:2;riftbreaker:1;artifact:1,11,0.15818431911966988,0.12929848693259974,86.96395520519044,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 192}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 628}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 0.0, ""frames"": 472}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 48.608000000000004, ""frames"": 1172}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 97.43999999999998, ""frames"": 441}}"
