episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_defenders_destroyed,boss_immune_hits,missiles_evaded,missile_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,wall_contacts,close_threat_decisions,close_movement_decisions,close_approach_decisions,close_approach_rate,phase_diagnostics
1,440000,227.336339,6,5,4199,1050,player_destroyed,False,48,12,6454.8385,137.3166,278,194,0.697842,0.697842,6,1114.0,Multi-Beam Array,5,4,1,1,0,5,2,0,0,2,1,1,0,multishot:1;shield:3;drone:1;critical:1;artifact:1,0,0.0,0.15714285714285714,287.5908900820433,53,95,69,28,0.4057971014492754,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 552}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 192}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 0, ""boss_hits"": 1, ""contacts"": 0, ""damage"": 42.67656000000001, ""frames"": 640}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 396}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1056}, ""6"": {""boss_casts"": 7, ""boss_dodges"": 0, ""boss_hits"": 4, ""contacts"": 0, ""damage"": 94.64, ""frames"": 1363}}"
2,440001,-52.703007,3,2,2213,554,player_destroyed,False,12,4,1612.45,107.4215,59,45,0.762712,0.762712,3,276.0,Pulse Cannon,2,2,0,0,0,3,2,4,2,1,0,1,0,damage:1;shield:1;drone:1,2,0.04332129963898917,0.41696750902527074,231.05553263547,79,113,73,24,0.3287671232876712,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 708}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 448}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 0, ""boss_hits"": 3, ""contacts"": 2, ""damage"": 107.42148, ""frames"": 1057}}"
3,440002,29.331228,3,2,1320,330,player_destroyed,False,6,4,1096.25,102.3826,79,45,0.56962,0.56962,3,234.0,Multi-Beam Array,2,2,0,0,0,1,0,0,0,0,0,0,0,multishot:1;shield:1,6,0.13333333333333333,0.015151515151515152,241.64108121607,0,51,40,21,0.525,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 668}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 156}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 1, ""contacts"": 6, ""damage"": 102.38255999999998, ""frames"": 496}}"
4,440003,-42.831066,2,1,1092,273,player_destroyed,False,5,2,635.0,128.45,32,27,0.84375,0.84375,2,131.0,Pulse Cannon,1,1,0,0,0,0,0,0,0,0,0,0,0,hull:1,11,0.37362637362637363,0.0,98.25817446248979,0,130,93,52,0.5591397849462365,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 56.0, ""frames"": 476}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 72.44999999999999, ""frames"": 616}}"
5,440004,39.857708,3,2,2587,647,player_destroyed,False,18,4,1971.625,100.1412,81,56,0.691358,0.691358,3,318.0,Pulse Cannon,2,2,0,0,0,3,1,0,1,1,0,1,0,damage:1;shield:1;drone:1,1,0.030911901081916538,0.0,283.3347576489641,0,65,40,19,0.475,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1168}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 380}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 0, ""boss_hits"": 3, ""contacts"": 1, ""damage"": 100.14120000000001, ""frames"": 1039}}"
6,440005,97.934968,5,4,3724,931,player_destroyed,False,48,9,5104.0963,132.6316,237,155,0.654008,0.654008,5,984.0,Multi-Beam Array,4,3,1,1,1,1,2,5,2,1,1,2,0,fire_rate:1;multishot:1;shield:1;drone:2;critical:1;artifact:1,7,0.11600429645542427,0.3791621911922664,221.89283712692475,71,254,168,78,0.4642857142857143,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 324}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 348}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 1, ""boss_hits"": 1, ""contacts"": 0, ""damage"": 32.083560000000006, ""frames"": 992}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1120}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 100.54800000000002, ""frames"": 940}}"
7,440006,44.96197,3,2,2713,679,player_destroyed,False,21,4,2140.65,109.2812,144,78,0.541667,0.541667,3,339.0,Multi-Beam Array,2,2,0,0,1,0,1,15,1,1,0,1,0,multishot:1;shield:1;drone:1,5,0.054491899852724596,0.12812960235640647,273.0066556526684,8,109,71,31,0.43661971830985913,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1288}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 656}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 109.28124, ""frames"": 769}}"
8,440007,-145.413247,1,0,1773,444,player_destroyed,False,20,0,1150.0,112.0,45,45,1.0,1.0,2,140.0,Pulse Cannon,1,0,0,0,0,0,0,0,0,0,0,0,0,critical:1,8,0.23423423423423423,0.42792792792792794,112.646621782136,39,253,172,79,0.45930232558139533,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 1773}}"
9,440008,106.185116,4,3,2833,709,player_destroyed,False,15,5,2453.914,121.3531,85,64,0.752941,0.752941,4,589.0,Pulse Cannon,3,2,1,1,4,1,2,3,4,0,1,1,0,shield:2;homing:1;drone:1;artifact:1,7,0.0465444287729196,0.014104372355430184,221.9842315167736,0,136,95,42,0.4421052631578947,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 380}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 232}, ""3"": {""boss_casts"": 9, ""boss_dodges"": 4, ""boss_hits"": 1, ""contacts"": 1, ""damage"": 33.48352, ""frames"": 1844}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 87.8696, ""frames"": 377}}"
10,440009,54.435921,4,3,2721,681,player_destroyed,False,25,5,2944.1925,142.2906,94,88,0.93617,0.93617,4,659.0,Pulse Cannon,3,2,1,1,2,1,2,1,1,1,1,1,0,shield:2;homing:1;drone:1;artifact:1,9,0.0881057268722467,0.19676945668135096,205.8822075257304,16,132,87,37,0.42528735632183906,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 460}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 428}, ""3"": {""boss_casts"": 6, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 0, ""damage"": 30.906560000000006, ""frames"": 1376}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 9, ""damage"": 111.38400000000001, ""frames"": 457}}"
