episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_defenders_destroyed,boss_immune_hits,missiles_evaded,missile_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,wall_contacts,close_threat_decisions,close_movement_decisions,close_approach_decisions,close_approach_rate,phase_diagnostics
1,590000,-130.856919,1,0,511,256,player_destroyed,False,0,1,100.0,112.0,24,4,0.166667,0.166667,1,34.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,0.56640625,0.703125,54.40498581377634,64,181,55,7,0.12727272727272726,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 511}}"
2,590001,-165.156573,1,0,649,325,player_destroyed,False,0,0,0.0,112.0,30,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,0.24923076923076923,0.7384615384615385,163.6295934640579,88,137,122,0,0.0,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 649}}"
3,590002,-145.877632,1,0,545,273,player_destroyed,False,0,1,100.0,112.0,22,4,0.181818,0.181818,1,34.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,0.5054945054945055,0.7106227106227107,80.53984700722864,75,162,117,23,0.19658119658119658,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 545}}"
4,590003,-181.579401,1,0,585,293,player_destroyed,False,0,0,0.0,112.0,28,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,0.46075085324232085,0.7474402730375427,108.89160911675874,100,158,104,0,0.0,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 585}}"
5,590004,-187.474166,1,0,679,340,player_destroyed,False,0,0,0.0,112.0,35,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,0.4264705882352941,0.6911764705882353,93.82874892156245,106,177,121,0,0.0,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 679}}"
6,590005,-222.521074,1,0,812,406,player_destroyed,False,0,0,0.0,112.0,41,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,0.23891625615763548,0.7167487684729064,181.68065493308293,184,117,0,0,0.0,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 812}}"
7,590006,-164.752382,1,0,591,296,player_destroyed,False,0,0,0.0,112.0,30,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,0.31756756756756754,0.7972972972972973,126.33464610392048,87,127,71,16,0.22535211267605634,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 591}}"
8,590007,-175.587857,1,0,559,280,player_destroyed,False,0,0,0.0,112.0,27,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,0.42857142857142855,0.7571428571428571,92.69290437777734,109,153,78,9,0.11538461538461539,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 559}}"
9,590008,-251.95184,1,0,1060,530,player_destroyed,False,0,1,100.0,112.0,51,4,0.078431,0.078431,1,34.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,0.23962264150943396,0.8773584905660378,141.83939162608635,223,283,128,0,0.0,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 1060}}"
10,590009,-231.439141,1,0,817,409,player_destroyed,False,0,0,0.0,112.0,40,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,0.23471882640586797,0.8019559902200489,198.5756054268768,194,118,0,0,0.0,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 817}}"
