episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_defenders_destroyed,boss_immune_hits,missiles_evaded,missile_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,264000,-49.100833,3,0,350,88,player_destroyed,False,0,0,0.0,113.7584,12,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,1,1,0,0,0,0,0,0,0,,5,0.6136363636363636,0.1590909090909091,21.418713994590526,"{""3"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 113.7584, ""frames"": 350}}"
2,264001,-33.230884,3,0,433,109,player_destroyed,False,0,0,0.0,107.856,18,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,2,0,0,0,0,0,0,0,0,,6,0.5963302752293578,0.0,52.0407269166414,"{""3"": {""boss_casts"": 2, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 107.856, ""frames"": 433}}"
3,264002,-49.760382,3,0,460,115,player_destroyed,False,0,0,130.0,131.7344,16,7,0.4375,0.4375,1,0.0,Pulse Cannon,0,0,0,0,1,1,0,0,0,0,0,0,0,,6,0.3652173913043478,0.25217391304347825,106.19432850109453,"{""3"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 1, ""contacts"": 6, ""damage"": 131.7344, ""frames"": 460}}"
4,264003,-52.732111,3,0,549,138,player_destroyed,False,3,0,325.75,101.6848,21,16,0.761905,0.761905,1,21.0,Pulse Cannon,0,0,0,0,1,2,0,0,0,0,0,0,0,,3,0.37681159420289856,0.463768115942029,66.57644825611898,"{""3"": {""boss_casts"": 3, ""boss_dodges"": 1, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 101.6848, ""frames"": 549}}"
5,264004,-58.405772,3,0,1150,288,player_destroyed,False,0,0,80.0,101.6848,13,5,0.384615,0.384615,1,0.0,Pulse Cannon,0,0,0,0,3,2,0,0,0,0,0,0,0,,3,0.20833333333333334,0.7638888888888888,144.98116789230363,"{""3"": {""boss_casts"": 6, ""boss_dodges"": 3, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 101.6848, ""frames"": 1150}}"
6,264005,-53.30486,3,0,787,197,player_destroyed,False,0,0,0.0,101.6848,1,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,2,2,0,0,0,0,0,0,0,,3,0.3553299492385787,0.116751269035533,62.41061719407729,"{""3"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 101.6848, ""frames"": 787}}"
7,264006,-51.5344,3,0,306,77,player_destroyed,False,0,0,155.0,113.7584,10,8,0.8,0.8,1,0.0,Pulse Cannon,0,0,0,0,0,1,0,0,0,0,0,0,0,,5,0.4935064935064935,0.44155844155844154,35.18462759142364,"{""3"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 113.7584, ""frames"": 306}}"
8,264007,-78.978705,3,0,694,174,player_destroyed,False,0,0,0.0,107.5872,21,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,0,3,0,0,0,0,0,0,0,,2,0.10344827586206896,0.3275862068965517,121.87589182680047,"{""3"": {""boss_casts"": 4, ""boss_dodges"": 0, ""boss_hits"": 3, ""contacts"": 2, ""damage"": 107.58720000000001, ""frames"": 694}}"
9,264008,-45.802341,3,0,335,84,player_destroyed,False,1,0,156.5,113.7584,16,8,0.5,0.5,1,7.0,Pulse Cannon,0,0,0,0,1,1,0,0,0,0,0,0,0,,5,0.6428571428571429,0.8214285714285714,11.490212744040294,"{""3"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 113.7584, ""frames"": 335}}"
10,264009,-64.527779,3,0,333,84,player_destroyed,False,0,0,0.0,101.6848,8,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,0,2,0,0,0,0,0,0,0,,3,0.4523809523809524,0.32142857142857145,24.377399789923924,"{""3"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 101.6848, ""frames"": 333}}"
11,264010,-43.581014,3,0,333,84,player_destroyed,False,0,0,191.25,113.7584,9,9,1.0,1.0,1,0.0,Pulse Cannon,0,0,0,0,1,1,0,0,0,0,0,0,0,,5,0.6309523809523809,0.25,14.134459283828855,"{""3"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 113.7584, ""frames"": 333}}"
12,264011,-72.584803,3,0,765,192,player_destroyed,False,0,0,0.0,107.5872,24,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,1,3,0,0,0,0,0,0,0,,2,0.13020833333333334,0.3020833333333333,117.4798615925201,"{""3"": {""boss_casts"": 4, ""boss_dodges"": 1, ""boss_hits"": 3, ""contacts"": 2, ""damage"": 107.5872, ""frames"": 765}}"
13,264012,-48.241644,3,0,981,246,player_destroyed,False,0,0,216.25,119.6608,15,10,0.666667,0.666667,1,0.0,Pulse Cannon,0,0,0,0,3,2,0,0,0,0,0,0,0,,4,0.25203252032520324,0.6585365853658537,132.6824658874927,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 3, ""boss_hits"": 2, ""contacts"": 4, ""damage"": 119.6608, ""frames"": 981}}"
