episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_defenders_destroyed,boss_immune_hits,missiles_evaded,missile_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,263000,49.586894,3,2,1825,457,player_destroyed,False,6,4,1361.65,125.8952,60,51,0.85,0.85,3,234.0,Pulse Cannon,2,2,0,0,0,3,0,19,5,1,0,1,0,homing:1;regen:1;drone:1,3,0.0787746170678337,0.5295404814004376,291.9208667488078,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 360}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.489999999999998, ""frames"": 400}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 0, ""boss_hits"": 3, ""contacts"": 0, ""damage"": 83.40520000000001, ""frames"": 1065}}"
2,263001,61.905441,3,2,2250,563,player_destroyed,False,6,4,745.0,112.1988,39,24,0.615385,0.615385,3,234.0,Pulse Cannon,2,2,0,0,3,2,0,0,0,0,0,0,0,damage:1;riftbreaker:1,4,0.14564831261101244,0.5879218472468917,152.94729026492868,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 372}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.489999999999998, ""frames"": 280}, ""3"": {""boss_casts"": 7, ""boss_dodges"": 3, ""boss_hits"": 2, ""contacts"": 2, ""damage"": 83.7088, ""frames"": 1598}}"
3,263002,86.996818,3,2,2420,605,player_destroyed,False,8,4,1834.75,115.1052,63,48,0.761905,0.761905,3,248.0,Multi-Beam Array,2,2,0,0,4,3,2,10,5,0,0,1,0,damage:1;multishot:1;drone:1,4,0.1487603305785124,0.6380165289256199,190.72328344635656,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 256}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 43.47, ""frames"": 476}, ""3"": {""boss_casts"": 8, ""boss_dodges"": 4, ""boss_hits"": 3, ""contacts"": 1, ""damage"": 71.63520000000001, ""frames"": 1688}}"
4,263003,102.508982,3,2,2419,605,player_destroyed,False,10,4,1678.85,124.358,71,50,0.704225,0.704225,3,262.0,Pulse Cannon,2,2,0,0,6,1,2,26,3,1,0,1,0,engine:1;regen:1;drone:1,5,0.15041322314049588,0.5140495867768595,136.33066467559306,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 244}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.489999999999998, ""frames"": 320}, ""3"": {""boss_casts"": 9, ""boss_dodges"": 6, ""boss_hits"": 1, ""contacts"": 3, ""damage"": 95.868, ""frames"": 1855}}"
5,263004,60.55877,3,2,2231,558,player_destroyed,False,5,4,1021.8,165.0572,47,40,0.851064,0.851064,3,227.0,Pulse Cannon,2,2,0,0,2,3,0,0,0,0,0,0,0,homing:1;riftbreaker:1,6,0.23655913978494625,0.6129032258064516,178.04205220150993,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 356}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 43.47, ""frames"": 836}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 2, ""boss_hits"": 3, ""contacts"": 2, ""damage"": 107.5872, ""frames"": 1039}}"
6,263005,48.560922,3,2,2012,503,player_destroyed,False,5,4,1104.0,106.8437,85,58,0.682353,0.682353,3,227.0,Multi-Beam Array,2,2,0,0,3,3,0,11,9,4,0,0,0,multishot:1;shield:1,0,0.027833001988071572,0.6083499005964215,246.29098362291325,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 288}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 252}, ""3"": {""boss_casts"": 7, ""boss_dodges"": 3, ""boss_hits"": 3, ""contacts"": 0, ""damage"": 106.84368000000002, ""frames"": 1472}}"
7,263006,273.979647,5,4,2952,738,player_destroyed,False,29,9,3843.692,205.3284,129,125,0.968992,0.968992,5,851.0,Pulse Cannon,4,3,1,1,3,1,2,12,0,1,1,2,0,hull:1;homing:3;drone:2,14,0.2032520325203252,0.6327913279132791,188.2091922197721,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 284}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.489999999999998, ""frames"": 376}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 3, ""boss_hits"": 1, ""contacts"": 0, ""damage"": 35.6484, ""frames"": 1120}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 15.469999999999999, ""frames"": 760}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 111.72000000000003, ""frames"": 412}}"
8,263007,74.988254,3,2,1356,339,player_destroyed,False,7,4,1297.175,114.2768,109,89,0.816514,0.816514,3,241.0,Multi-Beam Array,2,2,0,0,2,2,2,52,1,2,0,1,0,fire_rate:1;multishot:1;drone:1,3,0.12684365781710916,0.46017699115044247,82.10002239404095,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 212}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.979999999999997, ""frames"": 320}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 2, ""contacts"": 0, ""damage"": 71.2968, ""frames"": 824}}"
9,263008,73.405865,3,2,1807,452,player_destroyed,False,2,4,601.0,117.7904,39,19,0.487179,0.487179,3,206.0,Multi-Beam Array,2,2,0,0,3,1,0,0,0,0,0,0,0,multishot:1;regen:1,7,0.3030973451327434,0.5154867256637168,105.91794069391482,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 308}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 57.959999999999994, ""frames"": 440}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 3, ""boss_hits"": 1, ""contacts"": 3, ""damage"": 59.8304, ""frames"": 1059}}"
10,263009,46.254131,3,2,1690,423,player_destroyed,False,7,4,1221.275,113.9622,54,26,0.481481,0.481481,3,241.0,Pulse Cannon,2,2,0,0,1,4,0,0,0,0,0,1,0,damage:1;shield:1;drone:1,2,0.08274231678486997,0.7021276595744681,163.96265259158724,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 352}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 300}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 1, ""boss_hits"": 4, ""contacts"": 0, ""damage"": 85.96224000000001, ""frames"": 1038}}"
