episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_defenders_destroyed,boss_immune_hits,missiles_evaded,missile_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,234000,-88.281393,3,0,1129,283,player_destroyed,False,0,0,0.0,113.4896,4,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,1,4,0,0,0,0,0,0,0,,1,0.15901060070671377,0.696113074204947,181.6569414529691,"{""3"": {""boss_casts"": 6, ""boss_dodges"": 1, ""boss_hits"": 4, ""contacts"": 1, ""damage"": 113.48960000000001, ""frames"": 1129}}"
2,234001,-55.663537,3,0,549,138,player_destroyed,False,0,0,152.5,119.6608,14,7,0.5,0.5,1,0.0,Pulse Cannon,0,0,0,0,1,2,0,0,0,0,0,0,0,,4,0.32608695652173914,0.463768115942029,93.53534769347539,"{""3"": {""boss_casts"": 3, ""boss_dodges"": 1, ""boss_hits"": 2, ""contacts"": 4, ""damage"": 119.6608, ""frames"": 549}}"
3,234002,-58.467732,3,0,981,246,player_destroyed,False,0,0,0.0,101.6848,11,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,3,2,0,0,0,0,0,0,0,,3,0.532520325203252,0.34146341463414637,73.99714278535782,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 3, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 101.6848, ""frames"": 981}}"
4,234003,-46.45962,3,0,579,145,player_destroyed,False,1,0,156.5,113.7584,16,8,0.5,0.5,1,7.0,Pulse Cannon,0,0,0,0,2,1,0,0,0,0,0,0,0,,5,0.3724137931034483,0.35172413793103446,62.49206359860041,"{""3"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 113.7584, ""frames"": 579}}"
5,234004,-40.643516,3,0,1098,275,player_destroyed,False,0,0,143.75,113.7584,13,8,0.615385,0.615385,1,0.0,Pulse Cannon,0,0,0,0,4,1,0,0,0,0,0,0,0,,5,0.4727272727272727,0.6545454545454545,80.30212666911228,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 4, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 113.7584, ""frames"": 1098}}"
6,234005,-66.33288,3,0,719,180,player_destroyed,False,0,0,0.0,101.6848,16,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,1,2,0,0,0,0,0,0,0,,3,0.18333333333333332,0.4888888888888889,126.33290825029293,"{""3"": {""boss_casts"": 4, ""boss_dodges"": 1, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 101.6848, ""frames"": 719}}"
7,234006,-62.564793,3,0,549,138,player_destroyed,False,0,0,66.25,119.6608,16,4,0.25,0.25,1,0.0,Pulse Cannon,0,0,0,0,1,2,0,0,0,0,0,0,0,,4,0.2971014492753623,0.06521739130434782,47.874855520090954,"{""3"": {""boss_casts"": 3, ""boss_dodges"": 1, ""boss_hits"": 2, ""contacts"": 4, ""damage"": 119.6608, ""frames"": 549}}"
8,234007,-81.08516,3,0,2277,570,player_destroyed,False,0,0,132.5,119.392,25,8,0.32,0.32,1,0.0,Pulse Cannon,0,0,0,0,6,5,0,0,0,0,0,0,0,,0,0.1631578947368421,0.7982456140350878,182.37905385573856,"{""3"": {""boss_casts"": 11, ""boss_dodges"": 6, ""boss_hits"": 5, ""contacts"": 0, ""damage"": 119.39200000000001, ""frames"": 2277}}"
9,234008,-66.198764,3,0,1197,300,player_destroyed,False,0,0,77.5,107.5872,12,4,0.333333,0.333333,1,0.0,Pulse Cannon,0,0,0,0,3,3,0,0,0,0,0,0,0,,2,0.31,0.6633333333333333,160.62891828684693,"{""3"": {""boss_casts"": 6, ""boss_dodges"": 3, ""boss_hits"": 3, ""contacts"": 2, ""damage"": 107.5872, ""frames"": 1197}}"
10,234009,-76.69333,3,0,1118,280,player_destroyed,False,0,0,80.0,113.4896,11,5,0.454545,0.454545,1,0.0,Pulse Cannon,0,0,0,0,1,4,0,0,0,0,0,0,0,,1,0.1357142857142857,0.7857142857142857,141.17529390517572,"{""3"": {""boss_casts"": 6, ""boss_dodges"": 1, ""boss_hits"": 4, ""contacts"": 1, ""damage"": 113.48960000000001, ""frames"": 1118}}"
