episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_defenders_destroyed,boss_immune_hits,missiles_evaded,missile_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,233000,362.45181,6,5,3074,769,player_destroyed,False,30,12,5290.0157,183.1294,205,175,0.853659,0.853659,5,903.0,Multi-Beam Array,4,4,1,0,4,1,3,12,0,5,1,1,0,damage:1;fire_rate:1;multishot:1;homing:1;drone:1,8,0.18335500650195058,0.3914174252275683,162.15063416688216,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 240}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 368}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 2, ""damage"": 65.3944, ""frames"": 828}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 436}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 456}, ""6"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 117.735, ""frames"": 746}}"
2,233001,91.235088,3,2,2150,538,player_destroyed,False,10,4,1722.425,118.0664,69,46,0.666667,0.666667,3,347.0,Pulse Cannon,2,2,0,1,3,1,2,5,2,1,0,1,0,damage:1;piercing:1;drone:1,6,0.13940520446096655,0.4962825278810409,134.20475539560584,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 372}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.489999999999998, ""frames"": 312}, ""3"": {""boss_casts"": 7, ""boss_dodges"": 3, ""boss_hits"": 1, ""contacts"": 4, ""damage"": 89.5764, ""frames"": 1466}}"
3,233002,49.914915,3,2,2338,585,player_destroyed,False,12,4,1622.5279,109.5136,82,28,0.341463,0.341463,3,276.0,Pulse Cannon,2,2,0,0,2,4,0,0,0,0,0,2,0,drone:2;critical:1,1,0.042735042735042736,0.770940170940171,261.22967149754714,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 376}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 276}, ""3"": {""boss_casts"": 8, ""boss_dodges"": 2, ""boss_hits"": 4, ""contacts"": 0, ""damage"": 95.51360000000001, ""frames"": 1686}}"
4,233003,70.355157,3,2,1416,354,player_destroyed,False,3,4,601.0,111.0668,34,23,0.676471,0.676471,3,213.0,Pulse Cannon,2,2,0,0,1,1,0,0,0,0,0,0,0,shield:1;riftbreaker:1,7,0.23163841807909605,0.4435028248587571,181.86668602984926,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 428}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 13.040999999999999, ""frames"": 364}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 1, ""boss_hits"": 1, ""contacts"": 4, ""damage"": 70.02576, ""frames"": 624}}"
5,233004,30.123856,2,1,741,186,player_destroyed,False,0,3,513.0,170.94,27,21,0.777778,0.777778,2,130.0,Pulse Cannon,1,1,0,0,0,0,0,0,0,0,0,0,0,homing:1,12,0.5268817204301075,0.6075268817204301,29.532712898596785,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 84.0, ""frames"": 340}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 86.93999999999998, ""frames"": 401}}"
6,233005,70.608237,3,2,1845,462,player_destroyed,False,8,4,1450.675,103.5482,59,53,0.898305,0.898305,3,248.0,Pulse Cannon,2,2,0,0,2,3,1,12,4,0,0,1,0,shield:1;homing:1;drone:1,3,0.0735930735930736,0.7727272727272727,187.1035582854858,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 292}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 296}, ""3"": {""boss_casts"": 6, ""boss_dodges"": 2, ""boss_hits"": 3, ""contacts"": 2, ""damage"": 89.54820000000001, ""frames"": 1257}}"
7,233006,64.000837,3,2,1435,359,player_destroyed,False,10,4,1476.6491,100.6152,62,38,0.612903,0.612903,3,262.0,Pulse Cannon,2,2,0,0,0,3,0,0,0,0,0,2,0,drone:2;critical:1,2,0.033426183844011144,0.3398328690807799,202.37561242376148,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 428}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.979999999999997, ""frames"": 400}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 0, ""boss_hits"": 3, ""contacts"": 0, ""damage"": 71.63520000000001, ""frames"": 607}}"
8,233007,50.592552,3,2,2583,646,player_destroyed,False,4,4,754.0,121.5872,52,25,0.480769,0.480769,3,220.0,Prism Laser,2,2,0,0,6,3,0,0,0,0,0,0,0,fire_rate:1;laser:1,4,0.12848297213622292,0.8637770897832817,169.72161814365424,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 244}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 220}, ""3"": {""boss_casts"": 10, ""boss_dodges"": 6, ""boss_hits"": 3, ""contacts"": 3, ""damage"": 107.5872, ""frames"": 2119}}"
9,233008,88.147887,3,2,2381,596,player_destroyed,False,11,4,1679.35,115.6848,55,33,0.6,0.6,3,354.0,Multi-Beam Array,2,2,0,1,5,2,0,0,0,0,0,1,0,multishot:1;engine:1;drone:1,4,0.1040268456375839,0.674496644295302,180.10333868679,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 328}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 280}, ""3"": {""boss_casts"": 8, ""boss_dodges"": 5, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 101.6848, ""frames"": 1773}}"
10,233009,76.916532,3,2,916,229,player_destroyed,False,2,4,953.25,110.2724,59,33,0.559322,0.559322,3,206.0,Multi-Beam Array,2,2,0,0,0,1,0,0,0,0,0,0,0,multishot:1;critical:1,5,0.3231441048034934,0.611353711790393,40.20451137776853,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 224}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.489999999999998, ""frames"": 312}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 1, ""contacts"": 4, ""damage"": 95.7824, ""frames"": 380}}"
