episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_defenders_destroyed,boss_immune_hits,missiles_evaded,missile_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,214000,-62.176297,3,0,549,138,player_destroyed,False,0,0,138.75,120.3328,15,6,0.4,0.4,1,0.0,Pulse Cannon,0,0,0,0,1,2,0,0,0,0,0,0,0,,4,0.45652173913043476,0.5217391304347826,61.613261055819926,"{""3"": {""boss_casts"": 3, ""boss_dodges"": 1, ""boss_hits"": 2, ""contacts"": 4, ""damage"": 120.33280000000002, ""frames"": 549}}"
2,214001,-47.500734,3,0,936,234,player_destroyed,False,0,0,0.0,114.5984,12,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,3,1,0,0,0,0,0,0,0,,5,0.5427350427350427,0.42735042735042733,59.14068722622397,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 3, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 114.59840000000003, ""frames"": 936}}"
3,214002,-66.123195,3,0,333,84,player_destroyed,False,0,0,0.0,120.3328,7,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,0,2,0,0,0,0,0,0,0,,4,0.6071428571428571,0.0,39.52767483912278,"{""3"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 2, ""contacts"": 4, ""damage"": 120.33280000000002, ""frames"": 333}}"
4,214003,-32.80108,3,0,635,159,player_destroyed,False,0,0,0.0,108.864,10,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,3,0,0,0,0,0,0,0,0,,6,0.4088050314465409,0.3710691823899371,79.00193807791639,"{""3"": {""boss_casts"": 3, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 108.86400000000002, ""frames"": 635}}"
5,214004,-42.068702,3,0,551,138,player_destroyed,False,0,0,188.75,114.5984,13,8,0.615385,0.615385,1,0.0,Pulse Cannon,0,0,0,0,2,1,0,0,0,0,0,0,0,,5,0.5362318840579711,0.2898550724637681,75.73834087531374,"{""3"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 114.59840000000001, ""frames"": 551}}"
6,214005,-66.658756,3,0,981,246,player_destroyed,False,0,0,0.0,107.9232,10,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,2,3,0,0,0,0,0,0,0,,2,0.10569105691056911,0.7479674796747967,184.49594022011297,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 2, ""boss_hits"": 3, ""contacts"": 2, ""damage"": 107.92320000000001, ""frames"": 981}}"
7,214006,-51.804605,3,0,1197,300,player_destroyed,False,0,0,0.0,102.1888,12,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,4,2,0,0,0,0,0,0,0,,3,0.21333333333333335,0.7933333333333333,140.08312690556474,"{""3"": {""boss_casts"": 6, ""boss_dodges"": 4, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 102.18880000000001, ""frames"": 1197}}"
8,214007,-42.880679,3,0,421,106,player_destroyed,False,1,0,283.3,114.5984,15,13,0.866667,0.866667,1,7.0,Pulse Cannon,0,0,0,0,1,1,0,0,0,0,0,0,0,,5,0.3867924528301887,0.32075471698113206,87.25163337921904,"{""3"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 114.59840000000003, ""frames"": 421}}"
9,214008,-47.210929,3,0,1189,298,player_destroyed,False,0,0,0.0,114.5984,1,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,4,1,0,0,0,0,0,0,0,,5,0.40604026845637586,0.3724832214765101,74.41180708956323,"{""3"": {""boss_casts"": 6, ""boss_dodges"": 4, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 114.59840000000001, ""frames"": 1189}}"
10,214009,-108.053095,3,0,981,246,player_destroyed,False,0,0,0.0,119.392,0,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,0,5,0,0,0,0,0,0,0,,0,0.07723577235772358,0.6707317073170732,218.7313158986123,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 0, ""boss_hits"": 5, ""contacts"": 0, ""damage"": 119.39200000000001, ""frames"": 981}}"
