episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_defenders_destroyed,boss_immune_hits,missiles_evaded,missile_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,244000,-33.125988,3,0,463,116,player_destroyed,False,0,0,125.0,107.856,18,5,0.277778,0.277778,1,0.0,Pulse Cannon,0,0,0,0,2,0,0,0,0,0,0,0,0,,6,0.4224137931034483,0.4051724137931034,84.33151404028538,"{""3"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 107.856, ""frames"": 463}}"
2,244001,-67.377293,3,0,981,246,player_destroyed,False,0,0,0.0,107.5872,0,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,2,3,0,0,0,0,0,0,0,,2,0.24796747967479674,0.3861788617886179,86.78471859394388,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 2, ""boss_hits"": 3, ""contacts"": 2, ""damage"": 107.5872, ""frames"": 981}}"
3,244002,-60.383633,3,0,526,132,player_destroyed,False,0,0,163.75,101.6848,14,7,0.5,0.5,1,0.0,Pulse Cannon,0,0,0,0,0,2,0,0,0,0,0,0,0,,3,0.3333333333333333,0.36363636363636365,82.79131581745325,"{""3"": {""boss_casts"": 3, ""boss_dodges"": 0, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 101.6848, ""frames"": 526}}"
4,244003,-80.061919,3,0,1126,282,player_destroyed,False,0,0,0.0,107.5872,2,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,2,3,0,0,0,0,0,0,0,,2,0.08156028368794327,0.6312056737588653,188.4559527392864,"{""3"": {""boss_casts"": 6, ""boss_dodges"": 2, ""boss_hits"": 3, ""contacts"": 2, ""damage"": 107.58720000000001, ""frames"": 1126}}"
5,244004,-56.767136,3,0,981,246,player_destroyed,False,1,0,297.75,107.5872,23,15,0.652174,0.652174,1,7.0,Pulse Cannon,0,0,0,0,2,3,0,0,0,0,0,0,0,,2,0.17479674796747968,0.5609756097560976,170.5195267659318,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 2, ""boss_hits"": 3, ""contacts"": 2, ""damage"": 107.5872, ""frames"": 981}}"
6,244005,-73.298695,3,0,549,138,player_destroyed,False,0,0,118.75,107.5872,11,7,0.636364,0.636364,1,0.0,Pulse Cannon,0,0,0,0,0,3,0,0,0,0,0,0,0,,2,0.5507246376811594,0.3188405797101449,64.7293612860705,"{""3"": {""boss_casts"": 3, ""boss_dodges"": 0, ""boss_hits"": 3, ""contacts"": 2, ""damage"": 107.5872, ""frames"": 549}}"
7,244006,-48.306537,3,0,457,115,player_destroyed,False,0,0,0.0,113.7584,7,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,1,1,0,0,0,0,0,0,0,,5,0.6086956521739131,0.0,43.12058403661282,"{""3"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 113.7584, ""frames"": 457}}"
8,244007,-65.466248,3,0,364,91,player_destroyed,False,0,0,27.5,101.6848,10,2,0.2,0.2,1,0.0,Pulse Cannon,0,0,0,0,0,2,0,0,0,0,0,0,0,,3,0.4175824175824176,0.0,95.2865809322401,"{""3"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 101.6848, ""frames"": 364}}"
9,244008,-62.103568,3,0,1845,462,player_destroyed,False,1,0,81.5,107.5872,18,5,0.277778,0.277778,1,7.0,Pulse Cannon,0,0,0,0,6,3,0,0,0,0,0,0,0,,2,0.16883116883116883,0.841991341991342,176.84506293471046,"{""3"": {""boss_casts"": 9, ""boss_dodges"": 6, ""boss_hits"": 3, ""contacts"": 2, ""damage"": 107.5872, ""frames"": 1845}}"
10,244009,-67.072431,3,0,792,198,player_destroyed,False,0,0,0.0,101.6848,22,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,2,2,0,0,0,0,0,0,0,,3,0.14646464646464646,0.4393939393939394,130.49453602613136,"{""3"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 101.6848, ""frames"": 792}}"
