episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_defenders_destroyed,boss_immune_hits,missiles_evaded,missile_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,243000,279.942461,5,4,2629,658,player_destroyed,False,23,10,3704.5497,161.03,287,174,0.606272,0.606272,5,758.0,Multi-Beam Array,4,3,1,0,2,0,2,58,2,3,1,2,0,multishot:2;drone:2;leech:1;riftbreaker:1,11,0.14437689969604864,0.48936170212765956,168.16467846110388,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 412}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 360}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 35.31, ""frames"": 900}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 468}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 10, ""damage"": 111.72000000000003, ""frames"": 489}}"
2,243001,91.980294,3,2,1610,403,player_destroyed,False,10,4,1496.575,116.6816,55,44,0.8,0.8,3,262.0,Pulse Cannon,2,2,0,0,1,0,0,0,0,0,0,1,0,damage:1;engine:1;drone:1,6,0.1315136476426799,0.652605459057072,164.63232717303316,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 400}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.979999999999997, ""frames"": 432}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 73.7016, ""frames"": 778}}"
3,243002,33.868497,3,2,2029,508,player_destroyed,False,4,4,671.0,198.9596,46,31,0.673913,0.673913,3,220.0,Rapid Pulse,2,2,0,0,2,4,0,0,0,0,0,0,0,hull:1;fire_rate:1,9,0.2618110236220472,0.48031496062992124,131.84850894063908,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 42.0, ""frames"": 260}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 43.47, ""frames"": 512}, ""3"": {""boss_casts"": 6, ""boss_dodges"": 2, ""boss_hits"": 4, ""contacts"": 1, ""damage"": 113.4896, ""frames"": 1257}}"
4,243003,64.169032,3,2,1083,271,player_destroyed,False,4,4,915.0,107.6947,42,36,0.857143,0.857143,3,220.0,Rapid Pulse,2,2,0,0,0,2,0,0,0,0,0,0,0,fire_rate:1;shield:1,5,0.1992619926199262,0.7011070110701108,168.80519583332992,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 188}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 288}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 0, ""boss_hits"": 2, ""contacts"": 5, ""damage"": 107.69471999999999, ""frames"": 607}}"
5,243004,76.083457,3,2,2373,594,player_destroyed,False,14,4,1731.875,129.5952,68,31,0.455882,0.455882,3,290.0,Pulse Cannon,2,2,0,0,4,3,0,0,0,0,0,1,0,engine:1;regen:1;drone:1,4,0.09259259259259259,0.4006734006734007,229.3190890084615,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 340}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 57.959999999999994, ""frames"": 560}, ""3"": {""boss_casts"": 7, ""boss_dodges"": 4, ""boss_hits"": 3, ""contacts"": 0, ""damage"": 71.63520000000001, ""frames"": 1473}}"
6,243005,64.654073,3,2,1481,371,player_destroyed,False,8,4,1072.625,122.7128,34,28,0.823529,0.823529,3,248.0,Pulse Cannon,2,2,0,0,1,2,0,0,0,0,0,1,0,damage:1;engine:1;drone:1,6,0.16442048517520216,0.6145552560646901,158.98244518791358,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 328}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.979999999999997, ""frames"": 328}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 1, ""boss_hits"": 2, ""contacts"": 2, ""damage"": 65.7328, ""frames"": 825}}"
7,243006,66.964808,3,2,1714,429,player_destroyed,False,10,4,1478.8617,118.3728,54,42,0.777778,0.777778,3,262.0,Pulse Cannon,2,2,0,0,1,3,1,1,0,0,0,2,0,homing:1;drone:2,4,0.11888111888111888,0.43123543123543123,152.69263578978948,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 284}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 392}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 1, ""boss_hits"": 3, ""contacts"": 4, ""damage"": 118.37280000000001, ""frames"": 1038}}"
8,243007,97.380261,3,2,1610,403,player_destroyed,False,7,4,1462.375,111.58,80,51,0.6375,0.6375,3,241.0,Multi-Beam Array,2,2,0,0,2,1,2,9,5,0,0,1,0,multishot:1;drone:1,5,0.14640198511166252,0.3573200992555831,227.26174087862896,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 340}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 264}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 4, ""damage"": 97.57999999999998, ""frames"": 1006}}"
9,243008,83.585402,3,2,1765,442,player_destroyed,False,1,4,656.0,117.88,25,24,0.96,0.96,3,199.0,Pulse Cannon,2,2,0,0,4,0,0,0,0,0,0,0,0,homing:1;critical:1,7,0.20361990950226244,0.6515837104072398,146.86898349405806,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 252}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 204}, ""3"": {""boss_casts"": 6, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 89.88, ""frames"": 1309}}"
10,243009,73.742062,3,2,1863,466,player_destroyed,False,13,4,1920.65,123.0747,65,64,0.984615,0.984615,3,368.0,Pulse Cannon,2,2,0,1,0,3,2,4,1,0,0,1,0,homing:2;drone:1,4,0.07296137339055794,0.5450643776824035,249.2437050902912,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 432}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 51.439499999999995, ""frames"": 392}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 0, ""boss_hits"": 3, ""contacts"": 0, ""damage"": 71.63520000000001, ""frames"": 1039}}"
11,243010,37.500604,3,2,1901,476,player_destroyed,False,11,4,1286.9,110.0036,45,25,0.555556,0.555556,3,269.0,Pulse Cannon,2,2,0,0,0,4,0,0,0,0,0,1,0,engine:2;drone:1,1,0.06512605042016807,0.3949579831932773,158.57891985815886,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 264}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.489999999999998, ""frames"": 380}, ""3"": {""boss_casts"": 6, ""boss_dodges"": 0, ""boss_hits"": 4, ""contacts"": 0, ""damage"": 95.51360000000001, ""frames"": 1257}}"
12,243011,20.720833,2,1,684,171,player_destroyed,False,0,2,542.0,108.9095,17,13,0.764706,0.764706,2,96.0,Pulse Cannon,1,1,0,0,0,0,0,0,0,0,0,1,0,homing:1;drone:1,7,0.32748538011695905,0.6783625730994152,169.24669365766874,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 260}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 94.90949999999998, ""frames"": 424}}"
