episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_defenders_destroyed,boss_immune_hits,missiles_evaded,missile_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,213000,50.60996,2,1,737,185,player_destroyed,False,1,4,563.5,101.92,28,15,0.535714,0.535714,2,171.0,Pulse Cannon,1,1,0,0,0,0,0,0,0,0,0,1,0,drone:1;critical:1,7,0.40540540540540543,0.6864864864864865,141.5919363837965,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 276}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 101.92, ""frames"": 461}}"
2,213001,36.732088,2,1,664,166,player_destroyed,False,3,3,610.5,108.808,19,17,0.894737,0.894737,2,151.0,Prism Laser,1,1,0,0,0,0,0,0,0,0,0,1,0,laser:1;drone:1,7,0.5481927710843374,0.5602409638554217,104.9618256343595,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 280}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 80.808, ""frames"": 384}}"
3,213002,117.441191,3,2,1977,495,player_destroyed,False,12,5,2046.625,116.1888,116,71,0.612069,0.612069,3,310.0,Multi-Beam Array,2,2,0,0,3,2,2,16,4,0,0,1,0,multishot:1;range:1;drone:1,4,0.1696969696969697,0.45454545454545453,156.36162448417252,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 348}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 528}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 3, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 102.18880000000001, ""frames"": 1101}}"
4,213003,99.116325,3,2,1835,459,player_destroyed,False,11,5,1469.225,129.1584,58,35,0.603448,0.603448,3,303.0,Pulse Cannon,2,2,0,0,2,1,0,0,0,0,0,1,0,engine:1;regen:1;drone:1,7,0.28104575163398693,0.5882352941176471,154.01794808228925,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 384}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.56, ""frames"": 436}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 6, ""damage"": 114.59840000000001, ""frames"": 1015}}"
5,213004,52.149423,3,2,1595,399,player_destroyed,False,7,5,1195.425,180.6336,43,30,0.697674,0.697674,3,275.0,Pulse Cannon,2,2,0,0,0,4,0,0,0,0,0,1,0,homing:1;drone:1;leech:1,6,0.15789473684210525,0.5087719298245614,217.28481116021487,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 56.0, ""frames"": 296}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 29.12, ""frames"": 476}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 0, ""boss_hits"": 4, ""contacts"": 0, ""damage"": 95.51360000000001, ""frames"": 823}}"
6,213005,76.205019,3,2,2173,544,player_destroyed,False,4,5,938.0,176.8928,69,41,0.594203,0.594203,3,254.0,Multi-Beam Array,2,2,0,0,4,2,0,0,0,0,0,0,0,multishot:1;regen:1,10,0.25919117647058826,0.6084558823529411,107.52846405454228,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 42.0, ""frames"": 324}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 14.56, ""frames"": 560}, ""3"": {""boss_casts"": 6, ""boss_dodges"": 4, ""boss_hits"": 2, ""contacts"": 4, ""damage"": 120.33280000000002, ""frames"": 1289}}"
7,213006,116.165712,3,2,2487,622,player_destroyed,False,12,5,1901.824,117.722,58,49,0.844828,0.844828,3,310.0,Pulse Cannon,2,2,0,0,6,2,2,11,8,1,0,1,0,homing:1;drone:1;riftbreaker:1,6,0.11254019292604502,0.6881028938906752,196.23494939171997,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 324}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 43.68, ""frames"": 476}, ""3"": {""boss_casts"": 8, ""boss_dodges"": 6, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 74.042, ""frames"": 1687}}"
8,213007,35.09231,2,1,913,229,player_destroyed,False,1,3,421.25,128.8,37,16,0.432432,0.432432,2,137.0,Pulse Cannon,1,1,0,0,0,0,0,0,0,0,0,0,0,hull:1,9,0.388646288209607,0.37117903930131,136.11428834939545,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 56.0, ""frames"": 428}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 72.8, ""frames"": 485}}"
9,213008,73.801966,3,2,2603,651,player_destroyed,False,16,5,1651.775,104.3392,130,28,0.215385,0.215385,3,338.0,Prism Laser,2,2,0,0,3,3,0,0,0,0,0,1,0,multishot:1;laser:1;drone:1,2,0.06605222734254992,0.46543778801843316,206.0533153231762,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 292}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.56, ""frames"": 552}, ""3"": {""boss_casts"": 8, ""boss_dodges"": 3, ""boss_hits"": 3, ""contacts"": 1, ""damage"": 89.77920000000002, ""frames"": 1759}}"
10,213009,38.571883,2,1,778,195,player_destroyed,False,3,3,621.0,100.24,32,26,0.8125,0.8125,2,151.0,Pulse Cannon,1,1,0,0,0,0,0,0,0,0,0,0,0,homing:1,9,0.40512820512820513,0.6512820512820513,105.66400115757725,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 42.0, ""frames"": 352}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 58.24, ""frames"": 426}}"
