episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,95000,-51.166686,3,0,545,137,player_destroyed,False,0,0,88.75,114.5984,7,4,0.571429,0.571429,1,0.0,Pulse Cannon,0,0,0,0,1,1,0,0,0,,5,0.2846715328467153,0.4233576642335766,132.82247845916012,"{""3"": {""boss_casts"": 3, ""boss_dodges"": 1, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 114.59840000000003, ""frames"": 545}}"
2,95001,-73.241231,3,0,1092,273,player_destroyed,False,0,0,0.0,107.9232,4,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,2,3,0,0,0,,2,0.20146520146520147,0.4981684981684982,107.32156912803843,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 2, ""boss_hits"": 3, ""contacts"": 2, ""damage"": 107.92320000000002, ""frames"": 1092}}"
3,95002,-59.858892,3,0,981,246,player_destroyed,False,0,0,0.0,120.3328,9,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,3,2,0,0,0,,4,0.14227642276422764,0.8130081300813008,146.8152851067334,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 3, ""boss_hits"": 2, ""contacts"": 4, ""damage"": 120.33280000000002, ""frames"": 981}}"
4,95003,-99.698617,3,0,1629,408,player_destroyed,False,1,0,80.8,119.392,29,4,0.137931,0.137931,1,6.0,Pulse Cannon,0,0,0,0,3,5,0,0,0,,0,0.16666666666666666,0.7083333333333334,143.44007741217143,"{""3"": {""boss_casts"": 8, ""boss_dodges"": 3, ""boss_hits"": 5, ""contacts"": 0, ""damage"": 119.39200000000001, ""frames"": 1629}}"
5,95004,-63.471779,3,0,549,138,player_destroyed,False,0,0,0.0,102.1888,18,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,1,2,0,0,0,,3,0.4057971014492754,0.18115942028985507,53.41852396087174,"{""3"": {""boss_casts"": 3, ""boss_dodges"": 1, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 102.18880000000001, ""frames"": 549}}"
6,95005,-54.778668,3,0,765,192,player_destroyed,False,0,0,0.0,102.1888,1,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,2,2,0,0,0,,3,0.3125,0.7552083333333334,86.10775830007495,"{""3"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 102.18880000000001, ""frames"": 765}}"
7,95006,-78.643031,3,0,699,175,player_destroyed,False,0,0,0.0,107.9232,20,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,0,3,0,0,0,,2,0.10857142857142857,0.5257142857142857,137.33384963919536,"{""3"": {""boss_casts"": 4, ""boss_dodges"": 0, ""boss_hits"": 3, ""contacts"": 2, ""damage"": 107.92320000000002, ""frames"": 699}}"
8,95007,-24.200352,3,0,1099,275,player_destroyed,False,0,0,155.0,108.864,9,8,0.888889,0.888889,1,0.0,Pulse Cannon,0,0,0,0,5,0,0,0,0,,6,0.23272727272727273,0.7745454545454545,122.96535030591221,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 5, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 108.86400000000002, ""frames"": 1099}}"
9,95008,-55.8387,3,0,981,246,player_destroyed,False,1,0,80.8,102.1888,11,4,0.363636,0.363636,1,6.0,Pulse Cannon,0,0,0,0,3,2,0,0,0,,3,0.25203252032520324,0.5,95.54615226319326,"{""3"": {""boss_casts"": 5, ""boss_dodges"": 3, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 102.18880000000001, ""frames"": 981}}"
10,95009,-58.049096,3,0,1177,295,player_destroyed,False,0,0,50.0,102.1888,9,2,0.222222,0.222222,1,0.0,Pulse Cannon,0,0,0,0,3,2,0,0,0,,3,0.23389830508474577,0.6135593220338983,111.5343132481835,"{""3"": {""boss_casts"": 6, ""boss_dodges"": 3, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 102.18880000000001, ""frames"": 1177}}"
