episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,94000,88.919834,3,2,2459,615,player_destroyed,False,16,5,2125.3845,143.4384,69,43,0.623188,0.623188,3,290.0,Pulse Cannon,2,2,0,0,3,3,0,2,0,regen:1;drone:2,4,0.061788617886178863,0.432520325203252,196.04376838026337,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 244}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 43.68, ""frames"": 508}, ""3"": {""boss_casts"": 8, ""boss_dodges"": 3, ""boss_hits"": 3, ""contacts"": 1, ""damage"": 99.75840000000002, ""frames"": 1707}}"
2,94001,64.890077,3,2,1403,351,player_destroyed,False,1,5,678.5,165.0432,86,26,0.302326,0.302326,2,200.0,Multi-Beam Array,1,2,0,0,0,3,0,0,0,multishot:1,6,0.26495726495726496,0.4928774928774929,136.23181809339158,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 316}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 29.12, ""frames"": 464}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 0, ""boss_hits"": 3, ""contacts"": 2, ""damage"": 107.92320000000002, ""frames"": 623}}"
3,94002,56.201924,3,2,2492,623,player_destroyed,False,15,5,1644.575,177.072,57,29,0.508772,0.508772,3,284.0,Pulse Cannon,2,2,0,0,2,5,0,1,0,engine:2;drone:1,4,0.14606741573033707,0.6276083467094703,228.1495788372962,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 328}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 43.68, ""frames"": 692}, ""3"": {""boss_casts"": 7, ""boss_dodges"": 2, ""boss_hits"": 5, ""contacts"": 0, ""damage"": 119.39200000000001, ""frames"": 1472}}"
4,94003,73.403818,3,2,1583,396,player_destroyed,False,6,5,1296.55,159.6112,98,51,0.520408,0.520408,2,230.0,Multi-Beam Array,1,2,0,0,1,3,0,0,0,multishot:1,5,0.20202020202020202,0.7651515151515151,152.89929664868205,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 340}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 51.688, ""frames"": 328}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 1, ""boss_hits"": 3, ""contacts"": 2, ""damage"": 107.92320000000001, ""frames"": 915}}"
5,94004,117.152659,3,2,1719,430,player_destroyed,False,10,5,1812.8125,106.4336,64,37,0.578125,0.578125,3,254.0,Pulse Cannon,2,2,0,0,5,1,0,1,0,drone:1;riftbreaker:1,4,0.13488372093023257,0.672093023255814,184.2738765371625,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 224}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 240}, ""3"": {""boss_casts"": 6, ""boss_dodges"": 5, ""boss_hits"": 1, ""contacts"": 4, ""damage"": 106.43360000000001, ""frames"": 1255}}"
6,94005,40.720113,2,1,912,228,player_destroyed,False,4,3,670.0,100.24,43,26,0.604651,0.604651,2,136.0,Pulse Cannon,1,1,0,0,0,0,0,0,0,damage:1,9,0.37280701754385964,0.6052631578947368,134.03617192580512,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 42.0, ""frames"": 260}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 58.24, ""frames"": 652}}"
7,94006,36.369851,2,1,971,243,player_destroyed,False,3,3,540.0,114.24,28,22,0.785714,0.785714,2,130.0,Pulse Cannon,1,1,0,0,0,0,0,0,0,leech:1,10,0.4567901234567901,0.7860082304526749,134.76682800674794,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 56.0, ""frames"": 400}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 58.24, ""frames"": 571}}"
8,94007,88.428643,3,2,2882,721,player_destroyed,False,20,5,2120.35,110.0736,92,29,0.315217,0.315217,3,314.0,Prism Laser,2,2,0,0,6,4,0,1,0,laser:1;drone:1,1,0.06657420249653259,0.5131761442441054,212.31009547597293,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 240}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.56, ""frames"": 524}, ""3"": {""boss_casts"": 10, ""boss_dodges"": 6, ""boss_hits"": 4, ""contacts"": 0, ""damage"": 95.51360000000001, ""frames"": 2118}}"
9,94008,88.717508,3,2,1523,381,player_destroyed,False,0,5,751.25,110.4544,115,28,0.243478,0.243478,2,194.0,Multi-Beam Array,1,2,0,0,1,1,0,0,0,multishot:1,6,0.28346456692913385,0.3700787401574803,107.99052491833747,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 268}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 564}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 1, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 96.4544, ""frames"": 691}}"
10,94009,101.990035,3,2,1933,484,player_destroyed,False,10,5,1807.4125,107.9008,54,45,0.833333,0.833333,3,254.0,Prism Laser,2,2,0,0,3,2,0,1,0,laser:1;engine:1;drone:1,5,0.17768595041322313,0.6818181818181818,151.91609677898646,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 42.0, ""frames"": 308}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 368}, ""3"": {""boss_casts"": 6, ""boss_dodges"": 3, ""boss_hits"": 2, ""contacts"": 2, ""damage"": 65.9008, ""frames"": 1257}}"
