episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,53000,12.814393,1,0,3600,900,phase_timeout,True,27,1,1450.0,98.0,109,58,0.53211,0.53211,2,192.0,Pulse Cannon,1,0,0,0,0,0,0,0,0,capacitor:1,7,0.0811111111111111,0.017777777777777778,134.34939510567713,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 98.0, ""frames"": 3600}}"
2,53001,-30.264834,1,0,1624,406,player_destroyed,False,19,0,950.0,154.0,51,38,0.745098,0.745098,2,114.0,Pulse Cannon,1,0,0,0,0,0,0,0,0,,11,0.2660098522167488,0.05172413793103448,89.62513652632062,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 11, ""damage"": 154.0, ""frames"": 1624}}"
3,53002,-33.062722,1,0,1200,300,player_destroyed,False,11,0,575.0,154.0,38,23,0.605263,0.605263,2,66.0,Pulse Cannon,1,0,0,0,0,0,0,0,0,,11,0.31333333333333335,0.0,96.84592711683614,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 11, ""damage"": 154.0, ""frames"": 1200}}"
4,53003,38.642944,1,0,3600,900,phase_timeout,True,49,1,2550.0,28.0,178,102,0.573034,0.573034,3,324.0,Multi-Beam Array,2,0,0,0,0,0,0,0,0,damage:1;multishot:1,2,0.06888888888888889,0.2788888888888889,128.22661929224415,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 3600}}"
5,53004,-32.831499,1,0,988,247,player_destroyed,False,8,0,425.0,112.0,28,17,0.607143,0.607143,1,48.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,,8,0.2550607287449393,0.22672064777327935,100.99802107850327,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 988}}"
6,53005,17.409324,1,0,3600,900,phase_timeout,True,26,1,1400.0,56.0,103,56,0.543689,0.543689,2,186.0,Pulse Cannon,1,0,0,0,0,0,0,0,0,hull:1,4,0.03222222222222222,0.59,145.93044708719393,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 56.0, ""frames"": 3600}}"
7,53006,-21.052185,1,0,1732,433,player_destroyed,False,20,0,1000.0,112.0,61,40,0.655738,0.655738,2,120.0,Pulse Cannon,1,0,0,0,0,0,0,0,0,damage:1,8,0.18706697459584296,0.020785219399538105,117.64766261481779,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 1732}}"
8,53007,-33.141585,1,0,932,233,player_destroyed,False,8,0,450.0,112.0,27,18,0.666667,0.666667,1,48.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,,8,0.36909871244635195,0.0,80.70542672104024,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 932}}"
9,53008,-35.998706,1,0,642,161,player_destroyed,False,4,0,275.0,112.0,18,11,0.611111,0.611111,1,24.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,,8,0.36645962732919257,0.0,72.28320389497603,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 642}}"
10,53009,-36.947583,1,0,731,183,player_destroyed,False,5,0,275.0,112.0,24,11,0.458333,0.458333,1,30.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,,8,0.453551912568306,0.0,87.1800930862369,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 731}}"
