episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,43000,-41.48001,1,0,818,205,player_destroyed,False,0,0,0.0,112.0,27,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,,8,0.375609756097561,0.8439024390243902,103.13885056881124,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 818}}"
2,43001,-38.722791,1,0,500,125,player_destroyed,False,0,0,0.0,112.0,19,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,,8,0.448,0.84,62.18175832340009,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 500}}"
3,43002,-39.753573,1,0,674,169,player_destroyed,False,0,0,0.0,112.0,24,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,,8,0.35502958579881655,0.7041420118343196,117.91919589308216,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 674}}"
4,43003,-40.972814,1,0,601,151,player_destroyed,False,0,0,25.0,112.0,22,1,0.045455,0.045455,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,,8,0.6026490066225165,0.2582781456953642,70.13151207471408,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 601}}"
5,43004,-40.877567,1,0,450,113,player_destroyed,False,0,0,25.0,112.0,17,1,0.058824,0.058824,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,,8,0.672566371681416,0.336283185840708,24.343445837213803,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 450}}"
6,43005,-41.13272,1,0,704,176,player_destroyed,False,0,0,0.0,112.0,24,0,0.0,0.0,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,,8,0.25,0.75,179.2673063080848,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 704}}"
7,43006,-24.657144,1,0,734,184,player_destroyed,False,2,1,200.0,112.0,33,8,0.242424,0.242424,1,42.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,,8,0.6467391304347826,0.5869565217391305,61.53667031699646,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 734}}"
8,43007,-38.48999,1,0,772,193,player_destroyed,False,1,0,125.0,112.0,29,5,0.172414,0.172414,1,6.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,,8,0.46632124352331605,0.538860103626943,101.7680454069226,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 772}}"
9,43008,-37.391113,1,0,386,97,player_destroyed,False,1,0,175.0,112.0,13,7,0.538462,0.538462,1,6.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,,8,0.7010309278350515,0.5670103092783505,41.76925811136598,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 386}}"
10,43009,-40.182374,1,0,444,111,player_destroyed,False,0,0,25.0,112.0,18,1,0.055556,0.055556,1,0.0,Pulse Cannon,0,0,0,0,0,0,0,0,0,,8,0.44144144144144143,0.5945945945945946,62.92256278907298,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 112.0, ""frames"": 444}}"
