#{"t_start": 1788147773.2725308, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level,active_minibosses,active_boss_hazards,drone_level
51.913276,898,2.070281,2,0.0,29,2,1,109.36800000000001,327.0,3,1,0,3
-20.909391,329,2.434627,1,0.0,16,0,0,112.0,128.0,2,0,0,0
-29.381611,208,2.66982,1,0.0,9,0,0,112.0,72.0,2,0,0,0
-37.230629,148,2.840863,1,0.0,2,0,0,112.0,16.0,1,0,0,0
-35.665611,139,2.996479,1,0.0,3,0,0,112.0,24.0,1,0,0,0
80.421712,1045,4.231266,2,0.0,53,2,1,114.80000000000001,519.0,4,0,0,1
-28.633901,271,4.538037,1,0.0,11,0,0,112.0,88.0,2,0,0,0
-38.138697,88,4.635365,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-21.920011,377,5.067317,1,0.0,18,0,0,112.0,144.0,2,0,0,0
-32.919006,140,5.222219,1,0.0,6,0,0,112.0,48.0,1,0,0,0
-6.195045,585,5.959105,1,0.0,29,0,0,112.0,232.0,3,0,0,0
-25.522181,312,6.339458,1,0.0,13,0,0,112.0,104.0,2,0,0,0
41.607961,900,7.903165,1,100.0,46,1,0,0.0,403.0,4,0,0,1
48.678264,900,9.934034,1,100.0,51,1,0,0.0,443.0,4,0,0,1
170.146292,1523,13.359896,3,0.0,63,5,2,112.83840000000001,729.0,5,0,2,2
-4.995769,601,14.728672,1,0.0,31,0,0,112.0,248.0,3,0,0,0
214.158587,1894,18.999207,3,0.0,113,5,2,166.48000000000002,1129.0,6,0,2,3
196.800988,1741,23.028289,3,0.0,89,5,2,224.30399999999995,1027.0,6,0,3,2
-20.085529,397,23.904355,1,0.0,16,0,0,112.0,128.0,2,0,0,0
15.000986,885,25.967026,1,0.0,48,0,0,112.0,384.0,4,0,0,0
-20.96377,382,26.826103,1,0.0,18,0,0,112.0,144.0,2,0,0,0
46.308695,575,28.14449,2,0.0,20,2,1,109.704,255.0,3,1,0,1
-22.111269,292,28.811339,1,0.0,13,0,0,103.59999999999998,104.0,2,0,0,0
-21.90591,351,29.587747,1,0.0,16,0,0,126.0,128.0,2,0,0,0
76.842088,865,31.466487,2,0.0,38,3,1,157.36,434.0,4,0,0,0
39.587512,900,33.483507,1,100.0,40,1,0,0.0,355.0,3,0,0,0
-24.05377,306,34.179014,1,0.0,13,0,0,112.0,104.0,2,0,0,0
-19.03528,347,34.957532,1,0.0,17,0,0,112.0,136.0,2,0,0,0
48.995419,806,36.678849,2,0.0,28,2,1,199.92000000000002,319.0,3,0,0,0
-34.603464,122,36.978103,1,0.0,4,0,0,112.0,32.0,1,0,0,0
32.031108,900,38.916577,1,72.0,33,1,0,28.0,299.0,3,0,0,0
-4.097095,570,40.278619,1,0.0,30,0,0,112.0,240.0,3,0,0,0
67.384694,769,41.957497,2,0.0,33,2,1,101.36000000000001,359.0,3,0,0,0
-32.910194,179,42.349246,1,0.0,5,0,0,112.0,40.0,1,0,0,0
203.662472,1847,46.616381,3,0.0,101,5,2,225.58400000000003,1033.0,6,0,2,2
53.692012,900,48.690921,1,86.0,51,1,0,14.0,443.0,4,0,0,0
-11.993461,469,49.765069,1,0.0,23,0,0,126.0,184.0,3,0,0,0
163.215999,1170,63.631632,3,0.0,51,5,2,123.42400000000002,633.0,5,0,3,0
-7.64462,564,64.945183,1,0.0,30,0,0,140.0,240.0,3,0,0,0
-19.482951,329,65.684321,1,0.0,15,0,0,112.0,120.0,2,0,0,0
907.106272,2749,72.468045,8,0.0,246,24,7,218.1280000000001,3373.0,11,0,0,3
145.423162,1043,74.944663,3,0.0,38,5,2,123.74400000000001,529.0,4,0,2,1
182.296875,1221,77.740909,3,0.0,67,5,2,127.50400000000002,761.0,5,0,2,1
-36.205144,122,78.008761,1,0.0,3,0,0,112.0,24.0,1,0,0,0
142.639292,971,80.208488,3,0.0,40,5,2,117.08800000000002,545.0,4,0,2,0
283.23508,1698,84.317318,4,0.0,98,7,3,219.48800000000006,1254.0,7,0,0,1
156.65478,679,86.079045,3,0.0,33,5,2,125.37600000000002,579.0,4,0,2,2
229.329574,2080,91.08098,3,0.0,116,5,2,113.50400000000002,1153.0,6,0,3,3
78.530399,929,93.176995,2,0.0,48,3,1,254.8,514.0,4,0,0,0
129.207,486,94.271022,3,0.0,20,5,2,111.0336,385.0,4,0,2,1
51.943883,347,95.095075,2,0.0,12,3,1,101.36000000000001,226.0,3,0,0,0
-10.444222,316,95.77173,1,0.0,9,1,0,112.0,107.0,2,0,0,0
-29.777503,222,96.273746,1,0.0,8,0,0,112.0,64.0,2,0,0,0
197.471742,1666,100.22785,3,0.0,80,5,2,139.37600000000003,955.0,6,0,2,2
220.769544,714,102.019078,4,0.0,29,7,3,118.27200000000002,702.0,5,1,0,1
-10.6539,449,103.091082,1,0.0,21,0,0,112.0,168.0,2,0,0,0
172.933066,1286,106.188001,3,0.0,59,5,2,107.20000000000002,697.0,5,0,2,1
43.970939,232,106.724947,2,0.0,8,2,1,125.94400000000002,249.0,3,0,0,0
70.473542,989,109.106796,2,0.0,49,2,1,214.48000000000002,487.0,4,0,0,0
236.427286,816,111.062645,4,0.0,49,7,3,176.28800000000004,862.0,5,0,0,1
-29.856793,163,111.44165,1,0.0,7,0,0,112.0,56.0,2,0,0,0
146.308613,686,113.050637,3,0.0,35,5,2,111.34400000000002,505.0,4,0,2,0
426.371674,1964,117.700123,5,0.0,124,12,4,214.00000000000003,1662.0,8,0,0,1
42.759654,356,118.507879,2,0.0,16,2,1,101.92,223.0,3,0,0,2
134.038471,738,120.259716,3,0.0,29,5,2,107.23200000000001,457.0,4,0,0,1
-7.73514,287,120.940471,1,0.0,12,1,0,112.0,131.0,2,0,0,0
43.576699,491,122.098057,2,0.0,17,2,1,108.248,231.0,3,1,0,0
137.16302,1101,126.941273,3,0.0,43,5,2,253.61600000000004,569.0,4,0,2,1
136.670655,833,128.821786,3,0.0,35,5,2,218.056,595.0,4,0,0,0
426.636794,1315,132.138241,5,0.0,113,12,4,208.51200000000006,1574.0,8,0,0,3
49.383059,329,132.905524,2,0.0,9,3,1,102.256,202.0,3,1,0,1
146.629863,761,134.681772,3,0.0,34,5,2,117.64800000000002,497.0,4,0,2,2
146.997357,1207,137.507854,3,0.0,48,5,2,209.04000000000002,609.0,5,0,2,0
140.387043,609,138.941643,3,0.0,23,5,2,114.57600000000002,409.0,4,0,0,1
-15.096949,196,139.38915,1,0.0,8,1,0,112.0,99.0,2,0,0,0
123.816578,687,140.993079,3,0.0,21,5,2,108.83200000000002,393.0,4,0,0,0
665.864429,1649,145.047099,7,0.0,123,20,6,121.01599999999999,2134.0,9,1,0,2
82.173252,389,145.934526,2,0.0,20,4,1,125.94400000000002,415.0,4,0,0,1
53.135796,343,146.726362,2,0.0,15,3,1,115.36000000000001,250.0,3,0,0,1
-31.616326,172,147.127614,1,0.0,5,0,0,112.0,40.0,1,0,0,0
59.991237,471,148.210499,2,0.0,20,3,1,100.80000000000001,290.0,3,0,0,0
135.465125,649,149.753121,3,0.0,25,5,2,127.28800000000003,515.0,4,0,0,1
48.414168,272,150.367356,2,0.0,9,3,1,110.264,202.0,3,1,0,1
-12.617259,222,150.905981,1,0.0,11,1,0,112.0,123.0,2,0,0,0
147.424857,767,152.692554,3,0.0,36,5,2,197.05600000000004,513.0,4,0,3,1
57.903133,401,153.639336,2,0.0,19,3,1,115.92000000000002,282.0,3,0,0,1
137.174916,690,155.290545,3,0.0,32,5,2,175.32800000000003,481.0,4,0,2,1
-17.327952,242,155.867814,1,0.0,5,1,0,112.0,75.0,2,0,0,0
30.120604,291,156.587378,2,0.0,7,2,1,132.832,151.0,2,1,0,1
133.602729,619,158.050418,3,0.0,29,5,2,121.79200000000002,457.0,4,0,2,3
42.190001,276,158.673328,2,0.0,8,3,1,159.376,194.0,3,1,0,0
57.403862,315,159.429466,2,0.0,10,3,1,123.36800000000001,300.0,3,0,0,1
43.06444,417,160.390098,2,0.0,16,2,1,110.824,223.0,3,1,0,1
148.771127,787,162.236475,3,0.0,42,5,2,228.68800000000005,651.0,5,0,2,2
41.662558,281,162.898561,2,0.0,10,2,1,122.808,265.0,3,0,0,1
54.519459,569,164.255751,2,0.0,25,2,1,102.256,295.0,3,1,0,1
62.353014,482,165.370382,2,0.0,20,3,1,101.36000000000001,290.0,3,0,0,1
47.097024,256,165.936134,2,0.0,8,3,1,101.36000000000001,194.0,3,0,0,1
