#{"t_start": 1788149013.5239172, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level,active_minibosses,active_boss_hazards,drone_level
-39.6425,232,1.34526,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.30024,135,1.501925,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.442267,201,1.755821,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.154937,121,1.897347,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.720041,233,2.197829,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.863096,158,2.385982,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.405394,98,2.497847,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.960791,161,2.690439,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-38.755229,201,2.937001,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-39.131129,135,3.09285,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.749158,240,3.42491,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-35.391316,134,3.606425,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.205311,123,3.775189,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.865611,212,4.044961,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-36.403651,80,4.13642,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.993047,181,4.355147,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.231061,140,4.521487,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.325809,135,4.675595,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.657425,278,5.044789,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.608728,141,5.211152,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.727541,107,5.337605,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.827034,197,5.586323,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.978297,213,5.858899,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.286361,184,6.100214,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.566797,113,6.238371,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.21553,190,6.456448,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-23.940766,151,6.619245,1,0.0,0,1,0,112.0,35.0,1,0,0,0
-39.54111,286,6.999912,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.23475,178,7.224095,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.456861,75,7.339808,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.109915,150,7.673974,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.089122,94,7.888738,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.305688,172,8.285174,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-36.289585,126,8.537651,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-35.854117,149,8.866697,1,0.0,2,0,0,112.0,16.0,1,0,0,0
-37.94112,165,9.227053,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.124344,95,9.423358,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.972568,144,9.730486,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.327348,87,9.91525,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.027835,168,10.323888,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.876457,119,10.636251,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.134077,161,11.057824,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.843712,108,11.302084,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.16421,116,11.563169,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.602786,230,12.113885,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-39.665133,162,12.474941,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-36.894224,94,12.672523,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.266141,163,13.052091,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.205097,260,13.690623,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-36.023117,81,13.86263,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-38.461979,90,14.068459,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.712432,120,14.346795,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.264695,166,14.754224,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-24.39536,120,15.031667,1,0.0,0,1,0,112.0,35.0,1,0,0,0
-39.715196,280,15.729379,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.275588,144,16.063406,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.820346,126,16.343407,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-40.319843,208,16.824343,1,0.0,0,0,0,126.0,0.0,1,0,0,0
-36.33468,123,17.098768,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-39.302642,117,17.354745,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-36.752874,130,17.643819,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-36.127651,119,17.906883,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-39.324979,132,18.220009,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.393637,152,18.561808,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.217946,188,19.009624,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.238502,202,19.489317,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.603328,126,19.777102,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.879723,146,20.111529,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.16245,83,20.298703,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-40.282968,288,21.012768,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.589887,214,21.551577,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.136594,105,21.787385,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.120651,150,22.140982,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.708986,167,22.520312,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.733124,114,22.789376,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.553905,83,22.974631,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-22.913936,182,23.387329,1,0.0,1,1,0,112.0,43.0,1,0,0,0
-38.887887,144,23.712181,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.939702,105,23.953419,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.15236,146,24.28659,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.554127,102,24.505938,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.984133,171,24.923126,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.018366,165,25.318381,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-35.273704,119,25.609246,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-40.357641,133,25.932495,1,0.0,0,0,0,126.0,0.0,1,0,0,0
-39.412236,256,26.560185,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.018797,178,26.972072,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.111299,169,27.369653,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-36.511717,111,27.62539,1,0.0,2,0,0,112.0,16.0,1,0,0,0
-37.874995,175,28.031142,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-37.887542,172,28.441304,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-36.681027,171,28.831953,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-39.603822,141,29.160699,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-23.696741,80,29.347163,1,0.0,0,1,0,112.0,35.0,1,0,0,0
-37.423133,105,29.572667,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.513461,104,29.820614,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.215916,156,30.182498,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-24.768698,113,30.441948,1,0.0,0,1,0,112.0,35.0,1,0,0,0
-39.650155,155,30.8273,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.511424,248,31.448134,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.167026,144,31.781629,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-35.332245,161,32.16417,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-38.345529,193,32.642049,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.669657,194,33.100712,1,0.0,2,0,0,112.0,16.0,1,0,0,0
-37.44913,208,33.572261,1,0.0,2,0,0,112.0,16.0,1,0,0,0
-38.910234,128,33.854299,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.813039,188,34.322587,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.208325,170,34.731481,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.030982,127,35.027289,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-38.257837,170,35.405821,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-36.615496,238,35.996526,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.087066,125,36.281675,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-38.486387,205,36.807168,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.625298,200,37.300238,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.46288,170,37.705278,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.424954,130,38.013533,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-36.478869,139,38.330144,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.299017,134,38.623537,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-40.068922,154,39.001273,1,0.0,0,0,0,126.0,0.0,1,0,0,0
-38.467307,166,39.392259,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.265793,195,39.85603,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.294881,145,40.169539,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.187716,208,40.681742,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.632676,270,41.370354,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.339995,111,41.61942,1,0.0,1,0,0,126.0,8.0,1,0,0,0
-38.275761,187,42.060268,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.901173,104,42.300221,1,0.0,0,0,0,112.0,0.0,1,0,0,0
