#{"t_start": 1788168998.7787564, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level,active_minibosses,active_boss_hazards,drone_level
-25.696264,378,1.543095,1,0.0,15,0,0,112.0,90.0,2,0,0,0
-26.34581,390,2.092515,1,0.0,18,0,0,112.0,108.0,2,0,0,0
-22.419346,175,2.335242,1,0.0,3,1,0,112.0,48.0,1,0,0,0
-31.203,223,2.652333,1,0.0,7,0,0,112.0,42.0,1,0,0,0
-30.773659,246,3.013265,1,0.0,10,0,0,112.0,60.0,2,0,0,0
26.04834,900,4.166397,1,100.0,32,1,0,0.0,222.0,2,0,0,0
-21.108558,527,4.946458,1,0.0,23,0,0,112.0,138.0,2,0,0,0
-33.424023,339,5.440513,1,0.0,13,0,0,112.0,78.0,2,0,0,0
18.24469,900,6.799794,1,51.34999999999779,48,0,0,56.0,288.0,3,0,0,1
-25.301014,339,7.279013,1,0.0,15,0,0,112.0,90.0,2,0,0,0
-38.37354,140,7.476514,1,0.0,2,0,0,112.0,12.0,1,0,0,0
-33.092158,215,7.777042,1,0.0,7,0,0,112.0,42.0,1,0,0,0
123.484858,743,9.342051,3,0.0,30,5,2,132.72000000000003,374.0,3,0,0,0
128.729793,570,10.674705,3,0.0,25,5,2,105.50400000000002,344.0,3,0,2,0
118.454487,428,11.624926,3,0.0,22,5,2,116.48,326.0,3,0,3,1
156.583786,805,13.417786,3,0.0,35,5,2,123.64800000000002,404.0,3,1,2,1
151.344921,970,15.697241,3,0.0,45,5,2,123.64800000000001,464.0,3,0,2,2
40.108034,220,16.191953,2,0.0,5,3,1,124.48800000000001,142.0,2,1,0,0
138.796976,800,17.978327,3,0.0,34,5,2,116.48000000000002,398.0,3,0,2,1
363.77408,743,19.661621,5,0.0,34,13,4,117.48799999999999,812.0,4,1,0,0
154.201022,941,21.778578,3,0.0,40,5,2,116.48000000000002,434.0,3,0,2,2
207.615916,1163,24.546618,3,6.359999999999054,56,5,2,116.48000000000002,605.0,4,0,0,1
492.593165,919,26.584054,6,0.0,60,16,5,176.264,1080.0,5,0,0,2
59.339218,300,27.217458,2,0.0,9,4,1,101.92,196.0,2,0,0,1
144.198523,609,28.585448,3,0.0,27,5,2,115.92000000000002,356.0,3,1,2,1
117.48057,279,29.189891,3,0.0,9,5,2,101.69600000000003,248.0,3,0,0,0
130.928477,261,29.751493,3,0.0,10,5,2,101.69600000000003,254.0,3,0,0,1
119.452957,415,30.663154,3,0.0,19,5,2,109.08800000000002,308.0,3,0,0,0
26.154262,145,30.979605,2,0.0,4,2,1,118.832,106.0,2,1,0,0
