#{"t_start": 1788160743.705759, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level,active_minibosses,active_boss_hazards,drone_level
-39.239277,155,2.997749,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-27.693126,329,4.376135,1,0.0,11,0,0,112.0,88.0,2,0,0,0
-31.388978,227,5.254748,1,0.0,9,0,0,112.0,72.0,2,0,0,0
-35.01711,200,6.030267,1,0.0,6,0,0,112.0,48.0,1,0,0,0
42.028483,900,9.774838,1,86.0,49,1,0,14.0,427.0,4,0,0,0
-35.464147,171,10.45335,1,0.0,4,0,0,112.0,32.0,1,0,0,0
-21.44241,411,12.160315,1,0.0,19,0,0,126.0,152.0,2,0,0,0
-10.266026,586,14.547785,1,0.0,29,0,0,112.0,232.0,3,0,0,0
-30.385697,253,15.629648,1,0.0,10,0,0,112.0,80.0,2,0,0,0
-31.261527,238,16.738903,1,0.0,9,0,0,112.0,72.0,2,0,0,0
-31.157629,224,17.627662,1,0.0,9,0,0,112.0,72.0,2,0,0,0
-36.656544,220,18.537178,1,0.0,4,0,0,112.0,32.0,1,0,0,0
-2.596847,741,21.533881,1,0.0,39,0,0,112.0,312.0,3,0,0,0
-32.566803,241,22.454657,1,0.0,8,0,0,112.0,64.0,2,0,0,0
132.193336,516,25.568676,3,0.0,24,5,2,121.23200000000003,417.0,3,0,2,1
223.025326,440,28.446364,4,0.0,14,8,3,122.94400000000003,617.0,4,1,0,0
120.204976,462,31.578996,3,0.0,17,5,2,108.86400000000002,361.0,3,0,3,0
130.567829,392,34.200428,3,0.0,14,5,2,100.7904,337.0,3,1,0,1
137.843344,534,37.618695,3,0.0,22,5,2,107.23200000000001,401.0,3,0,2,2
253.265948,562,41.233755,4,0.0,27,9,3,168.30400000000006,756.0,5,0,0,0
129.236297,442,43.99725,3,0.0,18,5,2,118.93440000000001,369.0,3,1,0,1
914.551261,1404,53.118736,9,0.0,122,27,8,180.064,2601.0,9,0,2,2
59.490737,200,53.690702,2,0.0,4,4,1,103.376,197.0,2,1,0,0
477.829772,858,57.614586,6,0.0,57,16,5,190.128,1291.0,6,0,3,2
410.909832,841,63.334905,5,0.0,65,14,4,176.08800000000005,1440.0,6,0,0,2
61.616831,260,64.947844,2,0.0,9,4,1,101.92,237.0,3,0,0,1
147.966536,598,68.660069,3,0.0,27,5,2,112.97600000000003,441.0,4,0,0,2
132.979014,522,71.832554,3,0.0,22,5,2,105.37120000000002,401.0,3,1,0,2
1712.542522,2049,84.793046,15,0.0,206,49,14,233.488,4583.0,11,0,3,5
1120.219483,1372,93.226273,11,0.0,120,35,10,261.856,3155.0,9,0,0,3
109.573632,371,95.522958,3,0.0,10,5,2,115.69600000000003,305.0,3,0,0,0
113.313177,327,97.483571,3,0.0,11,5,2,117.12000000000002,313.0,3,0,2,0
134.393129,434,100.140047,3,0.0,18,5,2,121.54400000000003,459.0,4,0,0,0
116.162871,457,103.069105,3,0.0,12,5,2,108.86400000000002,321.0,3,0,0,0
131.849963,388,105.4733,3,0.0,17,5,2,104.50720000000001,361.0,3,1,2,1
41.797907,137,106.267481,2,0.0,1,3,1,103.376,138.0,2,1,0,0
249.839901,466,109.115061,4,0.0,26,9,3,168.30400000000006,748.0,5,0,0,0
117.864492,321,110.961839,3,0.0,13,5,2,117.12000000000002,329.0,3,0,0,1
162.167893,758,116.042618,3,0.0,39,5,2,128.168,627.0,4,0,3,0
115.316293,275,117.710344,3,0.0,11,5,2,114.62400000000001,313.0,3,0,3,1
156.661832,817,122.830116,3,0.0,41,5,2,125.37600000000002,553.0,4,0,2,0
572.300555,693,126.928754,7,0.0,45,19,6,186.22400000000005,1565.0,7,0,0,2
120.794141,285,128.548016,3,0.0,10,5,2,124.51200000000001,305.0,3,0,2,1
252.481622,423,131.049873,4,0.0,18,10,3,168.86400000000003,719.0,5,1,0,1
123.278719,363,133.209,3,0.0,15,5,2,140.776,345.0,3,0,0,0
117.328743,263,134.733555,3,0.0,8,5,2,113.53600000000002,289.0,3,0,0,2
595.29651,766,139.297586,7,0.0,50,20,6,252.75600000000009,1730.0,7,0,0,1
138.413483,685,143.663795,3,0.0,30,5,2,115.48800000000001,465.0,4,0,2,0
140.230841,489,154.580423,3,0.0,18,5,2,127.19040000000001,369.0,3,1,0,1
230.1438,421,155.68145,4,0.0,20,8,3,123.20000000000003,665.0,4,0,0,2
136.35724,422,156.849006,3,0.0,18,5,2,113.53600000000002,369.0,3,0,2,2
122.9709,428,157.969672,3,0.0,18,5,2,111.08160000000001,369.0,3,0,3,1
147.103342,406,159.037612,3,0.0,20,5,2,107.23200000000001,475.0,4,0,2,1
387.360176,597,161.876487,5,0.0,37,15,4,143.92,1071.0,5,0,0,2
118.192356,312,163.765836,3,0.0,12,5,2,113.53600000000002,321.0,3,0,0,0
146.966192,511,167.097437,3,0.0,22,5,2,100.71360000000001,401.0,3,0,2,1
130.942874,304,168.89148,3,0.0,11,5,2,104.72000000000003,313.0,3,0,3,0
134.569122,500,171.947892,3,0.0,21,5,2,105.60000000000001,393.0,3,0,3,0
372.695423,633,175.870345,5,0.0,35,14,4,129.35999999999999,1020.0,5,0,0,1
134.525072,298,177.685496,3,0.0,13,5,2,117.09600000000002,419.0,3,0,3,2
134.740586,317,179.688896,3,0.0,14,5,2,113.53600000000002,337.0,3,0,2,0
238.819344,601,183.477327,4,0.0,28,7,3,138.54399999999998,784.0,5,0,0,2
853.604234,1123,190.306381,9,0.0,82,27,8,265.1,2371.0,8,0,0,3
127.070923,394,192.659481,3,0.0,19,5,2,173.728,377.0,3,0,2,1
151.082825,504,195.687295,3,0.0,26,5,2,183.36800000000002,523.0,4,0,0,1
109.494528,275,197.267989,3,0.0,7,5,2,117.12000000000002,281.0,3,0,0,0
115.082765,303,199.134654,3,0.0,12,5,2,105.28000000000002,321.0,3,0,0,0
127.999006,395,201.607438,3,0.0,17,5,2,113.53600000000002,361.0,3,0,0,1
123.126315,272,203.248028,3,0.0,10,5,2,100.06400000000001,305.0,3,0,2,1
737.061945,918,208.949347,8,0.0,65,26,7,270.144,1995.0,7,0,0,2
54.807802,123,209.715369,2,0.0,1,4,1,111.384,173.0,2,1,0,0
28.094196,156,210.63171,2,0.0,4,2,1,117.936,127.0,2,1,0,1
136.634942,452,213.476376,3,0.0,21,5,2,103.64800000000001,393.0,3,0,3,1
146.642821,518,216.893036,3,0.0,22,5,2,100.7904,401.0,3,1,3,1
615.58612,816,222.031359,7,0.0,58,21,6,264.2320000000001,1739.0,7,0,0,0
125.420566,320,223.944237,3,0.0,13,5,2,109.39200000000002,329.0,3,0,0,0
369.538829,518,227.084245,5,0.0,30,14,4,200.31200000000007,1070.0,5,0,0,3
119.658211,230,228.450974,3,0.0,6,5,2,113.53600000000002,273.0,3,0,2,1
869.719121,1218,235.933162,9,0.0,100,27,8,317.976,2515.0,8,0,2,1
108.587423,290,237.653299,3,0.0,8,5,2,111.04,289.0,3,0,2,1
117.279376,286,239.367043,3,0.0,10,5,2,117.12000000000002,305.0,3,0,0,3
110.907555,281,241.05159,3,0.0,9,5,2,112.97600000000003,297.0,3,0,2,0
114.924201,273,242.653835,3,0.0,9,5,2,101.69600000000001,297.0,3,0,2,1
119.982695,363,244.860809,3,0.0,15,5,2,101.69600000000001,345.0,3,0,2,0
42.834457,199,246.101908,2,0.0,9,3,1,111.384,202.0,3,1,0,1
376.41319,730,250.585773,5,0.0,39,14,4,190.92800000000005,1052.0,5,0,0,1
133.767116,356,251.641327,3,0.0,17,5,2,112.97600000000003,361.0,3,0,2,1
847.026476,1141,256.015233,9,0.0,86,27,8,222.93199999999996,2313.0,8,0,2,1
122.326208,357,258.310939,3,0.0,15,5,2,105.60000000000001,345.0,3,0,2,1
816.52947,1066,265.320215,9,0.0,82,27,8,319.872,2191.0,8,0,2,2
231.123292,425,268.076575,4,0.0,21,8,3,130.36800000000002,673.0,4,1,0,1
129.498175,429,270.784486,3,0.0,18,5,2,113.53600000000002,369.0,3,0,2,1
142.3735,341,272.965009,3,0.0,15,5,2,122.49360000000001,435.0,4,0,2,0
121.128387,265,274.514343,3,0.0,11,5,2,109.39200000000002,313.0,3,0,0,1
147.774439,728,279.243373,3,0.0,34,5,2,108.32000000000001,497.0,4,0,2,0
118.968031,280,280.921613,3,0.0,10,5,2,108.86400000000002,305.0,3,0,0,0
117.942969,357,283.153824,3,0.0,14,5,2,120.68000000000002,337.0,3,0,0,1
133.500596,331,285.183852,3,0.0,13,5,2,113.53600000000002,329.0,3,0,2,1
