#{"t_start": 1788160732.2229624, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level,active_minibosses,active_boss_hazards,drone_level
-39.149121,217,3.520722,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-39.775136,190,4.454205,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-40.099294,226,5.541239,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.077358,272,6.905394,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.057041,158,7.624085,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.276543,196,8.500965,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-35.93694,171,9.249782,1,0.0,2,0,0,112.0,16.0,1,0,0,0
-38.132665,173,9.995346,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-38.60539,117,10.508113,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.257309,163,11.270449,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.809323,165,12.058018,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-40.12392,251,13.205927,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.29017,177,13.989347,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.408448,101,14.369543,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-24.952877,216,15.255829,1,0.0,0,1,0,112.0,35.0,1,0,0,0
-39.723839,136,15.828816,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-40.90091,204,16.687388,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.748934,184,17.444787,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-39.975041,269,18.686141,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.022792,119,19.155822,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-40.113649,223,20.116771,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.082949,157,20.788216,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.435421,109,21.214838,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-40.147269,251,22.335777,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.704444,163,23.024682,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.195124,90,23.425302,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.128823,107,23.86797,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.185763,117,24.293972,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-22.668136,196,25.452623,1,0.0,1,1,0,112.0,43.0,1,0,0,0
43.311698,249,27.158723,2,0.0,4,3,1,101.92,162.0,2,1,0,1
100.174292,352,29.686218,3,0.0,1,5,2,103.08800000000002,233.0,3,0,2,0
109.164446,329,31.817984,3,0.0,7,5,2,127.53600000000003,371.0,3,0,0,0
101.161707,408,34.509406,3,0.0,5,5,2,137.39200000000002,265.0,3,0,3,1
42.130401,198,35.818073,2,0.0,3,3,1,101.92,154.0,2,0,0,1
61.114576,245,37.484951,2,0.0,8,4,1,100.80000000000001,229.0,3,0,0,2
-24.682299,76,37.973525,1,0.0,0,1,0,112.0,35.0,1,0,0,0
38.856213,252,39.588012,2,0.0,0,3,1,100.24000000000001,130.0,2,0,0,0
44.91525,230,41.0621,2,0.0,5,3,1,100.24000000000001,170.0,2,0,0,0
104.162987,322,43.249696,3,0.0,7,5,2,177.52000000000004,281.0,3,0,0,1
109.20069,302,45.256697,3,0.0,11,5,2,168.192,313.0,3,0,3,1
108.759482,294,47.094681,3,0.0,4,5,2,109.95200000000001,257.0,3,0,0,1
124.583323,390,49.620069,3,0.0,10,5,2,109.39200000000002,305.0,3,1,3,2
61.626606,276,51.405913,2,0.0,7,4,1,100.80000000000001,221.0,3,0,0,1
-23.42693,90,51.958699,1,0.0,0,1,0,112.0,35.0,1,0,0,0
122.311948,317,54.001849,3,0.0,10,5,2,106.5344,305.0,3,1,0,1
40.288154,195,55.206073,2,0.0,1,3,1,100.24000000000001,138.0,2,0,0,0
26.725057,214,56.55849,2,0.0,4,2,1,109.36800000000001,127.0,2,1,0,1
58.161674,257,58.208973,2,0.0,7,4,1,113.68,221.0,3,0,0,1
39.586359,227,59.68367,2,0.0,2,3,1,100.24000000000001,146.0,2,1,0,0
-20.865881,162,60.678265,1,0.0,1,1,0,112.0,43.0,1,0,0,0
111.716069,259,62.323594,3,0.0,5,5,2,105.24800000000002,265.0,3,0,2,1
-24.197241,83,62.836915,1,0.0,0,1,0,112.0,35.0,1,0,0,0
116.019078,429,65.172519,3,0.0,10,5,2,112.97600000000003,305.0,3,0,2,1
101.186812,352,66.078903,3,0.0,7,5,2,184.09600000000003,281.0,3,0,2,1
22.653978,200,67.172504,2,0.0,0,2,1,114.24000000000001,95.0,2,1,0,0
102.608187,294,69.038062,3,0.0,5,5,2,104.72000000000003,265.0,3,0,0,1
57.415729,265,70.924961,2,0.0,4,4,1,101.36000000000001,197.0,2,1,0,0
58.384607,236,72.464425,2,0.0,6,4,1,109.92800000000001,213.0,3,1,0,2
96.175058,385,74.971372,3,0.0,1,5,2,160.52,233.0,3,0,2,0
54.496217,212,76.304616,2,0.0,3,4,1,101.92,189.0,2,0,0,0
52.372012,191,77.515006,2,0.0,2,4,1,128.8,181.0,2,1,0,1
104.663363,449,80.444675,3,0.0,2,5,2,103.64800000000001,241.0,3,0,0,0
96.087099,414,83.11808,3,0.0,2,5,2,164.83200000000002,241.0,3,0,3,0
113.56173,365,85.523441,3,0.0,9,5,2,109.39200000000002,297.0,3,0,2,1
37.565191,185,86.635027,2,0.0,2,3,1,116.256,146.0,2,1,0,0
55.101542,203,87.890316,2,0.0,3,4,1,106.624,189.0,2,0,0,1
106.596126,388,90.337057,3,0.0,10,5,2,164.35200000000003,305.0,3,0,2,1
56.936048,293,92.148444,2,0.0,2,4,1,101.36000000000001,181.0,2,0,0,1
47.491136,263,93.865492,2,0.0,1,4,1,157.92000000000002,173.0,2,0,0,0
58.424337,284,95.587889,2,0.0,3,4,1,101.36000000000001,189.0,2,0,0,0
40.735694,194,96.790514,2,0.0,4,3,1,117.376,162.0,2,1,0,1
-22.649204,99,97.409856,1,0.0,1,1,0,112.0,43.0,1,0,0,0
93.974874,345,99.58013,3,0.0,1,5,2,167.104,233.0,3,0,2,0
29.86978,142,100.406976,2,0.0,2,2,1,110.824,111.0,2,1,0,0
37.644107,150,101.331599,2,0.0,1,3,1,107.688,138.0,2,1,0,1
23.217485,98,101.908093,2,0.0,0,2,1,115.696,95.0,2,1,0,1
-22.02169,94,102.406961,1,0.0,1,1,0,112.0,43.0,1,0,0,0
98.635293,269,104.143192,3,0.0,2,5,2,116.25600000000001,241.0,3,0,0,0
118.522211,342,106.332254,3,0.0,10,5,2,107.23200000000001,305.0,3,0,0,1
67.386217,278,108.112787,2,0.0,6,4,1,115.92000000000002,303.0,3,0,0,0
38.44794,189,109.335041,2,0.0,2,3,1,113.12,146.0,2,1,0,0
40.458028,299,111.234535,2,0.0,3,3,1,128.8,154.0,2,0,0,0
107.315408,412,113.955011,3,0.0,6,5,2,158.36,273.0,3,0,3,0
111.336669,378,116.334904,3,0.0,13,5,2,166.54400000000004,329.0,3,0,2,1
102.827093,253,117.856926,3,0.0,2,5,2,102.22400000000002,241.0,3,0,2,1
57.846791,249,119.4177,2,0.0,5,4,1,101.36000000000001,205.0,3,0,0,1
57.385014,282,121.154429,2,0.0,4,4,1,108.248,197.0,2,1,0,0
21.508986,212,122.448631,2,0.0,0,2,1,108.248,95.0,2,1,0,0
89.226562,356,124.744388,3,0.0,3,5,2,217.88800000000003,249.0,3,0,0,0
38.340575,287,126.569635,2,0.0,3,3,1,114.24000000000001,154.0,2,0,0,0
54.482655,184,127.729597,2,0.0,3,4,1,101.36000000000001,189.0,2,1,0,1
54.90979,247,129.260088,2,0.0,2,4,1,100.80000000000001,181.0,2,0,0,0
112.59935,399,131.825098,3,0.0,7,5,2,180.54400000000004,281.0,3,1,2,1
105.148818,325,133.765103,3,0.0,4,5,2,112.97600000000003,257.0,3,0,0,0
15.993085,335,135.936014,2,0.0,1,2,1,170.8,103.0,2,0,0,0
46.475326,343,138.101634,2,0.0,6,3,1,129.36,178.0,2,0,0,1
18.870488,229,139.480262,2,0.0,1,2,1,171.92000000000002,103.0,2,0,0,0
106.318664,312,141.321773,3,0.0,4,5,2,105.80800000000002,257.0,3,0,0,0
37.724913,149,142.174219,2,0.0,2,3,1,124.264,146.0,2,1,0,1
57.915871,238,143.582038,2,0.0,4,4,1,101.92,197.0,2,0,0,0
109.386932,366,145.790028,3,0.0,11,5,2,116.256,313.0,3,0,0,3
42.404793,202,147.026103,2,0.0,3,3,1,108.808,154.0,2,1,0,1
51.399984,166,148.008591,2,0.0,1,4,1,117.376,173.0,2,1,0,1
59.340207,288,149.757016,2,0.0,5,4,1,100.24000000000001,205.0,3,1,0,1
102.399786,370,160.123794,3,0.0,8,5,2,178.91200000000003,289.0,3,0,2,2
51.4476,285,161.35166,2,0.0,5,4,1,186.48000000000002,205.0,3,0,0,0
52.891044,264,162.053483,2,0.0,1,4,1,101.36000000000001,173.0,2,0,0,0
29.098409,210,162.585762,2,0.0,1,2,1,106.624,103.0,2,0,0,0
37.595535,121,162.883575,2,0.0,1,3,1,111.384,138.0,2,1,0,1
55.253963,224,163.452952,2,0.0,4,4,1,114.80000000000001,197.0,2,0,0,1
35.43392,262,164.177322,2,0.0,3,3,1,165.928,154.0,2,1,0,0
103.166159,464,165.450507,3,0.0,11,5,2,205.00800000000004,313.0,3,0,2,2
43.73747,226,166.067225,2,0.0,6,3,1,100.80000000000001,178.0,2,0,0,1
112.584256,341,166.947959,3,0.0,7,5,2,105.28000000000002,281.0,3,0,2,1
30.971509,198,167.505094,2,0.0,1,3,1,172.48000000000002,138.0,2,0,0,0
117.760077,416,168.700272,3,0.0,14,5,2,115.69600000000003,337.0,3,0,0,1
98.730363,259,169.383466,3,0.0,1,5,2,108.86400000000002,233.0,3,0,3,0
41.040733,206,169.924541,2,0.0,1,3,1,107.0384,138.0,2,1,0,0
97.393803,365,170.881707,3,0.0,4,5,2,162.40000000000003,257.0,3,0,2,0
55.120174,223,171.799079,2,0.0,2,4,1,101.36000000000001,181.0,2,0,0,0
59.185521,248,173.426378,2,0.0,7,4,1,102.816,221.0,3,1,0,2
34.094144,254,175.042844,2,0.0,3,3,1,171.36,154.0,2,0,0,0
105.612767,334,177.257211,3,0.0,7,5,2,109.39200000000002,281.0,3,0,0,1
41.557849,194,178.435591,2,0.0,3,3,1,100.24000000000001,154.0,2,0,0,0
101.336358,366,180.824136,3,0.0,8,5,2,190.44800000000004,289.0,3,0,2,1
34.457829,213,182.108209,2,0.0,2,3,1,172.48000000000002,146.0,2,0,0,0
104.316959,475,185.2499,3,0.0,6,5,2,123.39200000000002,273.0,3,0,0,0
103.971877,252,186.835335,3,0.0,2,5,2,101.13600000000002,241.0,3,0,0,0
21.755023,302,188.7898,2,0.0,4,2,1,171.92000000000002,127.0,2,1,0,0
99.993621,551,192.665789,3,0.0,6,5,2,183.05600000000004,273.0,3,0,2,0
93.26455,310,194.639706,3,0.0,3,5,2,165.95200000000003,249.0,3,0,0,0
113.930218,330,196.71418,3,0.0,8,5,2,105.80800000000002,289.0,3,0,2,1
39.976088,208,197.966014,2,0.0,4,3,1,116.48,162.0,2,0,0,1
-36.496005,91,198.501954,1,0.0,0,0,0,112.0,0.0,1,0,0,0
102.345248,339,200.532998,3,0.0,3,5,2,170.57600000000002,249.0,3,0,0,0
104.595546,438,203.212547,3,0.0,11,5,2,174.80000000000004,313.0,3,0,2,2
129.915969,344,205.312693,3,0.0,11,5,2,116.53600000000002,403.0,3,0,3,0
105.910738,281,206.98964,3,0.0,4,5,2,109.39200000000002,257.0,3,0,3,0
59.065237,228,208.335961,2,0.0,6,4,1,101.36000000000001,213.0,3,0,0,2
24.50726,139,209.147767,2,0.0,2,2,1,110.824,111.0,2,1,0,1
38.947253,170,210.221217,2,0.0,3,3,1,101.36000000000001,154.0,2,1,0,0
51.492567,250,211.835205,2,0.0,4,4,1,157.92000000000002,197.0,2,0,0,0
17.077292,235,213.295588,2,0.0,1,2,1,171.36,103.0,2,1,0,0
44.388338,346,215.718176,2,0.0,7,3,1,100.80000000000001,186.0,2,1,0,1
102.852139,402,218.307199,3,0.0,10,5,2,175.32800000000003,305.0,3,0,2,2
56.701723,266,219.959464,2,0.0,4,4,1,101.36000000000001,197.0,2,0,0,0
52.444837,266,221.661592,2,0.0,5,4,1,157.92000000000002,205.0,3,1,0,2
123.908656,409,224.368702,3,0.0,14,5,2,106.36800000000001,337.0,3,0,3,1
24.54508,176,225.505039,2,0.0,3,2,1,117.376,119.0,2,1,0,1
14.59594,191,226.74376,2,0.0,0,2,1,199.92000000000002,95.0,2,0,0,0
41.83713,178,227.84786,2,0.0,4,3,1,114.24000000000001,162.0,2,0,0,1
105.575786,431,230.674435,3,0.0,6,5,2,112.94400000000002,273.0,3,0,0,2
30.710273,215,232.043868,2,0.0,0,3,1,171.92000000000002,130.0,2,0,0,0
118.62135,346,234.19822,3,0.0,11,5,2,112.97600000000003,313.0,3,0,0,2
20.974167,162,235.159741,2,0.0,1,2,1,157.92000000000002,103.0,2,0,0,0
107.475871,322,237.219696,3,0.0,10,5,2,166.824,305.0,3,0,0,2
18.551181,259,238.923978,2,0.0,3,2,1,171.92000000000002,119.0,2,1,0,0
40.670778,192,240.093687,2,0.0,2,3,1,100.24000000000001,146.0,2,0,0,1
35.565604,276,241.839963,2,0.0,3,3,1,157.92000000000002,154.0,2,1,0,0
111.828641,239,243.258151,3,0.0,6,5,2,105.24800000000002,273.0,3,0,3,1
115.763045,361,245.48263,3,0.0,10,5,2,101.86880000000001,305.0,3,0,0,1
99.108851,342,247.613174,3,0.0,1,5,2,105.28000000000002,233.0,3,0,0,0
62.26154,294,249.413819,2,0.0,8,4,1,117.376,229.0,3,1,0,1
51.550689,210,250.737536,2,0.0,0,4,1,100.24000000000001,165.0,2,0,0,0
52.408252,193,251.922601,2,0.0,1,4,1,104.83200000000001,173.0,2,0,0,1
102.646352,467,255.090831,3,0.0,4,5,2,146.52,257.0,3,0,0,0
111.093175,267,256.66784,3,0.0,6,5,2,109.95200000000001,273.0,3,0,0,0
29.663944,179,257.776902,2,0.0,5,2,1,108.808,135.0,2,1,0,1
118.627026,472,260.813459,3,0.0,12,5,2,167.90400000000002,321.0,3,1,2,1
42.435879,263,262.353822,2,0.0,5,3,1,109.36800000000001,170.0,2,1,0,1
111.573958,356,263.325122,3,0.0,8,5,2,101.13600000000002,289.0,3,0,0,1
54.727169,210,263.878047,2,0.0,3,4,1,101.36000000000001,189.0,2,0,0,1
60.349466,242,264.503881,2,0.0,7,4,1,100.80000000000001,221.0,3,0,0,1
57.262272,300,265.488762,2,0.0,5,4,1,101.36000000000001,205.0,3,0,0,1
49.951835,242,267.023822,2,0.0,4,4,1,170.8,197.0,2,0,0,0
24.740155,180,268.153415,2,0.0,1,2,1,151.368,103.0,2,1,0,0
53.732658,226,269.682867,2,0.0,0,4,1,101.36000000000001,165.0,2,1,0,0
39.577068,288,271.662484,2,0.0,2,3,1,101.36000000000001,146.0,2,1,0,1
109.791566,378,274.188937,3,0.0,8,5,2,103.64800000000001,289.0,3,0,3,1
-18.496761,121,274.948561,1,0.0,4,1,0,112.0,67.0,2,0,0,0
64.764329,316,276.979925,2,0.0,9,4,1,101.92,237.0,3,0,0,1
57.356903,278,278.742611,2,0.0,4,4,1,129.36,197.0,2,0,0,0
38.243426,167,279.825746,2,0.0,1,3,1,101.92,138.0,2,0,0,0
93.381126,379,282.316022,3,0.0,2,5,2,167.17600000000002,241.0,3,0,0,0
110.21186,270,284.020814,3,0.0,7,5,2,105.24800000000002,281.0,3,0,2,2
17.212877,202,285.274304,2,0.0,1,2,1,166.824,103.0,2,1,0,0
103.041026,383,287.666225,3,0.0,7,5,2,125.04000000000002,281.0,3,0,2,1
58.034748,193,288.887087,2,0.0,6,4,1,100.80000000000001,213.0,3,1,0,1
