#{"t_start": 1788162341.621592, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level,active_minibosses,active_boss_hazards,drone_level
-36.72975,151,3.315455,1,0.0,2,0,0,112.0,16.0,1,0,0,0
-39.500274,121,3.767637,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-40.199671,149,4.36773,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.904963,163,5.022103,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.790201,149,5.604634,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.683759,117,6.052215,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-40.121839,167,6.702709,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.511505,130,7.209217,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-41.230581,159,7.848444,1,0.0,0,0,0,126.0,0.0,1,0,0,0
-38.795478,170,8.569401,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.254729,132,9.100863,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-40.713296,179,9.876903,1,0.0,0,0,0,126.0,0.0,1,0,0,0
-36.626167,158,10.883312,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-39.904081,225,12.023263,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.894504,164,12.71264,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.855836,182,13.454098,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-40.037426,162,14.103657,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.757601,123,14.563201,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.865502,181,15.289564,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.81071,127,15.767337,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-24.416567,112,16.173334,1,0.0,0,1,0,112.0,35.0,1,0,0,0
-36.865857,114,16.588639,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.609222,92,16.906214,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.510627,176,17.597333,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.938608,180,18.30218,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.558507,149,18.921785,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.829558,207,19.775874,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.796056,102,20.149893,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.297388,141,20.688031,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.495083,142,21.218875,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.852623,195,22.004221,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-24.84319,111,22.402655,1,0.0,0,1,0,112.0,35.0,1,0,0,0
-38.120822,199,23.280654,1,0.0,0,0,0,112.0,0.0,1,0,0,0
127.184008,551,26.501722,3,0.0,19,5,2,120.36800000000002,377.0,3,0,2,1
57.99442,236,27.829099,2,0.0,4,4,1,109.92800000000001,197.0,2,1,0,1
115.314337,448,30.488505,3,0.0,11,5,2,101.10400000000001,313.0,3,0,3,1
38.467183,186,31.532395,2,0.0,2,3,1,108.248,146.0,2,1,0,0
111.625645,440,34.051314,3,0.0,11,5,2,117.64800000000002,313.0,3,0,2,1
63.604717,239,35.394911,2,0.0,10,4,1,101.36000000000001,245.0,3,0,0,1
58.766617,222,36.695451,2,0.0,5,4,1,109.92800000000001,205.0,3,1,0,1
116.466189,441,39.311723,3,0.0,13,5,2,108.83200000000002,329.0,3,0,2,1
113.07371,349,41.267802,3,0.0,12,5,2,109.39200000000002,321.0,3,0,0,1
104.447679,317,43.115818,3,0.0,3,5,2,108.86400000000002,249.0,3,0,0,0
117.137182,364,45.195182,3,0.0,9,5,2,129.2272,297.0,3,1,2,1
41.446959,247,46.596767,2,0.0,3,3,1,107.52,154.0,2,0,0,0
54.862171,242,48.039513,2,0.0,4,4,1,108.808,197.0,2,1,0,1
50.801741,228,49.307791,2,0.0,5,4,1,171.92000000000002,205.0,3,0,0,0
43.759254,162,50.206635,2,0.0,2,3,1,102.256,146.0,2,1,0,0
121.86662,427,52.629625,3,0.0,15,5,2,174.80000000000004,345.0,3,1,2,1
42.560837,242,53.983558,2,0.0,3,3,1,100.80000000000001,154.0,2,0,0,1
45.43528,202,55.061466,2,0.0,5,3,1,100.80000000000001,170.0,2,0,0,1
116.420239,552,58.422025,3,0.0,13,5,2,101.13600000000002,329.0,3,0,0,1
97.549108,409,60.798897,3,0.0,3,5,2,163.79200000000003,249.0,3,0,0,0
101.982896,353,62.82307,3,0.0,7,5,2,123.08800000000002,281.0,3,0,2,1
25.55894,193,63.895185,2,0.0,2,2,1,116.256,111.0,2,1,0,0
36.205832,175,64.838082,2,0.0,1,3,1,113.12,138.0,2,0,0,0
121.562186,398,67.135647,3,0.0,13,5,2,105.28000000000002,329.0,3,0,3,1
