#{"t_start": 1788161947.4895744, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level,active_minibosses,active_boss_hazards,drone_level
-37.358099,117,3.316326,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-39.811953,183,4.114563,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.515467,76,4.391744,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.891261,201,5.295814,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-42.113652,133,5.8516,1,0.0,0,0,0,140.0,0.0,1,0,0,0
-38.345693,118,6.317387,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.88719,171,7.012079,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-38.724521,121,7.484829,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.110372,110,7.916367,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-38.2015,111,8.344317,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.580326,190,9.132535,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.025107,115,9.560168,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.944809,179,10.32081,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.64771,245,11.373176,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-36.581275,121,11.831769,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-36.649025,72,12.10259,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.148135,144,12.669842,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-37.757171,135,13.184218,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-37.576022,136,13.714866,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-39.771511,158,14.338232,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.889656,92,14.680406,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.975993,282,15.896614,1,0.0,2,0,0,112.0,16.0,1,0,0,0
-40.064877,249,16.963982,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.086002,121,17.471478,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.963625,127,17.952064,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.932127,121,18.415946,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.459458,96,18.779653,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-40.037522,185,19.524075,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-36.726856,141,20.084162,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.621065,77,20.375714,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.682382,107,20.81032,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.428401,118,21.281021,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-40.183061,196,22.104683,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-36.843477,166,22.759439,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.449462,96,23.176829,1,0.0,0,0,0,112.0,0.0,1,0,0,0
46.898773,241,24.615488,2,0.0,7,3,1,101.92,186.0,2,0,0,1
113.277229,371,26.928759,3,0.0,8,5,2,170.65600000000003,289.0,3,0,0,1
110.154279,268,28.58316,3,0.0,6,5,2,108.83200000000002,273.0,3,0,2,1
52.985058,256,30.212486,2,0.0,2,4,1,115.36000000000001,181.0,2,1,0,0
32.357754,227,31.616565,2,0.0,0,3,1,172.48000000000002,130.0,2,0,0,0
39.852157,219,32.969125,2,0.0,3,3,1,127.68,154.0,2,0,0,0
29.771915,184,34.091053,2,0.0,0,3,1,171.92000000000002,130.0,2,0,0,0
116.327556,365,36.312924,3,0.0,11,5,2,171.13600000000002,313.0,3,0,2,1
112.424323,407,38.943371,3,0.0,10,5,2,101.10400000000001,305.0,3,0,0,1
32.426218,205,40.157541,2,0.0,1,3,1,171.36,138.0,2,0,0,0
37.762529,264,41.791629,2,0.0,7,3,1,165.928,186.0,2,1,0,0
48.561019,306,43.768786,2,0.0,2,4,1,171.92000000000002,181.0,2,0,0,0
54.301659,252,45.353253,2,0.0,2,4,1,101.36000000000001,181.0,2,1,0,0
38.569546,201,46.560126,2,0.0,2,3,1,100.80000000000001,146.0,2,0,0,0
34.213736,274,48.326231,2,0.0,1,3,1,171.36,138.0,2,0,0,0
23.785148,207,49.612349,2,0.0,2,2,1,120.568,111.0,2,1,0,0
119.970688,419,52.454569,3,0.0,11,5,2,121.79200000000002,313.0,3,1,3,0
-22.640272,94,53.044374,1,0.0,0,1,0,112.0,35.0,1,0,0,0
33.606976,260,54.743072,2,0.0,3,3,1,171.92000000000002,154.0,2,1,0,0
40.989656,211,56.031799,2,0.0,2,3,1,100.80000000000001,146.0,2,0,0,0
40.198139,227,57.409167,2,0.0,3,3,1,114.80000000000001,154.0,2,0,0,0
59.099932,285,59.18573,2,0.0,4,4,1,100.24000000000001,197.0,2,0,0,1
107.901944,410,61.832659,3,0.0,8,5,2,109.39200000000002,289.0,3,0,2,1
117.069639,353,64.03849,3,0.0,10,5,2,105.80800000000002,305.0,3,1,2,1
57.543484,266,65.665781,2,0.0,4,4,1,101.36000000000001,197.0,2,0,0,0
88.233253,354,67.934034,3,0.0,3,5,2,230.80000000000004,249.0,3,0,2,0
39.520778,235,69.382806,2,0.0,2,3,1,100.24000000000001,146.0,2,0,0,0
35.454857,282,71.085519,2,0.0,3,3,1,171.92000000000002,154.0,2,0,0,0
20.064742,212,72.371467,2,0.0,3,2,1,156.24,119.0,2,1,0,0
51.424136,285,74.113816,2,0.0,4,4,1,157.92000000000002,197.0,2,0,0,0
35.734964,193,75.244419,2,0.0,4,3,1,157.92000000000002,162.0,2,0,0,0
31.331091,209,76.526001,2,0.0,0,3,1,171.36,130.0,2,0,0,0
55.592825,271,78.261295,2,0.0,4,4,1,114.80000000000001,197.0,2,0,0,1
105.717977,328,80.394781,3,0.0,7,5,2,162.36800000000002,281.0,3,0,2,0
40.768349,286,82.228567,2,0.0,2,3,1,100.24000000000001,146.0,2,1,0,0
55.137066,317,84.206796,2,0.0,6,4,1,157.92000000000002,213.0,3,1,0,1
33.072812,200,85.404308,2,0.0,3,3,1,171.52800000000005,154.0,2,0,0,0
-20.634443,129,86.188028,1,0.0,2,1,0,112.0,51.0,1,0,0,0
56.634456,210,87.429096,2,0.0,4,4,1,100.24000000000001,197.0,2,0,0,2
105.999597,479,90.541323,3,0.0,4,5,2,114.57600000000002,257.0,3,0,2,0
33.964899,237,91.982757,2,0.0,2,3,1,170.8,146.0,2,0,0,0
-22.491789,164,92.983678,1,0.0,3,1,0,154.0,59.0,2,0,0,0
48.885487,239,94.486662,2,0.0,3,4,1,170.8,189.0,2,1,0,0
-22.290197,94,95.056033,1,0.0,1,1,0,112.0,43.0,1,0,0,0
21.140412,152,95.991371,2,0.0,1,2,1,120.568,103.0,2,1,0,1
36.585686,224,97.360795,2,0.0,5,3,1,157.36,170.0,2,0,0,1
25.163853,195,98.536931,2,0.0,3,2,1,114.24000000000001,119.0,2,0,0,0
-23.375889,127,99.296239,1,0.0,1,1,0,112.0,43.0,1,0,0,0
58.485575,242,100.781118,2,0.0,7,4,1,100.80000000000001,221.0,3,0,0,1
-21.301072,135,101.602757,1,0.0,2,1,0,112.0,51.0,1,0,0,0
-22.410766,127,102.390243,1,0.0,0,1,0,112.0,35.0,1,0,0,0
-22.126459,125,103.166241,1,0.0,2,1,0,112.0,51.0,1,0,0,0
55.645037,237,104.570605,2,0.0,3,4,1,100.80000000000001,189.0,2,0,0,1
49.904875,229,105.97158,2,0.0,5,3,1,122.808,260.0,3,0,0,2
33.811349,225,107.319709,2,0.0,2,3,1,157.92000000000002,146.0,2,0,0,0
15.4323,247,108.879957,2,0.0,1,2,1,199.92000000000002,103.0,2,1,0,0
102.116416,394,111.332971,3,0.0,7,5,2,159.37600000000003,281.0,3,0,2,1
57.799857,246,112.803936,2,0.0,6,4,1,100.24000000000001,213.0,3,0,0,0
41.125903,212,114.108629,2,0.0,1,3,1,102.256,138.0,2,1,0,0
36.851875,206,115.372903,2,0.0,1,3,1,113.12,138.0,2,1,0,0
40.991053,231,116.745695,2,0.0,5,3,1,112.56,170.0,2,0,0,1
32.285834,191,117.906701,2,0.0,1,3,1,157.92000000000002,138.0,2,0,0,0
35.080247,233,119.322344,2,0.0,1,3,1,157.92000000000002,138.0,2,0,0,0
-21.464975,126,120.097893,1,0.0,1,1,0,112.0,43.0,1,0,0,0
31.721432,252,121.638711,2,0.0,0,3,1,156.8,130.0,2,0,0,0
40.391422,175,122.724216,2,0.0,2,3,1,100.80000000000001,146.0,2,0,0,0
93.948284,439,125.564569,3,0.0,1,5,2,142.06400000000002,233.0,3,0,2,0
33.552453,219,126.879943,2,0.0,2,3,1,157.92000000000002,146.0,2,0,0,0
36.472943,175,127.942704,2,0.0,0,3,1,114.24000000000001,130.0,2,0,0,0
51.700533,265,129.581543,2,0.0,2,4,1,157.92000000000002,181.0,2,0,0,1
97.657399,372,131.946397,3,0.0,1,5,2,164.83200000000002,233.0,3,0,3,0
18.066858,208,133.283431,2,0.0,1,2,1,171.36,103.0,2,0,0,0
-22.821294,101,133.926944,1,0.0,2,1,0,112.0,51.0,1,0,0,0
34.639694,206,135.199253,2,0.0,1,3,1,170.8,138.0,2,0,0,0
56.00627,213,136.465851,2,0.0,4,4,1,101.36000000000001,197.0,2,0,0,1
53.269098,165,137.491926,2,0.0,2,4,1,101.36000000000001,181.0,2,1,0,1
-21.367996,79,137.992053,1,0.0,1,1,0,112.0,43.0,1,0,0,0
39.073961,221,139.395604,2,0.0,1,3,1,100.24000000000001,138.0,2,1,0,0
56.760252,264,141.09563,2,0.0,6,4,1,101.36000000000001,213.0,3,1,0,1
-24.129679,127,141.890978,1,0.0,0,1,0,126.0,35.0,1,0,0,0
33.894417,258,143.504324,2,0.0,1,3,1,171.92000000000002,138.0,2,0,0,0
52.675761,203,144.76548,2,0.0,1,4,1,100.24000000000001,173.0,2,0,0,1
101.20652,386,146.551001,3,0.0,7,5,2,205.52000000000004,281.0,3,0,0,1
51.092418,187,154.593114,2,0.0,2,4,1,128.8,181.0,2,0,0,1
24.900259,167,155.604202,2,0.0,2,2,1,113.12,111.0,2,0,0,0
36.750083,195,156.824167,2,0.0,1,3,1,100.80000000000001,138.0,2,0,0,1
112.874822,458,159.750474,3,0.0,6,5,2,107.40800000000002,273.0,3,0,0,1
-23.059855,112,160.434096,1,0.0,0,1,0,112.0,35.0,1,0,0,0
35.555102,199,161.631729,2,0.0,3,3,1,157.36,154.0,2,0,0,0
32.957066,238,163.094113,2,0.0,2,3,1,170.8,146.0,2,0,0,0
22.480386,195,164.282407,2,0.0,1,2,1,114.24000000000001,103.0,2,0,0,0
54.884056,171,165.298572,2,0.0,3,4,1,100.24000000000001,189.0,2,0,0,1
92.016257,389,167.878387,3,0.0,3,5,2,216.24000000000004,249.0,3,0,2,0
32.438391,195,169.063499,2,0.0,2,3,1,171.36,146.0,2,0,0,0
19.77424,240,170.559352,2,0.0,2,2,1,171.92000000000002,111.0,2,0,0,0
54.144334,273,172.273534,2,0.0,2,4,1,100.80000000000001,181.0,2,0,0,0
21.158737,245,173.837957,2,0.0,3,2,1,171.92000000000002,119.0,2,0,0,0
-36.658787,88,174.387871,1,0.0,0,0,0,112.0,0.0,1,0,0,0
22.810606,215,175.650501,2,0.0,2,2,1,157.92000000000002,111.0,2,0,0,0
37.627123,235,177.095604,2,0.0,5,3,1,171.36,170.0,2,0,0,0
58.330376,237,178.55747,2,0.0,5,4,1,100.80000000000001,205.0,3,0,0,1
36.306321,205,179.839262,2,0.0,1,3,1,113.68,138.0,2,0,0,1
103.937577,499,183.193624,3,0.0,9,5,2,154.11200000000002,297.0,3,0,2,1
34.805181,221,184.614644,2,0.0,0,3,1,129.36,130.0,2,0,0,0
24.712834,151,185.520316,2,0.0,1,2,1,102.256,103.0,2,1,0,0
56.364684,287,187.349677,2,0.0,4,4,1,114.80000000000001,197.0,2,0,0,1
102.643372,382,189.853862,3,0.0,2,5,2,104.68800000000002,241.0,3,0,2,0
50.779959,282,191.679715,2,0.0,1,4,1,114.80000000000001,173.0,2,0,0,0
26.640604,196,192.886885,2,0.0,2,2,1,100.24000000000001,111.0,2,0,0,0
54.474502,272,194.619168,2,0.0,7,4,1,156.8,221.0,3,0,0,1
37.600284,180,195.692477,2,0.0,1,3,1,101.36000000000001,138.0,2,0,0,0
53.887718,204,196.960206,2,0.0,3,4,1,117.376,189.0,2,1,0,1
25.602491,138,197.792814,2,0.0,2,2,1,110.264,111.0,2,1,0,1
23.524551,197,198.958698,2,0.0,1,2,1,101.36000000000001,103.0,2,0,0,0
53.688869,237,200.452515,2,0.0,3,4,1,114.80000000000001,189.0,2,1,0,0
36.253836,246,202.000092,2,0.0,4,3,1,171.92000000000002,162.0,2,0,0,0
42.380876,208,203.316281,2,0.0,3,3,1,102.256,154.0,2,1,0,1
31.902115,273,205.054741,2,0.0,3,3,1,200.48000000000002,154.0,2,0,0,0
111.535399,403,207.616476,3,0.0,10,5,2,105.504,305.0,3,0,0,2
20.68803,276,209.424164,2,0.0,4,2,1,157.92000000000002,127.0,2,1,0,0
-21.81129,133,210.270679,1,0.0,1,1,0,112.0,43.0,1,0,0,0
38.866742,191,211.475946,2,0.0,2,3,1,101.36000000000001,146.0,2,1,0,1
38.400146,240,212.972685,2,0.0,2,3,1,100.80000000000001,146.0,2,0,0,1
107.426676,389,215.512547,3,0.0,11,5,2,142.376,313.0,3,0,2,1
-23.583107,113,216.195664,1,0.0,1,1,0,112.0,43.0,1,0,0,0
56.829832,202,217.477991,2,0.0,4,4,1,100.24000000000001,197.0,2,0,0,1
