#{"t_start": 1788147267.613651, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level,active_minibosses,active_boss_hazards,drone_level
-33.308986,209,0.290843,1,0.0,6,0,0,112.0,48.0,1,0,0,0
-18.899342,389,0.731864,1,0.0,17,0,0,112.0,136.0,2,0,0,0
24.761565,900,1.772605,1,44.0,35,1,0,56.0,315.0,3,0,0,0
28.762648,900,2.907974,1,58.0,48,0,0,42.0,384.0,4,0,0,0
-30.172481,305,3.283569,1,0.0,8,0,0,112.0,64.0,2,0,0,0
-36.234487,121,3.415155,1,0.0,2,0,0,112.0,16.0,1,0,0,0
109.400769,1359,5.074043,2,0.0,85,2,1,100.24000000000001,775.0,5,0,0,2
28.855575,900,6.091161,1,72.0,33,1,0,28.0,299.0,3,0,0,0
149.088527,834,7.904702,3,0.0,38,5,2,101.69600000000001,529.0,4,0,2,0
141.377157,765,9.581595,3,0.0,29,5,2,108.83200000000002,457.0,4,0,2,2
624.557326,2423,15.454043,5,108.49,208,14,4,23.76,2584.0,10,0,0,1
129.326033,998,17.706624,2,100.0,48,4,1,0.0,549.0,4,0,0,1
158.920941,885,19.855952,3,0.0,48,5,2,115.48800000000001,609.0,5,0,2,2
167.19434,1680,23.914937,2,100.0,77,4,1,0.0,781.0,5,0,0,0
136.572119,1003,26.574371,2,100.0,65,3,1,28.560000000000002,740.0,5,0,0,1
156.496435,1163,29.314425,3,0.0,38,5,2,112.97600000000003,529.0,4,0,2,1
172.387351,836,31.415629,3,0.0,48,5,2,119.91200000000002,699.0,5,0,2,1
-21.362917,104,31.675681,1,0.0,0,1,0,112.0,35.0,1,0,0,0
978.790389,2925,38.792572,9,0.0,220,27,8,388.08,3295.0,11,0,0,1
130.7897,511,40.085462,3,0.0,17,5,2,120.26880000000001,451.0,4,0,3,0
883.787358,1642,44.30164,9,0.0,137,27,8,178.944,2721.0,10,0,2,2
1944.39728,3091,52.782637,16,0.0,284,53,15,275.20000000000005,5612.0,15,0,0,2
47.350524,199,53.26583,2,0.0,5,3,1,101.696,170.0,2,1,0,0
430.54531,1364,60.630695,5,0.0,81,13,4,102.196,1443.0,7,1,0,2
121.847926,383,61.518855,3,0.0,15,5,2,115.48800000000001,345.0,3,0,2,0
56.407018,292,62.191471,2,0.0,14,3,1,116.48,242.0,3,0,0,2
67.262968,274,62.814102,2,0.0,10,4,1,114.80000000000001,245.0,3,0,0,0
123.565915,398,63.743215,3,0.0,10,5,2,105.28000000000002,305.0,3,0,2,2
40.277158,287,64.459197,2,0.0,3,3,1,130.48000000000002,154.0,2,1,0,0
130.993391,423,65.455691,3,0.0,17,5,2,117.12000000000002,361.0,3,0,2,0
364.86337,669,67.112831,5,0.0,49,12,4,221.50400000000005,1152.0,6,0,0,2
127.300519,425,68.115937,3,0.0,17,5,2,107.23200000000001,361.0,3,0,3,2
116.385989,397,69.081364,3,0.0,13,5,2,109.95200000000001,329.0,3,0,2,0
163.058794,695,70.838105,3,0.0,32,5,2,123.74400000000001,571.0,4,0,2,2
110.53138,325,71.609926,3,0.0,8,5,2,108.86400000000002,289.0,3,0,0,0
26.770961,110,71.86525,2,0.0,1,2,1,111.384,103.0,2,1,0,0
119.281598,279,72.518352,3,0.0,9,5,2,106.36800000000001,297.0,3,0,2,1
116.390019,384,73.403537,3,0.0,13,5,2,205.82400000000004,329.0,3,0,0,2
1781.624509,2652,80.417135,15,0.0,278,49,14,195.68,5069.0,14,0,2,4
45.132589,163,80.784334,2,0.0,5,3,1,102.256,170.0,2,1,0,2
65.37747,413,81.775567,2,0.0,15,3,1,145.936,340.0,3,0,0,2
77.907005,255,82.38723,2,0.0,10,4,1,101.92,335.0,3,0,0,2
46.895292,232,82.92052,2,0.0,8,3,1,145.6,194.0,3,0,0,2
120.376019,287,83.583251,3,0.0,10,5,2,117.12000000000002,305.0,3,0,0,1
