#{"t_start": 1788147178.4962974, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level,active_minibosses,active_boss_hazards,drone_level
152.22139,1641,3.776361,2,100.0,77,4,1,0.0,781.0,5,0,0,0
-24.170973,290,4.070336,1,0.0,12,0,0,112.0,96.0,2,0,0,0
-36.879625,200,4.305298,1,0.0,2,0,0,112.0,16.0,1,0,0,0
-37.233995,148,4.459466,1,0.0,2,0,0,112.0,16.0,1,0,0,0
-12.216229,459,4.919203,1,0.0,24,0,0,140.0,192.0,3,0,0,0
-34.598318,190,5.117952,1,0.0,4,0,0,112.0,32.0,1,0,0,0
-37.433672,145,5.263544,1,0.0,3,0,0,112.0,24.0,1,0,0,0
100.254435,965,6.272282,2,0.0,54,3,1,115.92000000000002,652.0,5,0,0,2
170.711041,1345,8.051952,3,0.0,53,5,2,117.0784,739.0,5,0,0,2
1307.310305,1961,12.33183,12,0.0,179,38,11,133.968,3757.0,12,0,0,4
896.862743,951,14.439386,10,0.0,63,29,9,212.42479999999998,2374.0,9,1,0,1
384.11388,960,16.504648,5,0.0,64,12,4,129.92,1182.0,6,0,0,3
60.557467,377,17.334614,2,0.0,23,2,1,101.92,279.0,3,0,0,0
250.661199,825,19.187223,4,0.0,50,7,3,125.44000000000003,870.0,5,0,0,2
122.899643,480,20.175749,3,0.0,22,5,2,207.52,401.0,4,0,2,1
148.901844,776,21.788832,3,0.0,36,5,2,118.80000000000001,513.0,4,0,2,0
252.049509,689,23.222462,4,0.0,36,8,3,125.12,793.0,5,0,0,1
43.373663,166,23.540025,2,0.0,4,3,1,110.824,162.0,2,1,0,1
147.234939,823,25.245253,3,0.0,37,5,2,133.632,521.0,4,0,0,0
73.149012,529,26.331483,2,0.0,11,4,1,101.92,253.0,3,0,0,0
194.102351,459,27.310932,4,0.0,18,6,3,141.12000000000003,579.0,4,1,0,1
42.546053,128,27.551501,2,0.0,3,3,1,101.92,154.0,2,0,0,1
134.112201,567,28.692083,3,0.0,21,5,2,163.52,393.0,4,0,0,1
33.771823,282,29.289046,2,0.0,7,2,1,101.92,151.0,2,0,0,1
511.724303,1300,32.127257,6,0.0,91,16,5,250.992,1563.0,8,0,2,2
155.169807,565,33.314152,3,0.0,30,5,2,108.86400000000002,555.0,4,0,0,2
114.823951,358,34.059695,3,0.0,9,5,2,107.76000000000002,297.0,3,0,2,0
133.244114,389,34.824818,3,0.0,15,5,2,108.86400000000002,345.0,3,0,2,0
2386.927986,3106,42.353899,19,0.0,363,63,18,405.3279999999999,6729.0,17,1,0,6
150.034925,624,43.767564,3,0.0,29,5,2,162.72000000000003,457.0,4,0,2,1
124.919264,448,44.765285,3,0.0,17,5,2,117.12000000000002,361.0,3,0,2,1
29.362676,207,45.172386,2,0.0,5,2,1,112.56,135.0,2,0,0,1
144.51326,775,46.827003,3,0.0,31,5,2,160.20800000000003,473.0,4,0,2,2
51.864278,292,47.429515,2,0.0,13,3,1,108.248,234.0,3,1,0,0
169.210754,1162,49.810319,3,0.0,44,5,2,129.48800000000003,577.0,4,0,2,2
114.991138,310,50.447484,3,0.0,11,5,2,109.92000000000002,313.0,3,0,3,1
124.746966,288,56.707538,3,0.0,10,5,2,108.86400000000002,305.0,3,0,0,0
7576.803747,6874,74.705627,40,0.0,1191,139,39,571.7164999999998,18398.0,30,0,0,11
46.951293,314,75.353032,2,0.0,13,3,1,201.60000000000002,234.0,3,0,0,0
26.111496,138,75.648364,2,0.0,1,2,1,101.696,103.0,2,1,0,0
110.464981,296,76.304033,3,0.0,9,5,2,173.68000000000004,297.0,3,0,2,1
-35.582168,149,76.652306,1,0.0,2,0,0,112.0,16.0,1,0,0,0
78.607161,677,78.114081,2,0.0,20,4,1,116.48,325.0,3,0,0,0
63.851555,338,78.83934,2,0.0,13,3,1,115.92000000000002,324.0,3,0,0,0
