#{"t_start": 1788147361.6121676, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level,active_minibosses,active_boss_hazards,drone_level
27.145219,900,1.19198,1,34.0,48,0,0,70.0,384.0,4,0,0,0
-34.685997,136,1.346238,1,0.0,3,0,0,112.0,24.0,1,0,0,0
-21.352182,334,1.721635,1,0.0,16,0,0,112.0,128.0,2,0,0,0
-7.762773,573,2.392095,1,0.0,29,0,0,140.0,232.0,3,0,0,0
45.933047,900,3.453123,1,63.961666666664875,49,1,0,42.0,427.0,4,0,0,1
-27.233559,307,3.790251,1,0.0,12,0,0,112.0,96.0,2,0,0,0
-35.772434,174,3.980507,1,0.0,4,0,0,112.0,32.0,1,0,0,0
138.303013,1379,5.674736,2,72.0,78,3,1,28.0,754.0,5,0,0,1
-35.554883,121,5.816994,1,0.0,3,0,0,112.0,24.0,1,0,0,0
62.338193,724,7.282817,2,0.0,27,2,1,115.92000000000002,401.0,4,0,0,0
160.019967,1220,10.124712,2,78.11233333333087,73,4,1,73.696,839.0,5,0,0,1
245.334963,1157,13.206392,4,0.0,65,6,3,174.848,955.0,6,1,0,0
117.125037,310,13.878203,3,0.0,8,5,2,108.86400000000002,289.0,3,0,0,1
19900.807719,8630,41.629285,78,0.0,1344,280,77,406.944,27757.0,38,0,2,13
148.116248,506,42.939916,3,0.0,26,5,2,161.46400000000003,523.0,4,0,3,2
152.97938,693,44.587017,3,0.0,30,5,2,115.48800000000001,465.0,4,0,2,0
143.759406,485,45.727531,3,0.0,23,5,2,111.04,409.0,4,0,2,3
40.21274,178,46.152125,2,0.0,2,3,1,116.48,146.0,2,0,0,1
130.814613,342,46.99779,3,0.0,14,5,2,107.23200000000001,427.0,4,0,2,0
2617.64321,2290,53.332074,21,0.0,277,71,20,269.708,6461.0,16,0,3,5
132.645039,726,55.081054,3,0.0,22,5,2,117.08800000000002,401.0,4,0,2,0
-0.903418,746,56.898142,1,0.0,20,1,0,154.0,195.0,3,0,0,0
141.340697,613,58.420365,3,0.0,31,5,2,108.86400000000002,473.0,4,0,2,1
136.253289,656,60.054582,3,0.0,30,5,2,188.72000000000003,465.0,4,0,3,1
86.054874,505,61.393385,2,0.0,24,4,1,169.624,447.0,4,0,0,2
161.005798,774,81.243297,3,0.0,41,5,2,141.888,553.0,4,0,0,0
529.869166,1601,85.542232,6,0.0,93,16,5,213.76,1669.0,8,0,2,1
125.013722,489,86.914655,3,0.0,20,5,2,105.60000000000001,385.0,4,0,2,2
123.313058,328,87.691525,3,0.0,10,5,2,117.12000000000002,395.0,4,0,2,1
235.643674,506,88.91644,4,0.0,20,8,3,125.44000000000003,755.0,5,0,0,0
556.619083,1249,92.164468,6,0.0,96,16,5,134.904,1783.0,8,0,2,1
382.561018,723,94.103897,5,0.0,42,14,4,129.92,1076.0,6,0,0,1
624.355317,1334,97.624466,7,0.0,84,19,6,201.22800000000007,1967.0,9,0,0,1
1307.77451,1265,100.938705,13,0.0,100,41,12,216.48,3405.0,12,0,0,4
117.134129,334,101.746042,3,0.0,13,5,2,170.09600000000003,329.0,3,0,0,1
136.561432,395,102.713506,3,0.0,14,5,2,115.48800000000001,427.0,4,0,2,0
126.627928,362,103.605128,3,0.0,16,5,2,127.00800000000001,353.0,3,0,3,0
44.809259,212,104.134492,2,0.0,5,3,1,101.92,170.0,2,0,0,0
