#{"t_start": 1788147567.599392, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level,active_minibosses,active_boss_hazards,drone_level
-34.879777,138,0.199359,1,0.0,2,0,0,112.0,16.0,1,0,0,0
-33.904396,83,0.296012,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.478267,196,0.546955,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.957633,231,0.851285,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.266553,129,1.001703,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.030313,143,1.172355,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.050962,151,1.357047,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.313882,216,1.630187,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.255197,149,1.809841,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.98766,167,2.012992,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.964927,118,2.141912,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-36.159923,220,2.389761,1,0.0,2,0,0,112.0,16.0,1,0,0,0
-37.91414,159,2.583344,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.046449,111,2.715313,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.554401,141,2.869882,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.984787,143,3.045341,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.306899,97,3.146906,1,0.0,0,0,0,126.0,0.0,1,0,0,0
-39.797952,152,3.32007,1,0.0,0,0,0,126.0,0.0,1,0,0,0
-39.643149,141,3.478612,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.187479,143,3.637516,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-39.01676,151,3.81732,1,0.0,0,0,0,126.0,0.0,1,0,0,0
-38.507539,96,3.926728,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-40.112219,187,4.160086,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.924049,163,4.357168,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.95372,167,4.559932,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.032632,213,4.814481,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.06769,149,5.046539,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.692665,108,5.173106,1,0.0,0,0,0,112.0,0.0,1,0,0,0
