#{"t_start": 1788147485.3717294, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level,active_minibosses,active_boss_hazards,drone_level
-38.823883,87,0.109857,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.054286,169,0.321867,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.0691,112,0.459203,1,0.0,0,0,0,126.0,0.0,1,0,0,0
-38.733461,129,0.61904,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-35.266475,169,0.833403,1,0.0,2,0,0,112.0,16.0,1,0,0,0
-38.97237,146,1.026966,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-23.711128,134,1.190066,1,0.0,0,1,0,112.0,35.0,1,0,0,0
-38.213095,210,1.449154,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.382187,185,1.686081,1,0.0,2,0,0,112.0,16.0,1,0,0,0
-38.232713,149,1.877631,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.699204,142,2.056206,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-36.236669,154,2.243134,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-38.823766,195,2.491143,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.428606,125,2.655215,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.969023,128,2.802088,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.034421,202,3.113965,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.258957,179,3.349208,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.08328,140,3.565676,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.333183,180,3.835839,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.050506,163,4.055954,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-36.441057,133,4.216021,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-38.918822,118,4.358089,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.011404,198,4.614334,1,0.0,2,0,0,112.0,16.0,1,0,0,0
-39.107268,152,4.789935,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.769002,106,4.906906,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.586554,170,5.120713,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.366725,159,5.306765,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.582144,165,5.517417,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.065118,215,5.795036,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-39.024382,145,5.963646,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.400493,213,6.24266,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-36.313179,122,6.388867,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-35.723151,159,6.720617,1,0.0,2,0,0,112.0,16.0,1,0,0,0
-37.754374,106,6.923266,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-35.200372,117,7.156953,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-35.735538,109,7.378235,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-19.82681,135,7.649956,1,0.0,3,1,0,112.0,59.0,2,0,0,0
30.966779,193,8.011444,2,0.0,4,2,1,101.92,127.0,2,0,0,1
-34.252147,162,8.338073,1,0.0,3,0,0,112.0,24.0,1,0,0,0
-19.47448,178,8.678621,1,0.0,2,1,0,112.0,51.0,1,0,0,0
-36.766098,108,8.883284,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-20.716807,193,9.27388,1,0.0,2,1,0,112.0,51.0,1,0,0,0
-22.282146,195,9.668535,1,0.0,2,1,0,112.0,51.0,1,0,0,0
-35.051322,129,9.991056,1,0.0,2,0,0,112.0,16.0,1,0,0,0
25.015944,171,10.374841,2,0.0,2,2,1,104.83200000000001,111.0,2,1,0,0
-35.345292,122,10.658107,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-20.988619,156,10.997168,1,0.0,1,1,0,112.0,43.0,1,0,0,0
-32.285323,190,11.399094,1,0.0,5,0,0,112.0,40.0,1,0,0,0
-21.977529,190,11.799224,1,0.0,1,1,0,112.0,43.0,1,0,0,0
43.357125,214,12.304108,2,0.0,4,3,1,101.92,162.0,2,0,0,0
-19.677017,147,12.630987,1,0.0,3,1,0,112.0,59.0,2,0,0,0
-37.501801,68,12.772426,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-36.579636,116,13.03082,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-23.159897,105,13.239723,1,0.0,1,1,0,112.0,43.0,1,0,0,0
-35.823461,138,13.530843,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-20.237224,169,13.888043,1,0.0,2,1,0,112.0,51.0,1,0,0,0
-31.594868,172,14.249084,1,0.0,4,0,0,112.0,32.0,1,0,0,0
-22.173715,101,14.459491,1,0.0,0,1,0,112.0,35.0,1,0,0,0
-35.555407,133,14.759667,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-20.967072,180,15.130183,1,0.0,1,1,0,112.0,43.0,1,0,0,0
21.00335,253,15.661639,2,0.0,3,2,1,157.36,119.0,2,0,0,0
-37.310356,128,15.918081,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-21.124144,101,16.126799,1,0.0,2,1,0,112.0,51.0,1,0,0,0
-19.230402,195,16.506576,1,0.0,2,1,0,112.0,51.0,1,0,0,0
-20.327732,126,16.755249,1,0.0,2,1,0,112.0,51.0,1,0,0,0
-18.848489,148,17.063019,1,0.0,3,1,0,112.0,59.0,2,0,0,0
