#{"t_start": 1788147649.6689806, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level,active_minibosses,active_boss_hazards,drone_level
-23.625602,98,0.135751,1,0.0,0,1,0,112.0,35.0,1,0,0,0
-38.925364,146,0.323832,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.370256,125,0.474181,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.315474,103,0.593763,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.095189,75,0.678231,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.097017,186,0.905109,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.224618,146,1.072556,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.928751,114,1.207444,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-36.247144,169,1.424623,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.190233,118,1.559665,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.226685,197,1.808925,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-36.754261,105,1.921165,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.167725,151,2.092211,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-36.176831,133,2.242937,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-39.990263,211,2.535984,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.03086,175,2.777556,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.230266,111,2.915598,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.057527,174,3.145609,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.257002,120,3.28384,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.684298,184,3.519011,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-36.612535,193,3.761799,1,0.0,2,0,0,112.0,16.0,1,0,0,0
-38.99756,182,3.991616,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-35.986316,325,4.440799,1,0.0,3,0,0,112.0,24.0,1,0,0,0
-38.439941,124,4.586216,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.638152,287,4.98453,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-24.281308,112,5.116549,1,0.0,0,1,0,112.0,35.0,1,0,0,0
-38.392641,143,5.308689,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.314053,114,5.455622,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.219138,216,5.770016,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-36.346533,104,5.897668,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.323372,127,6.049798,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.530279,198,6.298691,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-35.62856,155,6.669749,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.995532,109,6.936732,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-37.098155,100,7.165825,1,0.0,0,0,0,112.0,0.0,1,0,0,0
30.779138,206,7.607708,2,0.0,6,2,1,101.92,143.0,2,0,0,1
-38.339577,116,7.86388,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-36.261526,95,8.076079,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-23.192304,96,8.320786,1,0.0,0,1,0,112.0,35.0,1,0,0,0
-36.424205,129,8.626474,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-34.903611,100,8.866828,1,0.0,2,0,0,112.0,16.0,1,0,0,0
-38.159543,224,9.497618,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.175451,142,9.869689,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-37.153856,195,10.38437,1,0.0,2,0,0,112.0,16.0,1,0,0,0
-38.455894,153,10.749293,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.656167,136,11.086258,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.951747,122,11.392436,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.384266,121,11.685378,1,0.0,1,0,0,126.0,8.0,1,0,0,0
-22.197135,147,12.032472,1,0.0,1,1,0,112.0,43.0,1,0,0,0
-38.185679,177,12.49574,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.146721,81,12.686989,1,0.0,0,0,0,126.0,0.0,1,0,0,0
