episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,41000,480.780116,6,5,3167,792,player_destroyed,False,53,16,8345.2,283.504,380,343,0.902632,0.902632,5,1113.0,Nova Payload,4,4,1,1,4,1,1,0,0,fire_rate:1;multishot:2;splash:1,22,0.3055555555555556,0.2815656565656566,109.4627156412773,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 444}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 22.568, ""frames"": 328}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 72.57600000000001, ""frames"": 740}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 9, ""damage"": 94.08000000000001, ""frames"": 724}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 556}, ""6"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 94.28, ""frames"": 375}}"
2,41001,474.825087,6,5,3192,798,player_destroyed,False,50,16,7606.2,184.104,346,291,0.84104,0.84104,5,1020.0,Nova Payload,4,4,1,0,2,1,1,0,0,damage:1;multishot:1;splash:1;leech:1;artifact:1,10,0.15162907268170425,0.16290726817042606,109.25709242959383,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 408}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 472}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 18.144000000000002, ""frames"": 812}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 31.360000000000003, ""frames"": 600}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 528}, ""6"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 1, ""contacts"": 6, ""damage"": 134.6, ""frames"": 372}}"
3,41002,135.579723,3,2,1708,427,player_destroyed,False,17,5,2212.35,107.856,115,97,0.843478,0.843478,3,296.0,Rapid Pulse,2,2,0,0,3,1,0,0,0,fire_rate:1;shield:1,7,0.1592505854800937,0.1358313817330211,133.56697425864806,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 464}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 288}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 3, ""boss_hits"": 1, ""contacts"": 7, ""damage"": 107.85600000000001, ""frames"": 956}}"
4,41003,134.291803,3,2,1162,291,player_destroyed,False,11,5,2219.5125,122.416,78,78,1.0,1.0,3,260.0,Rapid Pulse,2,2,0,0,2,1,0,0,0,fire_rate:1;shield:1,6,0.20618556701030927,0.13745704467353953,85.81592620319351,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 260}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.56, ""frames"": 296}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 107.85600000000002, ""frames"": 606}}"
5,41004,349.868195,5,4,2470,618,player_destroyed,False,29,13,5226.8198,179.088,198,183,0.924242,0.924242,4,782.0,Multi-Beam Array,3,3,1,0,2,1,1,2,0,damage:1;multishot:1;homing:1;drone:2,12,0.1553398058252427,0.08737864077669903,90.77263945563352,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 164}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 664}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 2, ""damage"": 65.40800000000002, ""frames"": 648}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 568}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 10, ""damage"": 113.67999999999998, ""frames"": 426}}"
6,41005,23.053224,1,0,3600,900,phase_timeout,True,27,1,1450.0,0.0,59,58,0.983051,0.983051,2,192.0,Multi-Beam Array,1,0,0,0,0,0,0,0,0,multishot:1,0,0.0,0.0,118.23798512780013,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 3600}}"
7,41006,144.794035,3,2,1224,306,player_destroyed,False,12,5,2612.4,131.432,123,111,0.902439,0.902439,3,341.0,Multi-Beam Array,2,2,0,1,2,0,0,0,0,multishot:1;capacitor:1,7,0.18627450980392157,0.20588235294117646,118.55440236231684,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 172}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 22.568, ""frames"": 256}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 108.86400000000002, ""frames"": 796}}"
8,41007,850.363967,9,8,4616,1154,player_destroyed,False,86,27,15120.7853,268.688,480,433,0.902083,0.902083,6,1837.0,Nova Payload,5,6,2,1,5,0,2,4,0,damage:1;multishot:1;splash:2;drone:4;artifact:1,20,0.14471403812824957,0.09965337954939342,101.9992826991103,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 176}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.56, ""frames"": 528}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 18.144000000000002, ""frames"": 472}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 748}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 592}, ""6"": {""boss_casts"": 1, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 40.32, ""frames"": 276}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 17.36, ""frames"": 688}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 89.60000000000001, ""frames"": 684}, ""9"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 88.704, ""frames"": 452}}"
9,41008,117.679427,3,2,1099,275,player_destroyed,False,8,5,1654.325,145.152,52,49,0.942308,0.942308,3,242.0,Nova Payload,2,2,0,0,2,0,0,1,0,splash:1;drone:1,8,0.19636363636363635,0.2109090909090909,85.0141233645952,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 152}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 464}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 145.15200000000002, ""frames"": 483}}"
10,41009,26.110501,1,0,3600,900,phase_timeout,True,28,1,1528.75,14.0,66,61,0.924242,0.924242,2,198.0,Prism Laser,1,0,0,0,0,0,0,0,0,laser:1,1,0.006666666666666667,0.0,148.66630538381148,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 3600}}"
