episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,41000,129.932512,3,2,2206,552,player_destroyed,False,20,5,2190.925,105.504,83,62,0.746988,0.746988,3,314.0,Rapid Pulse,2,2,0,0,4,2,0,1,0,fire_rate:1;homing:1;drone:1,3,0.07427536231884058,0.625,174.32570071091664,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 476}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 29.12, ""frames"": 476}, ""3"": {""boss_casts"": 6, ""boss_dodges"": 4, ""boss_hits"": 2, ""contacts"": 1, ""damage"": 76.38400000000001, ""frames"": 1254}}"
2,41001,100.422587,3,2,1583,396,player_destroyed,False,2,5,766.0,100.8,53,28,0.528302,0.528302,2,206.0,Pulse Cannon,1,2,0,0,1,2,0,0,0,damage:1,4,0.2727272727272727,0.6515151515151515,161.14485043834807,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 296}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.56, ""frames"": 464}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 1, ""boss_hits"": 2, ""contacts"": 1, ""damage"": 58.24000000000001, ""frames"": 823}}"
3,41002,103.848157,3,2,1209,303,player_destroyed,False,5,5,1034.575,111.2832,42,28,0.666667,0.666667,2,224.0,Pulse Cannon,1,2,0,0,0,1,0,1,0,shield:1;drone:1,6,0.27722772277227725,0.7623762376237624,253.56725177799146,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 424}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 52.416000000000004, ""frames"": 560}, ""3"": {""boss_casts"": 1, ""boss_dodges"": 0, ""boss_hits"": 1, ""contacts"": 2, ""damage"": 58.86720000000001, ""frames"": 225}}"
4,41003,40.963704,2,1,1002,251,player_destroyed,False,5,3,835.5,101.36,43,24,0.55814,0.55814,2,142.0,Pulse Cannon,1,1,0,0,0,0,0,1,0,homing:1;drone:1,7,0.3665338645418327,0.6055776892430279,162.9336271565387,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 368}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 87.36, ""frames"": 634}}"
5,41004,109.101294,3,2,1241,311,player_destroyed,False,7,5,1031.0,104.72,42,37,0.880952,0.880952,3,236.0,Pulse Cannon,2,2,0,0,2,0,0,0,0,homing:1;critical:1,8,0.19614147909967847,0.7138263665594855,218.11585969104704,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 268}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 480}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 90.72000000000001, ""frames"": 493}}"
6,41005,120.979043,3,2,1875,469,player_destroyed,False,5,5,1353.95,100.576,79,46,0.582278,0.582278,2,224.0,Multi-Beam Array,1,2,0,0,4,0,0,0,0,multishot:1,6,0.2281449893390192,0.5031982942430704,156.05560409290823,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 424}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 452}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 72.57600000000001, ""frames"": 999}}"
7,41006,108.39481,3,2,1671,418,player_destroyed,False,10,5,1487.45,134.624,57,38,0.666667,0.666667,3,254.0,Pulse Cannon,2,2,0,0,2,1,0,1,0,engine:1;regen:1;drone:1,8,0.35406698564593303,0.5813397129186603,183.67751467949316,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 228}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 87.36, ""frames"": 620}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 2, ""damage"": 47.26400000000001, ""frames"": 823}}"
8,41007,105.281549,3,2,2126,532,player_destroyed,False,4,5,946.5,183.232,90,43,0.477778,0.477778,2,218.0,Multi-Beam Array,1,2,0,0,4,2,0,0,0,multishot:1,9,0.3007518796992481,0.7236842105263158,123.68030714574122,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 56.0, ""frames"": 272}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.56, ""frames"": 384}, ""3"": {""boss_casts"": 7, ""boss_dodges"": 4, ""boss_hits"": 2, ""contacts"": 4, ""damage"": 112.67200000000003, ""frames"": 1470}}"
9,41008,56.287133,2,1,918,230,player_destroyed,False,6,4,797.0,106.624,43,23,0.534884,0.534884,2,178.0,Pulse Cannon,1,1,0,0,0,0,0,1,0,shield:1;drone:1,8,0.3565217391304348,0.5521739130434783,136.16055360360187,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 276}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 78.62400000000001, ""frames"": 642}}"
10,41009,96.070653,3,2,1640,410,player_destroyed,False,5,5,1151.85,199.472,48,27,0.5625,0.5625,2,224.0,Pulse Cannon,1,2,0,0,2,2,0,1,0,regen:1;drone:1,9,0.33170731707317075,0.7804878048780488,144.03659459441576,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 304}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 72.8, ""frames"": 512}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 112.67200000000003, ""frames"": 824}}"
