episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,41000,48.537454,2,1,1106,553,player_destroyed,False,11,3,1038.0,109.928,57,38,0.666667,0.666667,2,178.0,Rapid Pulse,1,1,0,0,0,0,0,0,0,fire_rate:1,7,0.3309222423146474,0.6980108499095841,200.30984741555991,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 372}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 109.928, ""frames"": 734}}"
2,41001,97.043921,3,2,1814,907,player_destroyed,False,5,5,860.0,191.52,53,31,0.584906,0.584906,2,224.0,Pulse Cannon,1,2,0,0,4,1,0,0,0,damage:1,10,0.24696802646085997,0.6019845644983461,135.33498507371542,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 298}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 43.68, ""frames"": 476}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 4, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 119.84000000000002, ""frames"": 1040}}"
3,41002,55.181302,2,1,823,412,player_destroyed,False,5,4,779.0,109.928,31,27,0.870968,0.870968,2,172.0,Rapid Pulse,1,1,0,0,0,0,0,1,0,fire_rate:1;drone:1,7,0.3155339805825243,0.6310679611650486,222.6181510201103,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 418}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 109.92800000000001, ""frames"": 405}}"
4,41003,111.757953,3,2,1945,973,player_destroyed,False,9,5,1533.45,117.096,61,34,0.557377,0.557377,3,248.0,Pulse Cannon,2,2,0,0,2,2,0,1,0,drone:1;critical:1,4,0.22199383350462487,0.5354573484069887,170.8602096933281,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 348}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 22.568, ""frames"": 448}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 2, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 94.52800000000002, ""frames"": 1149}}"
5,41004,118.687028,3,2,1792,896,player_destroyed,False,11,5,2051.3,149.184,62,60,0.967742,0.967742,3,260.0,Pulse Cannon,2,2,0,0,1,2,0,1,0,homing:1;drone:1,6,0.140625,0.8727678571428571,224.0617323952965,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 226}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 72.8, ""frames"": 480}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 1, ""boss_hits"": 2, ""contacts"": 1, ""damage"": 76.38400000000001, ""frames"": 1086}}"
6,41005,99.280151,3,2,1508,754,player_destroyed,False,2,5,701.0,100.8,61,21,0.344262,0.344262,2,206.0,Multi-Beam Array,1,2,0,0,1,2,0,0,0,multishot:1,3,0.16312997347480107,0.493368700265252,218.98705785916144,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 420}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.56, ""frames"": 480}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 1, ""boss_hits"": 2, ""contacts"": 0, ""damage"": 58.24000000000001, ""frames"": 608}}"
7,41006,97.193436,3,2,857,429,player_destroyed,False,2,5,676.0,113.288,70,25,0.357143,0.357143,2,206.0,Multi-Beam Array,1,2,0,0,1,0,0,0,0,multishot:1,8,0.1958041958041958,0.7202797202797203,146.74985116620397,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 216}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 22.568, ""frames"": 278}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 90.72000000000001, ""frames"": 363}}"
8,41007,86.474644,3,2,1268,634,player_destroyed,False,3,5,738.0,221.648,56,33,0.589286,0.589286,2,212.0,Multi-Beam Array,1,2,0,0,0,1,0,0,0,multishot:1,13,0.4242902208201893,0.6719242902208202,120.34347874691304,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 98.0, ""frames"": 296}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 58.24, ""frames"": 572}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 1, ""contacts"": 2, ""damage"": 65.40800000000002, ""frames"": 400}}"
9,41008,101.231244,3,2,1820,910,player_destroyed,False,5,5,844.25,118.944,87,31,0.356322,0.356322,2,224.0,Pulse Cannon,1,2,0,0,2,0,0,0,0,regen:1,9,0.2802197802197802,0.621978021978022,139.72973092897124,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 288}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 72.8, ""frames"": 818}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 18.144000000000002, ""frames"": 714}}"
10,41009,110.253627,3,2,2221,1111,player_destroyed,False,11,5,1753.85,141.232,92,39,0.423913,0.423913,3,260.0,Multi-Beam Array,2,2,0,0,4,2,0,1,0,multishot:1;regen:1;drone:1,6,0.2448244824482448,0.7056705670567057,143.18384012520087,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 368}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.56, ""frames"": 380}, ""3"": {""boss_casts"": 7, ""boss_dodges"": 4, ""boss_hits"": 2, ""contacts"": 4, ""damage"": 112.67200000000003, ""frames"": 1473}}"
