episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,43000,675.013178,7,6,5400,1350,player_destroyed,False,94,20,13488.125,140.0,336,364,1.0,1.083333,6,1556.0,Prism Laser,5,4,2,0,8,0,2,1,0,damage:2;laser:1;piercing:1;drone:1;critical:1;artifact:2,9,0.12518518518518518,0.1,108.12450904871538,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 288}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 320}, ""3"": {""boss_casts"": 6, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1300}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 15.680000000000001, ""frames"": 864}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 660}, ""6"": {""boss_casts"": 6, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 20.16, ""frames"": 1168}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 104.16, ""frames"": 800}}"
2,43001,534.42566,6,5,4983,1246,player_destroyed,False,85,16,10454.466,120.24,327,303,0.926606,0.926606,5,1305.0,Nova Payload,4,4,1,1,8,2,1,2,0,damage:1;splash:1;drone:2,6,0.14606741573033707,0.12199036918138041,110.66379645743082,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 492}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 468}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 928}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1036}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 32.48, ""frames"": 892}, ""6"": {""boss_casts"": 6, ""boss_dodges"": 4, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 87.76000000000002, ""frames"": 1167}}"
3,43002,919.179971,9,8,6390,1598,player_destroyed,False,132,27,19561.45,242.952,711,632,0.888889,0.888889,7,2188.0,Prism Laser,6,6,2,2,7,3,2,0,0,damage:3;multishot:1;laser:1;regen:1;artifact:1,11,0.18648310387984982,0.07384230287859825,113.94348128480013,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 396}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 300}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 708}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 31.360000000000003, ""frames"": 1156}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 988}, ""6"": {""boss_casts"": 3, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 20.16, ""frames"": 660}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 53.816, ""frames"": 528}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 0.0, ""frames"": 760}, ""9"": {""boss_casts"": 5, ""boss_dodges"": 2, ""boss_hits"": 3, ""contacts"": 2, ""damage"": 137.61599999999999, ""frames"": 894}}"
4,43003,299.39935,4,3,3907,977,player_destroyed,False,80,8,7572.2553,175.168,264,256,0.969697,0.969697,5,916.0,Nova Payload,4,2,1,0,1,1,1,2,0,splash:1;regen:1;drone:2;riftbreaker:1,12,0.49437052200614123,0.4616171954964176,62.41073882267375,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 180}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 492}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 1, ""boss_hits"": 1, ""contacts"": 2, ""damage"": 65.40800000000002, ""frames"": 932}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 10, ""damage"": 109.76000000000002, ""frames"": 2303}}"
5,43004,172.702586,3,2,2892,723,player_destroyed,False,33,5,4334.525,149.7776,145,135,0.931034,0.931034,3,467.0,Pulse Cannon,2,2,0,1,6,1,0,1,0,homing:1;regen:1;drone:1,5,0.1715076071922545,0.20470262793914246,117.26555407362115,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 240}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 532}, ""3"": {""boss_casts"": 10, ""boss_dodges"": 6, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 149.77760000000004, ""frames"": 2120}}"
6,43005,1273.770697,12,11,6473,1619,player_destroyed,False,149,38,26482.0116,206.704,910,791,0.869231,0.869231,8,2741.0,Nova Payload,7,8,3,1,3,2,3,2,0,damage:1;multishot:2;splash:1;drone:2;critical:2;riftbreaker:1;artifact:1,12,0.15379864113650402,0.1012970969734404,105.67868097218694,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 348}, ""10"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 716}, ""11"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 480}, ""12"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 96.768, ""frames"": 293}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 472}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 0.0, ""frames"": 432}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 668}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 684}, ""6"": {""boss_casts"": 2, ""boss_dodges"": 0, ""boss_hits"": 2, ""contacts"": 1, ""damage"": 87.76, ""frames"": 436}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 640}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 560}, ""9"": {""boss_casts"": 4, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 22.176, ""frames"": 744}}"
7,43006,158.424937,3,2,1722,431,player_destroyed,False,20,5,3248.475,119.84,107,104,0.971963,0.971963,3,389.0,Pulse Cannon,2,2,0,1,3,1,0,2,0,damage:1;drone:2,7,0.28074245939675174,0.17865429234338748,60.82447877599438,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 200}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 344}, ""3"": {""boss_casts"": 6, ""boss_dodges"": 3, ""boss_hits"": 1, ""contacts"": 7, ""damage"": 119.84000000000003, ""frames"": 1178}}"
8,43007,394.623563,5,4,2740,685,player_destroyed,False,37,15,5839.2843,179.088,247,208,0.842105,0.842105,4,890.0,Multi-Beam Array,3,3,1,0,0,1,1,2,0,damage:1;multishot:1;drone:2;capacitor:1,12,0.17372262773722627,0.18832116788321168,135.86248419686083,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 496}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 184}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 0, ""boss_hits"": 1, ""contacts"": 2, ""damage"": 65.40800000000002, ""frames"": 664}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 0.0, ""frames"": 528}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 113.67999999999999, ""frames"": 868}}"
9,43008,636.649937,7,6,4092,1023,player_destroyed,False,76,20,11667.3316,166.572,472,411,0.870763,0.870763,6,1448.0,Multi-Beam Array,5,4,2,0,4,1,2,2,0,multishot:1;engine:1;drone:2;critical:2;artifact:1,12,0.21603128054740958,0.2541544477028348,103.69178819598217,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 160}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 400}, ""3"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 3, ""damage"": 47.26400000000001, ""frames"": 668}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 808}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 492}, ""6"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 40.32, ""frames"": 796}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 78.988, ""frames"": 768}}"
10,43009,183.266511,3,2,2998,750,player_destroyed,False,34,5,4308.8,116.0992,196,183,0.933673,0.933673,3,473.0,Rapid Pulse,2,2,0,1,6,1,0,0,0,fire_rate:1;riftbreaker:1,5,0.268,0.108,90.49570051173723,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 588}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 22.568, ""frames"": 508}, ""3"": {""boss_casts"": 9, ""boss_dodges"": 6, ""boss_hits"": 1, ""contacts"": 4, ""damage"": 93.53120000000001, ""frames"": 1902}}"
11,43010,515.815901,5,4,6736,1684,player_destroyed,False,163,13,14924.8603,198.8,455,433,0.951648,0.951648,6,1661.0,Nova Payload,5,3,1,1,4,0,1,3,0,hull:1;damage:1;splash:2;drone:3,16,0.28978622327790976,0.042161520190023755,83.83779216482544,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 268}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 420}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 54.432, ""frames"": 1120}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 9, ""damage"": 95.64800000000001, ""frames"": 1492}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 48.72, ""frames"": 3436}}"
12,43011,537.030405,6,5,4234,1059,player_destroyed,False,76,16,10136.1659,114.44,359,309,0.860724,0.860724,5,1176.0,Nova Payload,4,4,1,0,6,1,1,2,0,fire_rate:1;multishot:1;splash:1;drone:2;riftbreaker:1,5,0.10198300283286119,0.08781869688385269,115.66441446627782,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 220}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 572}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 4, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 1084}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1184}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 568}, ""6"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 4, ""damage"": 114.44, ""frames"": 606}}"
13,43012,380.807255,5,4,3934,984,player_destroyed,False,58,12,7218.2808,220.08,222,209,0.941441,0.941441,5,1076.0,Prism Laser,4,3,1,2,2,1,1,3,0,damage:1;laser:1;drone:3;artifact:1,13,0.19613821138211382,0.17378048780487804,107.26147753935864,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 280}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 45.136, ""frames"": 600}, ""3"": {""boss_casts"": 6, ""boss_dodges"": 2, ""boss_hits"": 1, ""contacts"": 2, ""damage"": 47.26400000000001, ""frames"": 1228}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1064}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 113.67999999999998, ""frames"": 762}}"
14,43013,169.078164,3,2,3033,759,player_destroyed,False,30,5,4046.776,121.6544,173,149,0.861272,0.861272,3,374.0,Pulse Cannon,2,2,0,0,7,1,0,0,0,damage:1;riftbreaker:1,5,0.1831357048748353,0.14361001317523056,118.4164207284492,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 460}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 480}, ""3"": {""boss_casts"": 10, ""boss_dodges"": 7, ""boss_hits"": 1, ""contacts"": 5, ""damage"": 121.65440000000001, ""frames"": 2093}}"
15,43014,937.965152,9,8,6458,1615,player_destroyed,False,134,27,20202.9867,298.356,656,614,0.935976,0.935976,7,2125.0,Multi-Beam Array,6,6,2,1,8,3,2,2,0,damage:2;multishot:1;drone:2;capacitor:1;leech:1;artifact:1,13,0.1306501547987616,0.09535603715170278,99.97949514624823,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 376}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 280}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 3, ""boss_hits"": 1, ""contacts"": 0, ""damage"": 29.120000000000005, ""frames"": 1044}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1004}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 25.171999999999997, ""frames"": 484}, ""6"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 60.480000000000004, ""frames"": 736}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 780}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 17.92, ""frames"": 860}, ""9"": {""boss_casts"": 5, ""boss_dodges"": 3, ""boss_hits"": 2, ""contacts"": 6, ""damage"": 165.664, ""frames"": 894}}"
16,43015,956.280127,9,8,6864,1716,player_destroyed,False,158,27,21788.2551,206.48,747,669,0.895582,0.895582,7,2269.0,Nova Payload,6,6,2,1,7,2,2,4,0,damage:1;fire_rate:1;multishot:1;splash:2;drone:4;artifact:1,15,0.175990675990676,0.08566433566433566,89.53831662471053,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 408}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 584}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 4, ""boss_hits"": 1, ""contacts"": 2, ""damage"": 65.40800000000002, ""frames"": 1160}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 784}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 0.0, ""frames"": 652}, ""6"": {""boss_casts"": 3, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 40.32, ""frames"": 592}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1120}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 17.92, ""frames"": 1172}, ""9"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 1, ""contacts"": 4, ""damage"": 82.832, ""frames"": 392}}"
17,43016,341.58282,4,3,5230,1308,phase_timeout,True,62,10,6486.8,18.144,289,264,0.913495,0.913495,5,943.0,Nova Payload,4,2,1,1,2,0,1,0,0,fire_rate:1;multishot:2;splash:1;artifact:1,2,0.053516819571865444,0.03134556574923547,86.74511053479192,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 480}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 592}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 18.144000000000002, ""frames"": 500}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 3658}}"
18,43017,147.740093,3,2,2004,501,player_destroyed,False,20,5,2847.0,104.5072,103,101,0.980583,0.980583,3,314.0,Rapid Pulse,2,2,0,0,4,2,0,0,0,damage:1;fire_rate:1,2,0.12375249500998003,0.15768463073852296,125.54884813207555,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 300}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 444}, ""3"": {""boss_casts"": 6, ""boss_dodges"": 4, ""boss_hits"": 2, ""contacts"": 2, ""damage"": 104.50720000000001, ""frames"": 1260}}"
19,43018,1044.693152,9,8,9419,2355,player_destroyed,False,209,27,26183.615,164.016,1020,890,0.872549,0.872549,7,2650.0,Prism Laser,6,6,2,2,17,3,2,0,0,damage:1;fire_rate:1;multishot:1;laser:1;shield:1;riftbreaker:1;artifact:2,10,0.15881104033970275,0.1532908704883227,102.63155286287959,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 292}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 444}, ""3"": {""boss_casts"": 11, ""boss_dodges"": 10, ""boss_hits"": 1, ""contacts"": 3, ""damage"": 26.208000000000006, ""frames"": 2460}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 988}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 988}, ""6"": {""boss_casts"": 3, ""boss_dodges"": 3, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 36.288000000000004, ""frames"": 600}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 1620}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 32.25600000000001, ""frames"": 952}, ""9"": {""boss_casts"": 6, ""boss_dodges"": 4, ""boss_hits"": 2, ""contacts"": 0, ""damage"": 69.264, ""frames"": 1075}}"
20,43019,787.955734,8,7,4224,1056,player_destroyed,False,88,26,13997.1147,132.16,462,412,0.891775,0.891775,6,1797.0,Nova Payload,5,5,2,1,2,0,2,3,0,multishot:1;splash:2;drone:3;riftbreaker:1;artifact:1,10,0.17613636363636365,0.09090909090909091,118.29123286116564,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 180}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 568}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 0.0, ""frames"": 496}, ""4"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 580}, ""5"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 688}, ""6"": {""boss_casts"": 3, ""boss_dodges"": 1, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 60.480000000000004, ""frames"": 544}, ""7"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 628}, ""8"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 71.68, ""frames"": 540}}"
