episode,seed,reward,phase,phases_advanced,simulation_steps,decisions,end_reason,survived_time_limit,enemies_destroyed,spawners_destroyed,damage_dealt,damage_taken,shots_fired,projectile_hits,accuracy,hits_per_projectile,player_level,xp_earned,weapon_name,upgrades_chosen,phase_rewards_chosen,bosses_destroyed,minibosses_destroyed,boss_skills_dodged,boss_skill_hits,boss_rewards_chosen,drone_level,barrier_charges,build_summary,contact_events,crowd_fraction,wall_fraction,mean_enemy_clearance,phase_diagnostics
1,43000,105.023464,3,2,1536,384,player_destroyed,False,6,5,1219.775,115.136,49,27,0.55102,0.55102,2,230.0,Pulse Cannon,1,2,0,0,2,0,0,1,0,damage:1;drone:1,8,0.2760416666666667,0.3828125,131.5832856651295,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 280}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.56, ""frames"": 420}, ""3"": {""boss_casts"": 4, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 72.57600000000001, ""frames"": 836}}"
2,43001,103.560543,3,2,1779,445,player_destroyed,False,3,5,810.0,115.696,46,23,0.5,0.5,2,212.0,Rapid Pulse,1,2,0,0,3,1,0,0,0,fire_rate:1,5,0.2786516853932584,0.7078651685393258,103.70044690829292,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 384}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 428}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 3, ""boss_hits"": 1, ""contacts"": 4, ""damage"": 101.69600000000003, ""frames"": 967}}"
3,43002,121.773012,3,2,1848,462,player_destroyed,False,14,5,2004.7093,108.528,125,57,0.456,0.456,3,278.0,Multi-Beam Array,2,2,0,0,2,2,0,2,0,multishot:1;drone:2,4,0.22727272727272727,0.5844155844155844,120.69227648843606,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 380}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 388}, ""3"": {""boss_casts"": 5, ""boss_dodges"": 2, ""boss_hits"": 2, ""contacts"": 3, ""damage"": 94.52800000000002, ""frames"": 1080}}"
4,43003,110.734166,3,2,1364,341,player_destroyed,False,5,5,1129.2,108.864,58,43,0.741379,0.741379,2,224.0,Pulse Cannon,1,2,0,0,2,0,0,0,0,damage:1,8,0.2434017595307918,0.501466275659824,132.11441056149997,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 308}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 608}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 8, ""damage"": 108.864, ""frames"": 448}}"
5,43004,56.124567,2,1,945,237,player_destroyed,False,4,4,747.0,101.92,43,27,0.627907,0.627907,2,166.0,Pulse Cannon,1,1,0,0,0,0,0,0,0,damage:1,7,0.4345991561181435,0.5485232067510548,96.81506552712167,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 284}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 7, ""damage"": 101.92, ""frames"": 661}}"
6,43005,98.574791,3,2,1072,268,player_destroyed,False,3,5,1017.95,159.936,40,33,0.825,0.825,2,212.0,Pulse Cannon,1,2,0,0,0,1,0,1,0,homing:1;drone:1,8,0.2574626865671642,0.5149253731343284,117.61499086637428,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 0, ""damage"": 0.0, ""frames"": 276}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 4, ""damage"": 58.24, ""frames"": 504}, ""3"": {""boss_casts"": 1, ""boss_dodges"": 0, ""boss_hits"": 1, ""contacts"": 4, ""damage"": 101.69600000000003, ""frames"": 292}}"
7,43006,58.006368,2,1,981,246,player_destroyed,False,8,4,953.75,101.36,42,35,0.833333,0.833333,2,190.0,Pulse Cannon,1,1,0,0,0,0,0,0,0,range:1,7,0.45121951219512196,0.6178861788617886,74.12230601131935,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 336}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 87.36, ""frames"": 645}}"
8,43007,102.687291,3,2,1173,294,player_destroyed,False,4,5,954.0,103.824,46,39,0.847826,0.847826,2,218.0,Pulse Cannon,1,2,0,0,0,0,0,0,0,homing:1,8,0.35034013605442177,0.9115646258503401,119.87019185716345,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 42.0, ""frames"": 480}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 3, ""damage"": 43.68, ""frames"": 500}, ""3"": {""boss_casts"": 1, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 18.144000000000002, ""frames"": 193}}"
9,43008,114.777018,3,2,1324,331,player_destroyed,False,10,5,1420.85,108.4384,82,42,0.512195,0.512195,3,254.0,Rapid Pulse,2,2,0,0,2,0,0,1,0,fire_rate:1;shield:1;drone:1,9,0.23867069486404835,0.525679758308157,168.40147656545065,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 1, ""damage"": 14.0, ""frames"": 236}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 29.12, ""frames"": 576}, ""3"": {""boss_casts"": 2, ""boss_dodges"": 2, ""boss_hits"": 0, ""contacts"": 6, ""damage"": 65.31840000000001, ""frames"": 512}}"
10,43009,38.535617,2,1,806,202,player_destroyed,False,2,3,585.5,100.8,19,16,0.842105,0.842105,2,124.0,Pulse Cannon,1,1,0,0,0,0,0,1,0,homing:1;drone:1,7,0.30198019801980197,0.5297029702970297,122.9827786500112,"{""1"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 2, ""damage"": 28.0, ""frames"": 384}, ""2"": {""boss_casts"": 0, ""boss_dodges"": 0, ""boss_hits"": 0, ""contacts"": 5, ""damage"": 72.8, ""frames"": 422}}"
