#{"t_start": 1788242176.2486546, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level,active_minibosses,active_boss_hazards,active_boss_defenders,active_enemy_missiles,drone_level
-80.981234,300,1.369648,3,0.0,6,0,0,113.65760000000002,42.0,1,0,2,0,0,0
-62.500169,190,1.672626,3,0.0,4,0,0,102.18880000000001,28.0,1,0,2,0,0,0
-56.461214,180,1.960473,3,0.0,2,0,0,102.18880000000001,14.0,1,0,2,0,0,0
-85.600853,208,2.271531,3,0.0,5,0,0,113.65760000000002,35.0,1,0,0,0,0,0
-55.151228,138,2.480219,3,0.0,3,0,0,102.18880000000001,21.0,1,0,2,0,0,0
-36.17976,228,2.787019,1,0.0,8,0,0,112.0,56.0,2,0,0,0,0,0
-81.735841,300,3.258285,3,0.0,6,0,0,113.65760000000002,42.0,1,0,2,0,0,0
-37.261235,124,3.427285,1,0.0,1,0,0,112.0,7.0,1,0,0,0,0,0
-79.600449,246,3.808253,3,0.0,5,0,0,113.6576,35.0,1,0,2,0,0,0
-12.785886,481,4.400712,1,0.0,13,1,0,112.0,125.0,2,0,0,0,0,0
-51.276228,104,4.562376,3,0.0,1,0,0,114.59840000000001,7.0,1,0,0,0,0,0
-48.430238,246,4.948046,3,0.0,5,0,0,102.18880000000001,35.0,1,0,2,0,0,0
-56.974739,138,5.155461,3,0.0,2,0,0,120.33280000000002,14.0,1,0,2,0,0,0
-68.368707,193,5.446861,3,0.0,3,0,0,107.92320000000002,21.0,1,0,2,0,0,0
-75.271348,141,5.709576,3,0.0,1,0,0,107.92320000000001,7.0,1,0,2,0,0,0
-65.177623,220,6.038335,3,0.0,6,0,0,107.92320000000001,42.0,1,0,0,0,0,0
-63.175078,132,6.243057,3,0.0,1,0,0,102.18880000000001,7.0,1,0,3,0,0,0
-58.908098,453,6.959109,3,0.0,9,0,0,162.35520000000002,63.0,2,0,3,0,0,0
-40.001295,129,7.126109,1,0.0,2,0,0,112.0,14.0,1,0,0,0,0,0
-21.01839,520,7.851347,1,0.0,23,0,0,112.0,161.0,2,0,0,0,0,0
-49.888048,146,8.078722,3,0.0,2,0,0,114.59840000000003,14.0,1,0,0,0,0,0
-56.710979,107,8.239115,3,0.0,1,0,0,102.18880000000001,7.0,1,0,0,0,0,0
-54.835347,138,8.491037,3,0.0,3,0,0,102.18880000000001,21.0,1,0,2,0,0,0
-5.618753,278,9.105019,3,0.0,9,0,0,108.22440000000002,63.0,2,1,2,0,0,0
-8.881139,317,9.814979,3,0.0,9,0,0,128.1356,63.0,2,0,0,0,0,0
7.021925,443,10.80022,3,0.0,13,0,0,107.99496,91.0,2,0,3,0,0,0
111.091767,619,12.235164,4,0.0,24,3,1,176.07056,528.0,4,1,0,0,0,0
96.108558,775,13.951555,4,0.0,28,2,1,233.97920000000008,522.0,4,0,0,0,0,0
460.514598,953,15.947289,6,0.0,62,16,5,118.37,1263.0,6,0,0,0,0,1
