#{"t_start": 1788242596.0900464, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level,active_minibosses,active_boss_hazards,active_boss_defenders,active_enemy_missiles,drone_level
-63.936639,84,2.365602,3,0.0,0,0,0,102.18880000000001,0.0,1,0,2,0,0,0
-53.202016,123,2.5942,3,0.0,0,0,0,114.59840000000003,0.0,1,0,3,0,0,0
-59.176668,157,2.8889,3,0.0,0,0,0,102.18880000000001,0.0,1,0,0,0,0,0
-50.771126,106,3.088632,3,0.0,0,0,0,114.59840000000003,0.0,1,0,0,0,0,0
-64.869805,159,3.379991,3,0.0,0,0,0,102.18880000000001,0.0,1,0,0,0,0,0
-67.208,179,3.705008,3,0.0,0,0,0,102.18880000000001,0.0,1,0,2,0,0,0
-46.986368,52,3.806656,3,0.0,0,0,0,114.59840000000003,0.0,1,0,0,0,0,0
-41.329472,199,4.166964,1,0.0,0,0,0,112.0,0.0,1,0,0,0,0,0
-62.373155,225,4.59989,3,0.0,0,0,0,102.18880000000001,0.0,1,0,2,0,0,0
-54.239155,61,4.706099,3,0.0,0,0,0,114.59840000000003,0.0,1,0,0,0,0,0
-55.525225,112,4.904166,3,0.0,0,0,0,102.18880000000001,0.0,1,0,0,0,0,0
-61.616407,99,5.087362,3,0.0,0,0,0,102.18880000000001,0.0,1,0,0,0,0,0
-75.044786,246,5.540263,3,0.0,0,0,0,107.92320000000001,0.0,1,0,2,0,0,0
-73.02029,141,5.807526,3,0.0,0,0,0,107.92320000000001,0.0,1,0,2,0,0,0
-51.824964,91,5.98173,3,0.0,0,0,0,114.59840000000003,0.0,1,0,0,0,0,0
-60.838769,109,6.164511,3,0.0,0,0,0,102.18880000000001,0.0,1,0,0,0,0,0
-61.755437,93,6.32838,3,0.0,0,0,0,102.18880000000001,0.0,1,0,0,0,0,0
-40.850336,122,6.517394,1,0.0,0,0,0,112.0,0.0,1,0,0,0,0,0
-40.85892,101,6.675594,1,0.0,0,0,0,112.0,0.0,1,0,0,0,0,0
-42.057549,222,7.109659,3,0.0,0,0,0,114.59840000000003,0.0,1,0,0,0,0,0
-49.103646,239,7.564286,3,0.0,0,0,0,114.59840000000003,0.0,1,0,2,0,0,0
-65.28211,131,7.798606,3,0.0,0,0,0,102.18880000000001,0.0,1,0,2,0,0,0
-67.349238,132,8.038395,3,0.0,0,0,0,102.18880000000001,0.0,1,0,2,0,0,0
-69.450308,191,8.403332,3,0.0,0,0,0,102.18880000000001,0.0,1,0,2,0,0,0
-52.587221,78,8.544567,3,0.0,0,0,0,114.59840000000003,0.0,1,0,3,0,0,0
-63.243083,164,8.843585,3,0.0,0,0,0,102.18880000000001,0.0,1,0,0,0,0,0
-52.62628,114,9.040691,3,0.0,0,0,0,114.59840000000003,0.0,1,0,0,0,0,0
-61.416596,138,9.29425,3,0.0,0,0,0,120.33280000000002,0.0,1,0,3,0,0,0
-40.231123,137,9.513377,1,0.0,1,0,0,112.0,7.0,1,0,0,0,0,0
-60.308749,138,9.754122,3,0.0,0,0,0,102.18880000000001,0.0,1,0,2,0,0,0
-39.428388,167,10.036176,1,0.0,1,0,0,112.0,7.0,1,0,0,0,0,0
-71.663926,192,10.413515,3,0.0,0,0,0,107.92320000000001,0.0,1,0,2,0,0,0
-64.010109,144,10.674261,3,0.0,0,0,0,102.18880000000001,0.0,1,0,0,0,0,0
-41.523695,175,10.955627,1,0.0,0,0,0,112.0,0.0,1,0,0,0,0,0
-89.023011,311,11.703316,3,0.0,0,0,0,113.65760000000002,0.0,1,0,0,0,0,0
-73.922191,155,12.107818,3,0.0,0,0,0,107.92320000000002,0.0,1,0,0,0,0,0
87.138333,351,12.898102,3,0.0,8,5,2,109.02080000000001,282.0,3,0,2,0,0,1
-44.250187,408,14.049595,3,0.0,0,0,0,102.18880000000001,0.0,1,0,2,0,0,0
-78.189975,300,14.864517,3,0.0,0,0,0,113.65760000000002,0.0,1,0,2,0,0,0
-52.816107,192,15.364794,3,0.0,0,0,0,120.3328,0.0,1,0,2,0,0,0
-65.801361,84,15.581694,3,0.0,0,0,0,120.33280000000002,0.0,1,0,2,0,0,0
-49.643651,84,15.811993,3,0.0,0,0,0,114.59840000000001,0.0,1,0,2,0,0,0
-48.369113,104,16.075688,3,0.0,1,0,0,114.59840000000003,7.0,1,0,0,0,0,0
40.060608,204,16.531004,2,0.0,4,3,1,101.36000000000001,158.0,2,0,0,0,0,2
-56.007945,246,17.254924,3,0.0,0,0,0,120.33280000000002,0.0,1,0,2,0,0,0
-35.132839,132,17.600539,3,0.0,0,0,0,108.86400000000002,0.0,1,0,2,0,0,0
-45.959251,92,17.846442,3,0.0,0,0,0,114.59840000000001,0.0,1,0,0,0,0,0
-25.831172,90,18.062939,1,0.0,1,1,0,112.0,41.0,1,0,0,0,0,0
-106.219582,246,18.73276,3,0.0,0,0,0,119.39200000000001,0.0,1,0,3,0,0,0
-59.131397,102,18.973287,3,0.0,0,0,0,102.18880000000001,0.0,1,0,0,0,0,0
-61.796046,192,19.465125,3,0.0,1,0,0,107.92320000000001,7.0,1,0,3,0,0,0
-77.39778,300,20.236126,3,0.0,1,0,0,113.6576,7.0,1,0,2,0,0,0
-24.840631,76,20.414864,1,0.0,1,1,0,112.0,41.0,1,0,0,0,0,0
24.068124,224,20.958558,2,0.0,3,2,1,109.92800000000001,117.0,2,1,0,0,0,2
-63.015415,113,21.239897,3,0.0,0,0,0,102.18880000000001,0.0,1,0,0,0,0,0
-50.970875,95,21.49138,3,0.0,0,0,0,114.59840000000003,0.0,1,0,0,0,0,0
-60.97932,84,21.707453,3,0.0,0,0,0,120.33280000000002,0.0,1,0,2,0,0,0
-32.275263,226,22.334125,3,0.0,0,0,0,108.86400000000002,0.0,1,0,2,0,0,0
-46.768724,300,23.176169,3,0.0,0,0,0,120.3328,0.0,1,0,2,0,0,0
-80.401328,166,23.597404,3,0.0,0,0,0,107.92320000000002,0.0,1,0,0,0,0,0
-59.153373,84,23.814455,3,0.0,0,0,0,120.33280000000002,0.0,1,0,2,0,0,0
-64.965775,91,24.049246,3,0.0,0,0,0,102.18880000000001,0.0,1,0,0,0,0,0
31.487216,273,24.731061,2,0.0,2,3,1,172.48000000000002,144.0,2,0,0,0,0,0
100.134804,459,25.8398,3,0.0,12,5,2,103.956,310.0,3,1,2,0,1,1
-75.638133,298,26.684538,3,0.0,0,0,0,107.92320000000001,0.0,1,0,3,0,0,0
-70.424153,166,27.079269,3,0.0,3,0,0,107.92320000000002,21.0,1,0,0,0,0,0
-58.080117,147,27.455099,3,0.0,0,0,0,102.18880000000001,0.0,1,0,0,0,0,0
-52.793327,254,28.122367,3,0.0,1,0,0,102.18880000000001,7.0,1,0,0,0,0,0
-43.807463,84,28.32884,3,0.0,0,0,0,114.59840000000001,0.0,1,0,2,0,0,0
-61.923256,86,28.542115,3,0.0,0,0,0,102.18880000000001,0.0,1,0,3,0,0,0
