#{"t_start": 1788408764.8758838, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level,active_minibosses,active_boss_hazards,active_boss_defenders,active_enemy_missiles,drone_level
-84.107326,460,1.661592,1,0.0,22,0,0,112.0,154.0,2,0,0,0,0,0
-50.550366,900,3.074637,1,48.93499999999451,43,1,0,84.0,335.0,3,0,0,0,0,0
-82.167853,152,3.378739,3,0.0,2,0,0,101.6848,14.0,1,0,0,0,0,0
-92.908943,129,3.627741,6,0.0,2,0,0,107.08000000000001,14.0,1,0,3,0,0,0
-59.583124,1104,5.427896,3,0.0,48,4,2,195.85649999999998,613.0,4,1,2,1,1,1
-0.645516,900,6.835893,1,100.0,51,0,0,0.0,357.0,3,0,0,0,0,1
-86.337625,87,6.989895,6,0.0,1,0,0,107.08,7.0,1,0,0,0,0,0
-9.230548,900,8.35789,1,100.0,28,1,0,0.0,230.0,3,0,0,0,0,0
-76.220706,129,8.598892,6,0.0,3,0,0,107.08000000000001,21.0,1,0,3,0,0,0
649.408153,2650,15.235276,11,0.0,207,30,10,334.64399999999995,3354.0,10,1,0,0,0,2
188.083963,989,17.714268,6,0.0,60,12,5,209.29740000000007,1198.0,6,0,0,1,0,2
-49.069369,772,19.876123,6,0.0,41,0,0,125.06000000000002,287.0,3,0,2,0,0,0
-49.048098,953,22.486118,3,0.0,24,0,0,143.23559999999998,168.0,2,0,0,2,3,0
40.464011,879,24.766117,4,0.0,36,6,3,182.54408,770.0,5,0,0,0,0,0
150.780771,2805,32.476695,10,0.0,294,26,9,338.29220000000015,3799.0,11,0,0,0,0,3
8715.951456,8877,60.116846,47,0.0,1334,158,44,405.18440000000004,20752.0,26,0,0,0,0,12
-54.333442,178,60.581844,6,0.0,8,0,0,101.4,56.0,2,0,3,0,0,0
-127.025509,327,61.453847,6,0.0,16,0,0,121.14000000000001,112.0,2,0,2,0,0,0
676.651464,1272,64.677839,9,0.0,89,23,8,152.298,2089.0,8,0,2,0,1,4
293.304068,1273,107.855193,7,0.0,70,15,6,255.85199999999998,1543.0,7,1,0,0,0,4
-13.873351,855,110.228193,6,0.0,44,0,0,102.74199999999999,308.0,3,1,2,3,4,0
-181.92609,327,111.205191,6,0.0,14,0,0,101.4,98.0,2,0,2,0,0,0
230.540233,680,113.651128,5,0.0,28,9,4,146.1588,844.0,5,1,0,0,0,2
10.353777,871,117.173699,6,0.0,47,0,0,128.44000000000003,329.0,3,0,2,0,0,0
11841.650644,9000,154.983306,57,145.0,1364,199,56,30.47,23552.0,28,0,2,0,0,12
15164.326556,9000,190.380603,68,165.0,1314,242,67,99.4725,26232.0,29,0,0,0,0,11
60.824834,1050,193.351892,6,9.90499999999997,57,0,0,135.20000000000002,399.0,4,0,2,0,0,0
3708.718652,4526,262.026781,27,0.0,499,89,26,224.50500000000002,10022.0,18,0,2,0,0,5
602.815474,2453,268.878894,10,0.0,227,24,9,179.76999999999998,3602.0,10,0,0,0,0,4
8554.11694,8411,293.847464,46,0.0,1149,157,45,325.56,19706.0,25,0,0,0,0,11
646.371164,1899,299.125154,9,0.0,133,19,6,208.2992,2290.0,8,0,3,1,2,2
360.497818,858,301.491146,6,0.0,37,12,5,131.5813,1122.0,6,0,3,2,3,0
17741.720616,9000,328.896193,75,175.0,1273,265,74,38.934,27298.0,30,0,0,4,0,13
10.679982,120,329.179193,2,0.0,3,3,1,110.84849999999999,151.0,2,1,0,0,0,0
341.36289,742,390.622669,6,0.0,34,12,5,151.51500000000001,931.0,5,0,0,1,3,1
443.342384,1907,396.25429,7,0.0,144,14,6,213.41800000000006,2282.0,8,0,0,0,0,4
3754.352018,5173,411.385542,27,0.0,625,89,26,228.31500000000003,10479.0,18,0,2,0,1,8
1284.951068,2909,419.798527,13,0.0,269,36,12,184.00499999999997,4533.0,12,0,0,0,0,6
414.657356,1540,424.226519,7,0.0,110,15,6,135.51999999999998,2163.0,8,0,0,0,0,3
129.62934,775,426.445028,3,0.0,18,4,2,118.0384,403.0,4,1,3,0,2,0
82.740881,1050,429.490433,6,57.65999999999998,59,0,0,87.34,413.0,4,0,2,0,0,0
386.97511,1942,434.899426,7,0.0,127,13,6,135.51999999999998,2384.0,8,0,0,0,0,2
527.554019,1861,440.070913,6,70.83940000000001,89,12,5,100.16059999999999,1571.0,7,0,2,0,0,2
9937.658133,9000,501.992432,51,190.0,1250,173,48,285.98052,21016.0,26,0,2,4,0,13
14754.498243,9000,529.835504,67,130.0,1247,234,66,45.297,25548.0,29,1,0,0,0,12
458.619472,1651,534.339471,6,19.019199999999998,82,12,5,95.98080000000002,1267.0,6,0,2,0,0,0
368.137376,1522,538.715938,8,0.0,123,19,7,179.0388,2248.0,8,0,0,0,0,2
10827.017948,9000,565.143762,53,145.0,1195,187,52,195.78,21789.0,27,0,0,0,0,10
-62.725678,1653,569.816757,4,0.0,67,2,1,228.50279999999998,795.0,5,0,0,0,0,0
83.297946,1050,631.763746,6,47.399999999999984,60,0,0,67.60000000000001,505.0,4,0,2,1,3,0
368.103382,1328,635.633853,7,0.0,96,14,6,209.76,1776.0,7,0,0,0,0,4
1989.256166,2914,644.655114,18,0.0,274,52,15,264.46001,5596.0,13,1,2,2,5,4
449.260167,1144,647.896112,7,0.0,61,14,6,137.214,1446.0,7,1,0,0,0,3
1990.251885,3410,657.808091,18,0.0,320,56,17,407.4415,6365.0,14,0,3,0,0,4
60.662198,1050,660.795083,6,74.95000000000138,59,0,0,67.60000000000001,498.0,4,0,2,0,0,0
28.80394,724,662.8843,6,0.0,37,0,0,100.265,259.0,3,0,2,1,2,1
-1044.981163,1575,667.515296,5,108.72333333333631,135,5,2,69.5844,1401.0,6,0,0,0,0,1
75.965271,1050,670.506835,6,8.739999999999991,58,0,0,91.26000000000002,406.0,4,0,3,0,0,0
2545.270918,2748,678.375819,21,0.0,254,67,20,178.69176000000002,6251.0,14,1,2,0,0,5
632.1892,2213,684.749981,10,0.0,173,21,7,381.3254000000002,2981.0,9,0,0,0,0,2
375.628572,1397,688.570004,6,0.0,67,12,5,199.27180000000004,1247.0,6,0,2,0,0,0
423.929636,1138,691.663996,6,0.0,62,12,5,118.43999999999998,1382.0,6,0,2,1,2,3
11425.829831,9000,771.678299,55,165.0,1319,190,54,383.175,23215.0,28,1,0,0,0,11
376.592586,891,774.054295,6,0.0,35,12,5,136.75,938.0,5,0,2,1,1,0
1246.519435,2748,781.918784,13,0.0,210,38,12,345.62285999999995,4103.0,11,0,0,0,0,3
345.735317,1826,787.038779,6,0.0,91,8,3,161.35080000000002,1223.0,6,0,2,0,0,0
61.451588,1050,789.941773,6,32.399999999999984,56,0,0,67.60000000000001,392.0,3,0,2,0,0,0
-26.38325,277,790.701772,6,0.0,15,0,0,107.08000000000001,105.0,2,0,2,0,0,0
137.402499,1343,794.46576,4,35.43560000000663,76,6,3,154.5144,1135.0,6,0,0,0,0,1
1729.256262,2933,802.839168,16,0.0,286,47,15,350.0015,5425.0,13,0,0,0,0,4
-29.508468,475,804.107167,6,0.0,26,0,0,116.11200000000001,182.0,2,0,2,0,0,0
245.534604,1585,808.494159,7,0.0,116,10,4,327.4492,1724.0,7,0,0,0,0,0
