#{"t_start": 1788408764.8568842, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level,active_minibosses,active_boss_hazards,active_boss_defenders,active_enemy_missiles,drone_level
-135.15279,248,1.160596,1,0.0,1,0,0,112.0,7.0,1,0,0,0,0,0
-184.890041,330,1.475592,1,0.0,0,0,0,112.0,0.0,1,0,0,0,0,0
-121.035721,230,1.715591,6,0.0,0,0,0,112.75999999999999,0.0,1,0,3,0,0,0
-157.93069,365,2.068638,1,0.0,0,0,0,112.0,0.0,1,0,0,0,0,0
-191.990153,383,2.464641,3,0.0,0,0,0,101.6848,0.0,1,0,2,0,0,0
-125.205629,214,2.661641,1,0.0,0,0,0,112.0,0.0,1,0,0,0,0,0
-86.935331,129,2.795637,3,0.0,0,0,0,107.856,0.0,1,0,2,0,0,0
-123.6698,198,3.01264,6,0.0,0,0,0,112.75999999999999,0.0,1,0,0,0,0,0
-115.856274,239,3.23564,1,0.0,0,0,0,112.0,0.0,1,0,0,0,0,0
-136.648891,240,3.468739,1,0.0,0,0,0,112.0,0.0,1,0,0,0,0,0
-115.040679,167,3.652741,6,0.0,0,0,0,112.76,0.0,1,0,0,0,0,0
-96.023939,190,3.863741,6,0.0,0,0,0,107.08,0.0,1,0,0,0,0,0
-162.25688,288,4.149742,1,0.0,0,0,0,112.0,0.0,1,0,0,0,0,0
-164.450696,326,4.4589,1,0.0,0,0,0,112.0,0.0,1,0,0,0,0,0
-103.755578,217,4.6459,1,0.0,0,1,0,112.0,34.0,1,0,0,0,0,0
-196.825184,359,4.986896,1,0.0,0,0,0,126.0,0.0,1,0,0,0,0,0
-131.094731,218,5.178896,1,0.0,0,0,0,112.0,0.0,1,0,0,0,0,0
-116.390377,194,5.379895,6,0.0,0,0,0,118.43999999999998,0.0,1,0,0,0,0,0
-143.715977,351,5.709895,1,0.0,1,0,0,112.0,7.0,1,0,0,0,0,0
-116.330447,321,6.160894,1,0.0,3,0,0,112.0,21.0,1,0,0,0,0,0
-121.492806,275,6.628893,3,0.0,0,0,0,101.6848,0.0,1,0,2,0,0,0
-40.824668,538,7.485892,3,0.0,2,4,2,171.6848,206.0,3,0,2,0,0,0
-34.974896,558,8.427936,2,0.0,10,3,1,123.39949999999997,285.0,3,0,0,0,0,1
-78.330642,194,8.733892,1,0.0,1,1,0,112.0,41.0,1,0,0,0,0,0
-79.173913,108,8.931888,6,0.0,0,0,0,112.75999999999999,0.0,1,0,0,0,0,0
-88.728818,213,9.303887,3,0.0,0,0,0,101.6848,0.0,1,0,0,0,0,0
-89.896381,1012,11.029887,3,0.0,11,4,2,209.47359999999998,269.0,3,0,2,0,0,1
-66.701955,382,11.652886,2,0.0,4,3,1,113.46999999999998,158.0,2,0,0,0,0,0
-76.864755,150,11.919881,6,0.0,1,0,0,112.75999999999999,7.0,1,0,2,0,0,0
-171.092228,548,12.82028,2,0.0,1,3,1,156.45,137.0,2,0,0,0,0,0
-63.477837,544,13.713278,2,0.0,5,3,1,170.94,165.0,2,0,0,0,0,0
-64.432764,635,14.759276,3,0.0,3,4,2,159.64479999999998,213.0,3,0,2,0,0,0
-128.92549,762,16.057273,3,0.0,1,4,2,220.56719999999999,199.0,3,0,2,0,0,0
-79.689729,885,17.568268,3,0.0,5,4,2,118.73679999999999,227.0,3,0,3,0,0,0
-104.175346,940,19.192264,3,0.0,1,4,2,189.34999999999997,199.0,3,0,2,0,0,0
-87.689178,242,19.726417,3,0.0,0,0,0,113.7584,0.0,1,0,2,0,0,0
0.413517,747,21.09312,3,0.0,6,4,2,103.33792,234.0,3,1,0,0,0,0
-74.264028,850,22.577117,3,0.0,11,4,2,107.11839999999998,269.0,3,0,0,2,1,1
-103.225089,267,23.058117,3,0.0,0,0,0,113.7584,0.0,1,0,3,0,0,0
-46.376659,806,24.439118,3,0.0,4,4,2,129.8815,305.0,3,0,2,0,0,0
-116.555003,351,25.066117,3,0.0,0,0,0,107.58720000000001,0.0,1,0,2,0,0,0
-9.670313,1096,26.921209,3,0.0,16,4,2,110.0036,304.0,3,0,2,0,0,1
-66.377608,597,27.911705,2,0.0,4,3,1,114.44999999999997,158.0,2,0,0,0,0,0
