#{"t_start": 1788193894.8604448, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level,active_minibosses,active_boss_hazards,drone_level
-27.485131,319,1.293717,1,0.0,13,0,0,112.0,78.0,2,0,0,0
40.540122,900,2.461524,1,86.0,47,1,0,14.0,312.0,3,0,0,0
-66.784533,235,2.805517,3,0.0,5,0,0,107.92320000000001,30.0,1,0,2,0
-66.00147,246,3.159632,3,0.0,6,0,0,113.6576,36.0,1,0,2,0
-58.934856,100,3.302156,3,0.0,1,0,0,102.18880000000001,6.0,1,0,0,0
-78.72038,157,3.533501,3,0.0,2,0,0,107.92320000000002,12.0,1,0,0,0
-30.070567,303,3.958976,1,0.0,12,0,0,112.0,72.0,2,0,0,0
-67.368183,300,4.403815,3,0.0,8,0,0,113.65760000000002,48.0,1,0,2,0
-89.644818,246,4.775632,3,0.0,3,0,0,119.39200000000001,18.0,1,0,2,0
-70.473118,138,4.979949,3,0.0,2,0,0,126.06720000000001,12.0,1,0,3,0
-32.824132,276,5.340497,1,0.0,10,0,0,112.0,60.0,2,0,0,0
-82.22678,246,5.71793,3,0.0,5,0,0,113.65760000000002,30.0,1,0,2,0
-80.416113,192,5.993436,3,0.0,4,0,0,113.6576,24.0,1,0,3,0
-53.286739,192,6.281553,3,0.0,4,0,0,120.33280000000002,24.0,1,0,2,0
-69.490625,138,6.474061,3,0.0,3,0,0,107.92320000000001,18.0,1,0,2,0
-64.468739,192,6.747543,3,0.0,5,0,0,107.92320000000001,30.0,1,0,2,0
-27.972467,322,7.187204,1,0.0,13,0,0,112.0,78.0,2,0,0,0
-64.674445,117,7.3558,3,0.0,1,0,0,102.18880000000001,6.0,1,0,2,0
-70.8804,154,7.583335,3,0.0,2,0,0,107.92320000000002,12.0,1,0,0,0
-70.11986,217,7.905143,3,0.0,3,0,0,107.92320000000002,18.0,1,0,0,0
-50.112445,239,8.417611,3,0.0,7,0,0,107.92320000000001,42.0,1,0,2,0
502.406349,1779,12.700336,6,0.0,184,11,3,188.6832,1855.0,6,0,0,2
-15.743119,430,13.639499,3,0.0,13,0,0,166.60000000000002,153.0,2,0,0,0
388.358252,793,15.319548,5,0.0,49,13,4,128.79999999999998,1052.0,5,0,0,2
91.862049,418,16.235405,4,0.0,14,3,1,122.08000000000003,326.0,3,0,0,1
341.374724,915,18.205463,6,0.0,67,11,3,185.9424,928.0,5,0,0,0
-36.545696,249,18.740484,3,0.0,7,0,0,107.92320000000001,42.0,1,0,2,0
240.202733,683,20.244054,4,0.0,41,7,3,143.58400000000003,727.0,4,0,0,0
