#{"t_start": 1788161301.3493505, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level,active_minibosses,active_boss_hazards,drone_level
-38.540479,123,2.763236,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.299914,150,3.332939,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.218279,151,3.891139,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.233253,154,4.453918,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.588645,117,4.705992,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.98549,117,4.880029,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-25.089797,273,5.340546,1,0.0,1,1,0,112.0,43.0,1,0,0,0
-37.112713,88,5.472932,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.568825,137,5.682812,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-39.866615,180,5.972571,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-24.80157,98,6.115371,1,0.0,0,1,0,112.0,35.0,1,0,0,0
-38.32775,121,6.303872,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.328603,155,6.898304,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.998789,144,7.424494,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.619024,160,8.031092,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.991808,119,8.461486,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.985443,188,9.211105,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-35.395362,144,9.714565,1,0.0,2,0,0,112.0,16.0,1,0,0,0
-38.930511,160,10.344503,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-40.135808,190,11.091731,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.302976,173,11.76908,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.971277,132,12.27826,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.730354,172,12.937906,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.134337,114,13.353208,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.317527,120,13.791442,1,0.0,2,0,0,112.0,16.0,1,0,0,0
-38.93314,96,14.135638,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.906295,148,14.709823,1,0.0,1,0,0,112.0,8.0,1,0,0,0
-39.413939,142,15.248371,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.512622,129,15.735706,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-37.982893,88,16.064619,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-39.691788,196,16.830309,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.167125,72,17.08551,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-40.093072,177,17.757921,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-38.688752,153,18.343066,1,0.0,0,0,0,112.0,0.0,1,0,0,0
-36.830742,82,18.620949,1,0.0,1,0,0,112.0,8.0,1,0,0,0
107.262436,473,21.529721,3,0.0,11,5,2,102.784,313.0,3,0,0,3
39.222026,182,22.610334,2,0.0,3,3,1,108.808,154.0,2,1,0,0
95.482809,287,24.295533,3,0.0,2,5,2,149.48800000000003,241.0,3,0,0,0
104.237663,315,26.190419,3,0.0,7,5,2,174.24000000000004,281.0,3,0,0,1
38.216687,196,27.324493,2,0.0,2,3,1,101.36000000000001,146.0,2,0,0,0
121.227354,395,29.759848,3,0.0,7,5,2,115.69600000000003,281.0,3,1,2,1
26.544181,182,30.829071,2,0.0,3,2,1,108.808,119.0,2,1,0,1
46.06796,223,32.10481,2,0.0,4,3,1,100.80000000000001,162.0,2,0,0,0
57.341674,218,33.363807,2,0.0,4,4,1,100.80000000000001,197.0,2,0,0,2
97.538352,457,36.339978,3,0.0,3,5,2,157.13600000000002,249.0,3,0,0,0
39.428372,174,37.337472,2,0.0,2,3,1,103.376,146.0,2,1,0,0
113.766314,410,39.791589,3,0.0,12,5,2,174.76800000000003,321.0,3,0,2,1
110.485177,451,42.613698,3,0.0,8,5,2,103.64800000000001,289.0,3,0,3,2
57.019161,247,44.176827,2,0.0,8,4,1,153.048,229.0,3,1,0,1
55.881918,237,45.59707,2,0.0,6,4,1,129.36,213.0,3,0,0,1
50.925115,216,46.894097,2,0.0,0,4,1,105.728,165.0,2,1,0,0
24.718075,204,48.109383,2,0.0,2,2,1,114.24000000000001,111.0,2,0,0,0
104.929706,386,50.477185,3,0.0,4,5,2,101.60960000000001,257.0,3,0,0,0
51.148717,273,52.086369,2,0.0,3,4,1,170.24,189.0,2,0,0,0
39.416115,281,53.761893,2,0.0,3,3,1,114.80000000000001,154.0,2,0,0,0
124.125105,421,56.277643,3,0.0,13,5,2,105.80800000000002,329.0,3,0,2,1
99.832711,370,58.525732,3,0.0,5,5,2,170.65600000000003,265.0,3,0,2,0
107.546629,386,60.832108,3,0.0,5,5,2,101.13600000000002,265.0,3,0,0,0
116.877921,485,63.846423,3,0.0,16,5,2,109.95200000000001,353.0,3,0,3,1
55.782226,223,65.16926,2,0.0,1,4,1,101.36000000000001,173.0,2,0,0,0
91.945937,385,67.720948,3,0.0,1,5,2,169.9584,233.0,3,0,0,0
361.341332,636,71.745416,5,0.0,30,14,4,175.80800000000002,980.0,5,0,0,3
