#{"t_start": 1788415372.9427743, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level,active_minibosses,active_boss_hazards,active_boss_defenders,active_enemy_missiles,drone_level
-86.841012,129,1.594997,6,0.0,0,0,0,101.4,0.0,1,0,2,3,6,0
-69.103588,900,2.962994,3,0.0,35,4,2,111.57159999999999,437.0,4,1,2,0,0,0
-13.044216,900,4.238996,1,72.0,27,1,0,28.0,223.0,3,0,0,0,0,0
-78.09463,900,5.609991,1,120.0,25,1,0,0.0,209.0,3,0,0,0,0,0
-91.010168,82,5.80299,6,0.0,1,0,0,107.08,7.0,1,0,2,0,0,0
-81.181105,900,7.27799,1,100.0,47,1,0,0.0,363.0,3,0,0,0,0,0
-112.056249,900,8.695984,1,100.0,36,1,0,0.0,286.0,3,0,0,0,0,0
-109.969789,217,9.536986,3,0.0,0,0,0,106.6068,0.0,1,0,0,2,3,0
220.80726,1992,15.028971,7,0.0,144,14,6,171.1684,2282.0,8,0,0,0,0,4
6784.306488,9000,40.317924,38,106.41,1223,127,35,221.64300000000003,17894.0,24,0,0,0,0,10
17631.046984,9000,67.596873,75,160.0,1185,265,74,121.693,26937.0,30,0,2,0,1,12
12439.82231,9000,150.588701,60,145.0,1201,210,59,25.85,23014.0,27,0,2,0,0,12
476.429888,2031,156.080686,7,0.0,138,14,6,217.4954,2410.0,8,0,0,0,0,4
-86.779321,164,156.934687,6,0.0,0,0,0,103.39999999999999,0.0,1,0,2,3,4,0
753.881057,1552,161.049676,9,0.0,84,23,8,120.9344,2394.0,8,1,3,0,1,3
13219.75774,9000,188.968621,62,205.0,1367,218,61,155.58220000000003,25074.0,29,0,0,0,0,13
764.549575,1984,195.369614,9,0.0,119,23,8,227.36000000000007,2469.0,9,0,3,1,1,1
338.37637,728,197.400608,6,0.0,29,12,5,140.8684,1066.0,6,1,2,0,0,4
474.091738,1483,279.15445,7,0.0,91,14,6,207.15519999999998,1996.0,8,0,0,0,0,2
-83.286219,306,280.588447,3,0.0,1,0,0,105.92999999999999,7.0,1,0,0,1,2,0
778.364478,1726,285.889437,9,0.0,96,23,8,123.33599999999998,2308.0,8,0,3,2,3,1
2688.554616,4781,300.018411,20,0.0,497,62,19,240.20940000000002,8179.0,16,0,0,0,0,5
1077.656616,2073,306.6254,12,0.0,154,30,9,176.3064,3295.0,10,1,3,3,9,0
870.391295,2181,313.074387,9,0.0,126,23,8,128.07399999999998,2688.0,9,0,3,0,1,1
-86.20739,233,314.376383,6,0.0,0,0,0,103.39999999999999,0.0,1,0,0,3,5,0
506.508299,1571,318.506379,7,0.0,78,13,6,118.57999999999998,1786.0,7,0,0,0,0,2
385.990643,1118,321.539371,6,0.0,49,12,5,146.99,1206.0,6,0,2,0,0,5
394.793988,1155,324.746364,6,0.0,44,12,5,142.41,1171.0,6,0,0,0,1,1
374.077386,1114,327.955359,6,0.0,41,12,5,150.87120000000002,1150.0,6,0,3,1,2,2
3393.790307,4917,343.19133,24,0.0,547,78,23,235.46000000000004,9670.0,17,0,2,0,0,8
321.219699,1672,348.235322,7,0.0,115,10,4,206.8168,1802.0,7,0,0,0,0,3
356.925364,1312,464.191567,6,0.0,52,12,5,166.91120000000004,1142.0,6,0,0,1,1,3
5.8984,1062,467.493561,3,0.0,30,0,0,141.31508,295.0,3,0,0,2,2,0
178.030155,1016,470.386556,5,0.0,53,8,4,120.49800000000002,985.0,5,1,0,0,0,3
816.339614,2091,476.617544,10,0.0,170,25,9,239.575,3407.0,10,0,0,0,0,2
-68.046073,122,477.113543,6,0.0,3,0,0,111.35,21.0,1,1,2,0,0,0
1009.610376,3067,485.817532,10,0.0,185,26,9,202.4392,3291.0,10,0,0,0,0,3
644.89934,1798,491.000532,8,0.0,125,20,7,161.68040000000002,2296.0,8,0,0,0,0,3
3595.160713,5008,506.705504,26,0.0,618,85,25,249.3135,10606.0,18,0,0,0,0,9
13323.433972,9000,537.183448,62,190.0,1348,218,61,440.99469999999985,24346.0,28,0,0,0,0,12
827.726684,1739,542.802433,9,0.0,105,23,8,124.0272,2626.0,9,0,0,1,1,3
15283.486696,9000,649.195095,69,180.0,1184,239,66,125.815,25532.0,29,1,2,2,0,13
331.714301,1540,653.862089,6,0.0,42,12,5,168.279,1072.0,6,1,0,2,4,1
75.980165,1050,656.562084,6,66.19999999999999,58,0,0,33.800000000000004,406.0,4,0,2,0,0,0
73.43758,484,657.784081,3,0.0,12,4,2,103.31519999999999,276.0,3,0,0,1,2,0
263.730075,1013,660.444076,5,0.0,43,10,4,127.68000000000004,1068.0,6,0,0,0,0,3
365.617295,1761,665.325063,7,0.0,138,11,4,169.1114,1912.0,8,0,0,0,0,1
304.188802,2308,671.896051,7,0.0,155,14,6,227.54749999999993,2274.0,8,0,0,0,0,1
1144.626469,2388,678.952041,12,0.0,175,34,11,325.058,3549.0,10,0,3,0,1,5
14669.156294,9000,803.284902,66,145.0,1186,232,65,108.3024,24370.0,28,0,2,4,0,12
457.981581,2247,809.394893,7,0.0,171,14,6,152.45999999999998,2386.0,8,1,0,0,0,3
14866.027194,9000,835.804689,66,145.0,1266,232,65,71.44550000000001,24845.0,29,0,3,0,0,15
1062.942235,2143,842.11168,12,0.0,123,34,11,256.99339999999995,3355.0,10,0,2,0,1,4
128.449027,1050,844.986676,6,66.19999999999999,57,0,0,33.800000000000004,399.0,4,0,2,0,0,0
-77.564095,192,845.868671,6,0.0,1,0,0,111.35000000000001,7.0,1,0,0,2,3,0
1386.3463,3295,855.201653,14,0.0,268,37,11,253.50520000000006,4872.0,12,0,0,0,0,5
1109.657922,2105,861.259642,12,0.0,142,34,11,275.97180000000003,3403.0,10,0,3,0,2,3
2415.380279,3496,936.620984,21,0.0,335,63,18,294.48800000000006,6881.0,15,1,2,2,6,5
-74.969442,466,938.20798,6,0.0,14,0,0,169.63700000000003,183.0,2,1,3,0,0,0
801.596033,2469,945.143965,10,0.0,185,21,7,310.5212000000001,3235.0,10,0,0,0,0,2
58.419689,526,946.893746,3,0.0,7,4,2,106.60679999999999,241.0,3,0,0,2,2,0
-67.041101,203,947.74474,6,0.0,2,0,0,103.39999999999999,14.0,1,0,0,1,1,0
-67.593885,280,948.89974,6,0.0,2,0,0,111.35,14.0,1,0,2,1,2,0
13302.561633,9000,973.760695,61,145.0,1223,215,60,53.24,23851.0,28,0,0,0,0,12
704.776846,1179,977.078684,9,0.0,70,23,8,170.3712,2041.0,8,1,2,2,4,3
1577.875061,2233,983.225677,15,0.0,170,45,14,192.359,4372.0,11,0,3,1,3,2
466.553779,1495,987.439665,7,0.0,97,14,6,138.32,1868.0,7,0,0,0,0,2
42.442747,723,989.345663,6,0.0,39,0,0,101.4,273.0,3,1,2,3,0,0
11005.407574,9000,1073.783094,54,145.0,1243,188,53,215.302,22442.0,27,0,2,0,1,11
