#{"t_start": 1787898180.8071544, "env_id": "None"}
r,l,t,phase,player_health
-16.883,717,1.954394,1,0.0
-25.054,546,2.462458,1,0.0
-24.994,606,3.049278,1,0.0
-25.106,494,3.530611,1,0.0
-23.097,503,4.007523,1,0.0
-24.815,785,4.834553,1,0.0
-24.788,812,5.693063,1,0.0
-25.148,452,6.149251,1,0.0
-25.15,450,7.612421,1,0.0
-25.115,485,9.321184,1,0.0
-25.136,464,10.950732,1,0.0
-24.625,975,13.129859,1,0.0
-25.062,538,13.569381,1,0.0
-24.808,792,14.15627,1,0.0
-25.115,485,14.469914,1,0.0
-25.153,447,14.758706,1,0.0
-16.965,635,15.196148,1,0.0
-25.225,375,15.487996,1,0.0
-23.125,475,15.785178,1,0.0
-24.874,726,16.359492,1,0.0
-24.691,909,17.043406,1,0.0
-25.067,533,17.389496,1,0.0
-24.959,641,17.881369,1,0.0
-17.26,340,18.103702,1,0.0
-17.184,416,18.399714,1,0.0
-24.824,776,18.982341,1,0.0
-25.089,511,19.334511,1,0.0
-25.159,441,19.677919,1,0.0
-25.099,501,20.0598,1,0.0
-24.994,606,20.590752,1,0.0
-24.922,678,21.091871,1,0.0
-24.951,649,21.533614,1,0.0
-24.8,800,22.133628,1,0.0
-24.916,684,22.637054,1,0.0
-24.904,696,23.144931,1,0.0
-25.19,410,23.457192,1,0.0
-25.026,574,23.960865,1,0.0
-25.013,587,24.422857,1,0.0
-24.981,619,24.883738,1,0.0
-25.102,498,25.255178,1,0.0
-25.022,578,25.733795,1,0.0
-23.149,451,26.05461,1,0.0
-25.214,386,26.908561,1,0.0
-25.032,568,27.438942,1,0.0
-24.955,645,27.979765,1,0.0
-17.136,464,28.29682,1,0.0
-25.183,417,28.569699,1,0.0
-24.799,801,29.227171,1,0.0
-25.032,568,29.676832,1,0.0
-17.153,447,30.012391,1,0.0
-24.886,714,30.567887,1,0.0
-24.876,724,31.103338,1,0.0
-25.212,388,31.410387,1,0.0
-17.136,464,31.863998,1,0.0
-25.114,486,32.275892,1,0.0
-21.024,576,32.711349,1,0.0
-25.116,484,33.086904,1,0.0
-24.962,638,33.631091,1,0.0
-22.956,644,34.131882,1,0.0
-22.968,632,34.605402,1,0.0
-24.752,848,35.276736,1,0.0
-24.746,854,36.051992,1,0.0
-25.127,473,36.454176,1,0.0
-25.156,444,36.794958,1,0.0
-25.217,383,37.130912,1,0.0
-25.089,511,37.559381,1,0.0
-22.943,657,38.089723,1,0.0
-20.791,809,38.736747,1,0.0
-20.906,694,39.335871,1,0.0
-25.087,513,39.761976,1,0.0
-25.181,419,40.076585,1,0.0
-23.199,401,40.40561,1,0.0
-23.175,425,40.729467,1,0.0
-23.059,541,41.166401,1,0.0
-23.186,414,41.493292,1,0.0
-24.854,746,42.100097,1,0.0
-24.876,724,42.692739,1,0.0
-23.103,497,43.100096,1,0.0
-25.136,464,43.484625,1,0.0
-25.234,366,43.814807,1,0.0
-24.974,626,44.379556,1,0.0
-24.729,871,45.182719,1,0.0
-22.937,663,45.782994,1,0.0
-25.134,466,46.148012,1,0.0
-25.224,376,46.439137,1,0.0
-25.099,501,46.803939,1,0.0
-17.079,521,47.196939,1,0.0
-23.055,545,48.288942,1,0.0
-25.304,996,49.196267,1,0.0
-24.777,823,49.887485,1,0.0
-16.607,993,50.731447,1,0.0
-21.114,486,51.123842,1,0.0
-25.125,475,51.493764,1,0.0
-12.812,788,52.160305,1,0.0
-17.174,426,52.513122,1,0.0
-20.932,668,53.097423,1,0.0
-21.035,565,53.594171,1,0.0
-24.75,850,54.270268,1,0.0
-23.225,375,54.585474,1,0.0
-17.224,376,54.872857,1,0.0
-24.651,949,55.638075,1,0.0
-22.979,621,56.150954,1,0.0
-23.115,485,56.501718,1,0.0
-16.813,787,57.135086,1,0.0
-25.117,483,57.557065,1,0.0
-16.654,946,58.38281,1,0.0
-22.812,788,59.058831,1,0.0
-25.164,436,59.380087,1,0.0
-17.12,480,59.778621,1,0.0
-21.007,593,60.258043,1,0.0
-25.081,519,60.742203,1,0.0
-14.92,680,61.300941,1,0.0
-14.936,664,61.830583,1,0.0
-24.911,689,62.413951,1,0.0
-21.072,528,62.80516,1,0.0
-25.218,382,63.096652,1,0.0
-22.88,720,63.673291,1,0.0
-24.339,1261,64.763554,1,0.0
-25.112,488,65.208066,1,0.0
-25.025,575,65.741528,1,0.0
-23.049,551,66.215474,1,0.0
-17.219,381,66.499767,1,0.0
-17.117,483,66.881825,1,0.0
-25.2,400,67.243081,1,0.0
-25.15,450,67.641806,1,0.0
-22.847,753,68.372069,1,0.0
-24.848,752,70.096296,1,0.0
-14.722,878,70.771261,1,0.0
-25.107,493,71.158734,1,0.0
-20.782,818,71.830737,1,0.0
-25.043,557,72.26869,1,0.0
-24.731,869,73.01216,1,0.0
-24.795,805,73.715183,1,0.0
-24.949,651,74.300661,1,0.0
-24.94,660,74.88508,1,0.0
-22.945,655,75.483224,1,0.0
-25.03,570,75.896095,1,0.0
-25.078,522,76.346355,1,0.0
-25.099,501,76.790697,1,0.0
-25.114,486,77.188227,1,0.0
-22.88,720,77.84496,1,0.0
-25.044,556,78.298823,1,0.0
-23.015,585,78.797954,1,0.0
-14.861,739,79.366827,1,0.0
-24.74,860,80.122622,1,0.0
-20.977,623,80.635011,1,0.0
-25.164,436,81.007114,1,0.0
-25.184,416,81.366971,1,0.0
-25.049,551,81.836594,1,0.0
-24.992,608,82.33065,1,0.0
-25.111,489,82.70305,1,0.0
-14.597,1003,83.674196,1,0.0
-24.939,661,84.265356,1,0.0
-16.824,776,85.006007,1,0.0
-25.181,419,85.409764,1,0.0
-25.142,458,85.777987,1,0.0
-25.073,527,86.200584,1,0.0
-22.581,1019,87.119129,1,0.0
-16.651,949,87.969193,1,0.0
-22.99,610,88.485316,1,0.0
-14.973,627,89.081653,1,0.0
-25.089,511,89.524767,1,0.0
-24.558,1042,90.452846,1,0.0
-25.183,417,90.812551,1,0.0
