#{"t_start": 1787899923.056016, "env_id": "None"}
r,l,t,phase,player_health
-32.100202,820,1.242021,1,0.0
-29.139605,552,1.312019,1,0.0
-28.337019,433,1.382012,1,0.0
-28.334359,483,1.466012,1,0.0
-28.41282,477,1.596133,1,0.0
-29.845551,447,1.655886,1,0.0
-29.449873,571,1.729156,1,0.0
-31.889781,871,1.922732,1,0.0
-30.07582,598,2.025297,1,0.0
-27.75617,437,2.077631,1,0.0
-29.551472,512,2.161631,1,0.0
-30.526349,943,2.373604,1,0.0
-32.6974,1085,2.577971,1,0.0
-31.315696,824,2.754794,1,0.0
-31.33926,731,2.84738,1,0.0
-29.196389,548,3.226927,1,0.0
-19.832764,1190,4.350147,1,0.0
-23.846219,543,4.994035,1,0.0
-31.993121,782,5.73083,1,0.0
-32.347332,818,6.493221,1,0.0
-29.229857,511,7.006242,1,0.0
-32.94149,1182,8.20237,1,0.0
-34.434154,1140,9.477257,1,0.0
-28.11694,446,9.991886,1,0.0
-30.416283,747,10.726684,1,0.0
-29.387735,525,11.226439,1,0.0
-27.100521,900,12.153372,1,0.0
-30.002661,888,13.064058,1,0.0
-21.30625,1090,14.152118,1,0.0
-30.833197,576,14.802073,1,0.0
-28.408197,469,15.30741,1,0.0
-30.366589,582,15.828797,1,0.0
-29.559263,1027,16.887699,1,0.0
-30.342871,634,17.498169,1,0.0
-30.116847,568,18.069808,1,0.0
-30.027291,776,18.819636,1,0.0
-28.208094,493,19.385274,1,0.0
-30.066183,657,20.175742,1,0.0
-29.000346,472,20.664147,1,0.0
-32.194481,856,21.574307,1,0.0
-30.185876,842,22.499081,1,0.0
-32.225417,855,23.438071,1,0.0
-19.683523,699,24.210306,1,0.0
-31.199598,681,24.869125,1,0.0
-23.221045,815,25.763783,1,0.0
-20.738307,1067,26.870692,1,0.0
8.192036,1176,28.181817,2,0.0
-18.699515,680,28.834807,1,0.0
-21.520585,986,29.838898,1,0.0
-30.085592,879,30.789808,1,0.0
-28.436619,443,31.241299,1,0.0
-28.162898,656,31.888401,1,0.0
-30.042305,647,32.545825,1,0.0
-31.180988,767,33.284456,1,0.0
-31.021231,886,34.299,1,0.0
-19.949258,1048,35.34305,1,0.0
-14.794015,475,35.840204,1,0.0
-23.923087,565,36.387925,1,0.0
-30.563435,533,36.967571,1,0.0
-33.786081,829,37.822137,1,0.0
-29.973124,574,38.395463,1,0.0
-28.092365,495,38.902415,1,0.0
-13.521222,1392,40.301464,1,0.0
-20.1329,1137,41.486378,1,0.0
-19.903782,942,42.520174,1,0.0
-27.947363,563,43.105806,1,0.0
-19.798967,958,44.267236,1,0.0
-28.902797,438,47.253642,1,0.0
-28.965977,743,48.094531,1,0.0
-21.060138,570,48.679099,1,0.0
-14.73593,722,49.487761,1,0.0
-18.155735,462,50.031277,1,0.0
-24.061946,593,50.670613,1,0.0
-31.926685,1117,51.915968,1,0.0
-19.453619,591,52.4573,1,0.0
-29.668296,1068,53.450321,1,0.0
-22.516951,614,54.117072,1,0.0
-19.977754,581,54.666763,1,0.0
-21.764711,761,55.494606,1,0.0
-8.924661,818,56.302212,1,0.0
-17.130928,1329,57.782669,1,0.0
-12.626552,1114,58.949966,1,0.0
-11.46103,516,59.443385,1,0.0
25.174201,1124,60.605247,2,0.0
-14.181581,570,61.148005,1,0.0
-15.816752,880,62.125022,1,0.0
-31.745906,875,63.113649,1,0.0
9.942156,576,63.722274,2,0.0
-16.24191,496,64.178279,1,0.0
-26.21067,468,64.631262,1,0.0
-20.258814,1018,65.736041,1,0.0
5.812899,664,66.43733,2,0.0
-9.511103,961,67.449034,1,0.0
-24.030138,461,67.932778,1,0.0
-11.538777,1380,69.430271,1,0.0
-5.759816,963,70.436513,1,0.0
-16.096467,1078,71.550955,1,0.0
-10.65384,1290,73.034909,1,0.0
-28.302426,425,73.502542,1,0.0
-17.447435,582,74.176672,1,0.0
-8.824776,605,74.783878,1,0.0
-12.674927,694,75.490897,1,0.0
-14.318116,855,76.427577,1,0.0
14.440157,912,77.415517,2,0.0
-23.987036,874,78.375819,1,0.0
-16.262462,584,79.049809,1,0.0
14.669327,465,79.580153,2,0.0
21.845226,1215,80.784949,2,0.0
-11.311017,682,81.522433,1,0.0
-14.034786,777,82.368228,1,0.0
-19.219614,678,83.055456,1,0.0
9.395178,622,83.651159,2,0.0
-24.089934,1024,84.760681,1,0.0
50.210028,1092,86.399573,2,0.0
-22.48473,687,87.319366,1,0.0
-20.543801,659,88.148951,1,0.0
-12.430536,935,89.145022,1,0.0
