#{"t_start": 1787938218.3579757, "env_id": "None"}
r,l,t,phase,player_health
-68.914842,632,2.040104,2,0.0
-70.641252,433,2.380643,3,0.0
-63.970024,601,2.833847,2,0.0
-71.586908,566,3.297363,2,0.0
-48.806387,349,3.537555,3,0.0
-73.920272,463,3.920656,3,0.0
-68.72478,406,4.216217,2,0.0
-65.448276,384,4.497698,1,0.0
-64.33013,374,4.867399,2,0.0
-66.795496,420,5.224264,3,0.0
-63.602654,505,5.577649,3,0.0
-59.214705,467,5.878457,1,0.0
-69.597269,500,6.313344,3,0.0
-64.682544,496,6.668398,2,0.0
-72.137037,613,7.05074,1,0.0
-62.48147,412,7.323558,2,0.0
-57.305024,363,7.55364,2,0.0
-70.425547,528,8.018559,1,0.0
-81.157145,530,8.381461,1,0.0
-87.976662,681,8.971205,3,0.0
-37.704694,627,9.89851,2,0.0
36.655267,1257,12.35259,3,0.0
-1.085943,857,14.114731,3,0.0
-22.558778,418,15.028083,3,0.0
33.443185,971,17.089721,3,0.0
-33.467912,521,18.175104,3,0.0
-32.893394,390,18.955173,3,0.0
-5.672924,833,32.975454,3,0.0
-12.128242,830,34.512939,3,0.0
-11.480695,589,35.765253,3,0.0
-25.902235,420,36.648942,2,0.0
21.812532,1030,38.816164,3,0.0
28.247656,1309,41.071158,3,0.0
-31.589748,388,41.871928,3,0.0
-9.187796,1254,44.273116,2,0.0
-31.233912,456,45.218517,2,0.0
-16.937532,570,46.45197,2,0.0
-35.419834,805,48.067249,2,0.0
36.488384,1081,50.182617,3,0.0
17.230467,1009,52.166402,3,0.0
19.61413,968,53.973744,3,0.0
-37.725918,815,55.692675,3,0.0
21.59795,787,57.048216,2,0.0
40.318389,1069,59.203229,3,0.0
-50.344486,318,59.90311,3,0.0
32.408424,877,74.396535,3,0.0
-34.934722,473,75.421465,3,0.0
10.837258,416,76.354634,2,0.0
-38.090715,417,77.312476,2,0.0
12.895988,792,78.737673,2,0.0
-25.683595,702,80.239136,3,0.0
-47.602628,439,81.253238,3,0.0
-1.587779,821,82.91566,3,0.0
-43.411711,561,84.152993,2,0.0
21.390828,909,85.802493,3,0.0
-39.237453,381,86.528764,3,0.0
-16.183744,587,87.819314,3,0.0
-6.7942,872,89.899583,4,0.0
-8.603144,736,91.230774,3,0.0
-1.029427,550,92.435409,3,0.0
42.763547,1014,94.677355,3,0.0
11.659913,1025,97.300062,2,0.0
-1.770738,524,98.734253,3,0.0
-35.571266,322,99.611811,2,0.0
-4.082592,720,101.424893,3,0.0
34.86822,1055,104.150449,3,0.0
-41.407925,477,105.335276,2,0.0
-37.961376,521,106.699391,3,0.0
-35.815128,590,124.369127,2,0.0
45.755525,1160,127.298831,3,0.0
-8.545013,534,128.520401,3,0.0
-41.288814,487,129.688025,3,0.0
-31.229118,1491,132.884904,2,0.0
-43.439399,392,133.915223,3,0.0
-8.52493,622,135.48456,2,0.0
-2.003972,1123,138.044527,2,0.0
23.105888,996,140.536447,3,0.0
-36.617469,397,141.670429,3,0.0
4.464875,870,143.708872,2,0.0
12.799424,746,145.162999,2,0.0
-33.134954,570,146.587948,2,0.0
-9.668464,692,148.16769,2,0.0
-30.49577,399,149.341225,3,0.0
4.019463,1123,152.024832,2,0.0
25.341122,1104,154.526396,3,0.0
-1.563455,717,155.911156,2,0.0
-47.441036,395,156.905987,3,0.0
-23.917748,328,157.770035,3,0.0
-2.041403,752,159.581992,2,0.0
-8.024719,744,173.312196,3,0.0
