#{"t_start": 1787918234.8558278, "env_id": "None"}
r,l,t,phase,player_health
-33.804495,820,1.773997,1,0.0
-30.370255,552,1.89507,1,0.0
-29.724657,433,1.996411,1,0.0
-29.611633,483,2.163041,1,0.0
-29.666091,477,2.303582,1,0.0
-31.094119,447,2.412946,1,0.0
-30.623504,571,2.542295,1,0.0
-33.627873,871,2.810692,1,0.0
-31.505027,598,2.943623,1,0.0
-29.183114,437,3.038653,1,0.0
-30.948706,512,3.168133,1,0.0
-32.532336,943,3.43938,1,0.0
-34.362001,1085,3.781902,1,0.0
-32.799552,824,4.010271,1,0.0
-32.922023,731,4.203058,1,0.0
-30.415914,554,4.797374,1,0.0
-21.064609,918,6.108258,1,0.0
-21.058803,869,7.215742,1,0.0
-31.732718,729,8.190657,1,0.0
-31.847387,668,8.975291,1,0.0
-19.875046,519,9.653053,1,0.0
-32.381875,588,10.389665,1,0.0
-33.203341,732,11.336091,1,0.0
-35.66789,1157,13.0042,1,0.0
-30.600441,446,13.557684,1,0.0
-32.140152,722,14.501055,1,0.0
-28.94006,1312,16.31113,1,0.0
-32.26617,685,17.307496,1,0.0
-17.553973,976,18.5816,1,0.0
-31.860569,811,19.703376,1,0.0
-30.133298,552,20.478514,1,0.0
-25.803328,624,21.516842,1,0.0
-30.822284,451,22.24056,1,0.0
-31.371443,619,23.134839,1,0.0
-31.783868,729,24.176354,1,0.0
-20.566218,623,25.13281,1,0.0
-32.625186,753,26.171108,1,0.0
-31.89098,685,27.097887,1,0.0
-32.220874,860,28.341359,1,0.0
-28.043681,439,28.956084,1,0.0
-30.131338,594,29.756021,1,0.0
-34.993874,1095,31.293984,1,0.0
-22.312273,867,32.585076,1,0.0
-21.90116,960,33.94104,1,0.0
-32.367814,687,34.797735,1,0.0
-29.778094,443,35.378374,1,0.0
-19.754848,619,36.167345,1,0.0
-30.341439,451,36.799245,1,0.0
-21.636977,1018,38.113737,1,0.0
-30.747162,499,38.829649,1,0.0
-19.723359,811,39.886593,1,0.0
-31.473796,597,40.655556,1,0.0
-29.919071,469,41.318748,1,0.0
-32.031391,554,42.066493,1,0.0
-30.780964,576,42.83056,1,0.0
-32.596012,721,43.751156,1,0.0
-32.103826,584,44.527481,1,0.0
-33.760686,658,45.435441,1,0.0
-30.62165,490,46.046659,1,0.0
8.199397,423,46.614259,2,0.0
-29.701645,471,47.357606,1,0.0
-31.162032,591,48.295801,1,0.0
-19.698174,899,49.775221,1,0.0
-23.840558,1123,51.60969,1,0.0
-30.787421,559,52.39632,1,0.0
-30.668274,560,53.333625,1,0.0
-32.304007,1072,55.044091,1,0.0
-29.944661,663,55.927741,1,0.0
-30.707742,647,56.859104,1,0.0
-24.565203,1113,58.820109,1,0.0
-25.627386,596,59.966032,1,0.0
-28.173677,451,60.711019,1,0.0
-30.582944,572,65.406593,1,0.0
-28.502348,687,66.207793,1,0.0
-24.210761,1171,67.777199,1,0.0
-30.124553,531,68.529941,1,0.0
-16.062942,505,69.273662,1,0.0
-18.31171,460,70.001884,1,0.0
-37.502809,937,71.391155,1,0.0
-11.268258,774,72.526419,1,0.0
-30.401865,497,73.179236,1,0.0
14.81133,710,74.213569,2,0.0
-29.467756,536,74.905175,1,0.0
-19.810759,907,76.07834,1,0.0
-20.686035,778,77.144374,1,0.0
-28.56751,432,77.776339,1,0.0
-29.282615,557,78.511146,1,0.0
-24.458776,737,79.439505,1,0.0
-15.689978,444,80.021232,1,0.0
-21.03389,925,81.129268,1,0.0
-28.938473,471,81.806454,1,0.0
-31.727569,619,82.628023,1,0.0
-32.616026,775,83.769854,1,0.0
-18.020764,1205,85.727648,1,0.0
-28.233265,527,86.471548,1,0.0
-17.006422,801,87.574381,1,0.0
-30.225993,686,88.488621,1,0.0
-30.102338,868,89.78122,1,0.0
-18.264468,470,90.472519,1,0.0
-11.501636,982,91.761853,1,0.0
-21.155159,686,92.627076,1,0.0
-27.522044,499,93.409822,1,0.0
-31.196382,798,94.554326,1,0.0
-27.35492,897,96.034616,1,0.0
-17.058928,612,96.889088,1,0.0
8.804641,936,98.308984,2,0.0
-29.66746,603,99.248031,1,0.0
-17.784706,1039,100.719482,1,0.0
-13.658681,535,101.616271,1,0.0
-17.342879,510,102.432538,1,0.0
-26.655462,756,103.662238,1,0.0
