#{"t_start": 1787920717.7601001, "env_id": "None"}
r,l,t,phase,player_health
-34.973962,976,2.385768,1,0.0
-46.090107,561,2.749842,1,0.0
-51.236333,873,3.45749,1,0.0
-46.747183,585,4.150137,1,0.0
-34.354095,605,4.660012,1,0.0
-53.67773,858,5.701447,1,0.0
-51.508564,753,6.646547,1,0.0
-46.336597,443,7.08716,1,0.0
-48.519833,809,7.975512,1,0.0
-47.440167,647,8.807543,1,0.0
-39.219916,502,9.434811,1,0.0
-42.486828,520,10.007849,1,0.0
-35.581638,648,10.691826,1,0.0
-47.543794,552,11.288092,1,0.0
-48.590023,622,11.933607,1,0.0
16.006029,905,14.890815,2,0.0
-23.705132,730,17.249297,1,0.0
-16.426871,642,19.29863,1,0.0
0.793737,767,21.783115,2,0.0
53.375127,1130,25.47188,3,0.0
19.106156,704,27.799312,2,0.0
35.517501,919,30.786068,2,0.0
24.573104,1115,34.448973,2,0.0
1.552415,606,36.423755,2,0.0
-23.937559,647,38.562099,1,0.0
-28.653528,479,40.124323,1,0.0
13.42537,836,42.716928,2,0.0
4.46404,555,44.459913,2,0.0
-5.113331,672,46.676264,2,0.0
2.051,841,49.466431,2,0.0
-24.839202,617,51.498233,1,0.0
3.479973,984,54.740435,2,0.0
15.370555,729,57.254315,2,0.0
7.381584,1046,60.746586,2,0.0
22.423868,711,74.967854,2,0.0
-33.530965,1012,78.297019,1,0.0
-19.794267,550,80.076792,1,0.0
22.227744,851,82.808401,2,0.0
-23.650681,439,84.246882,1,0.0
-21.273934,499,85.818253,1,0.0
-6.474272,887,88.661318,2,0.0
8.844689,881,91.411566,2,0.0
-14.029593,985,94.663815,1,0.0
-24.615303,991,97.766511,1,0.0
12.170781,740,101.323107,2,0.0
20.284206,1036,104.648779,2,0.0
-1.968035,1089,108.087608,2,0.0
-32.367804,777,109.680296,1,0.0
-35.324916,550,110.417331,1,0.0
14.246799,1254,112.56688,2,0.0
11.535995,665,113.487554,2,0.0
13.696523,587,114.308017,2,0.0
18.991025,801,115.467326,2,0.0
-27.293172,456,116.133919,1,0.0
35.044682,876,117.50861,2,0.0
-0.042095,626,118.600929,2,0.0
9.429036,938,120.02577,2,0.0
8.282038,818,121.188171,2,0.0
-26.970092,316,121.587231,1,0.0
21.212253,639,122.432076,2,0.0
8.070571,947,123.847578,2,0.0
4.841834,753,124.922207,2,0.0
12.271157,759,126.052233,2,0.0
4.879187,546,126.84853,2,0.0
15.674897,809,128.003399,2,0.0
-4.223086,493,128.807094,2,0.0
6.556256,678,129.825253,2,0.0
21.622428,1152,137.573139,2,0.0
9.473339,716,138.626642,2,0.0
-27.922727,1241,140.571932,1,0.0
0.059297,556,141.396669,2,0.0
22.962415,1343,143.299016,2,0.0
12.652366,748,144.375453,2,0.0
32.942846,1236,146.324825,2,0.0
-22.954067,547,147.021687,1,0.0
-32.48497,700,148.129756,1,0.0
-25.762289,615,149.029368,1,0.0
-2.866953,1773,151.799684,2,0.0
-1.488065,833,152.984715,2,0.0
-2.2254,1397,154.874016,2,0.0
-7.730083,1017,156.271959,2,0.0
16.098137,784,157.32676,2,0.0
-28.81757,528,158.05423,1,0.0
14.693184,1231,159.754324,2,0.0
-16.842034,539,160.642448,1,0.0
5.034542,1136,162.253604,2,0.0
-1.840807,845,163.59505,2,0.0
10.146837,642,164.657383,2,0.0
12.347832,997,166.113369,2,0.0
13.872366,778,167.230443,2,0.0
18.513662,977,168.579061,2,0.0
19.5346,967,169.918271,2,0.0
22.406004,883,171.350386,2,0.0
15.483905,1012,178.799362,2,0.0
-0.449696,426,179.457256,2,0.0
-27.958364,1334,181.511276,1,0.0
-0.129014,665,182.640349,2,0.0
-5.724403,935,184.082252,2,0.0
-27.621487,428,184.861556,1,0.0
-43.842873,1743,187.86933,1,0.0
-1.246132,752,189.176207,2,0.0
-29.31965,488,189.891001,1,0.0
1.292799,1065,191.77194,2,0.0
55.944437,1198,193.781524,3,0.0
-2.177761,1155,195.814561,2,0.0
25.011427,814,197.184396,2,0.0
16.538588,895,198.67072,2,0.0
9.74346,679,199.828151,2,0.0
0.666944,709,200.893045,2,0.0
-21.32356,823,202.241288,1,0.0
16.707112,1410,204.58345,2,0.0
-0.202274,793,205.692646,2,0.0
