#{"t_start": 1787940544.450922, "env_id": "None"}
r,l,t,phase,player_health
-69.837956,1171,2.766387,1,0.0
-49.082313,822,3.54963,2,0.0
-44.018559,493,4.060089,3,0.0
-53.987098,646,4.681391,3,0.0
-84.374331,1800,7.064816,2,30.0
-83.916495,1800,9.114463,1,72.0
-55.807556,1800,11.003397,1,86.0
-58.445696,704,11.637945,2,0.0
-21.492433,1341,26.354423,2,0.0
-18.500563,843,28.221051,3,0.0
-41.848212,288,28.816255,3,0.0
4.691707,424,29.608164,2,0.0
-28.942352,555,30.784247,3,0.0
-26.957059,1353,33.345222,2,0.0
-2.37921,802,35.171299,3,0.0
17.139032,897,36.874546,3,0.0
16.027199,669,38.082927,2,0.0
-4.547497,643,39.422509,3,0.0
-1.3929,836,41.203088,3,0.0
-25.444741,539,42.315562,2,0.0
32.362318,985,44.210718,3,0.0
-4.035477,953,60.7463,4,0.0
4.906326,824,62.535928,3,0.0
-57.385403,645,64.117152,3,0.0
-5.220077,1217,66.44656,2,0.0
-39.607674,433,67.33739,2,0.0
18.628445,1167,69.926961,3,0.0
-4.312263,941,71.927141,2,0.0
-41.220362,396,72.683538,2,0.0
37.842101,1038,74.73983,3,0.0
-39.249222,339,75.476345,3,0.0
6.284504,690,76.846143,2,0.0
27.783345,1102,79.107675,3,0.0
-35.546781,454,79.999779,1,0.0
-20.929257,623,92.090245,3,0.0
6.905952,730,93.668558,2,0.0
-34.292779,575,94.878941,3,0.0
-6.196209,1161,97.009648,3,0.0
3.811319,532,97.98306,3,0.0
-29.451497,593,99.306211,3,0.0
4.728541,604,100.670116,3,0.0
-1.601264,1020,102.955585,3,0.0
-44.946764,424,103.887751,2,0.0
-24.069705,726,105.646909,3,0.0
-9.532273,555,106.705996,2,0.0
-35.323243,811,108.611524,3,0.0
-6.961775,724,110.287235,3,0.0
14.171704,999,112.378858,3,0.0
-37.3449,354,124.514647,3,0.0
-40.452347,304,125.166738,3,0.0
-5.345431,638,126.380174,2,0.0
-20.882757,1039,128.889173,4,0.0
-40.902366,623,130.361519,2,0.0
-38.833863,428,131.211162,1,0.0
-30.150596,330,131.947928,3,0.0
15.890187,656,133.290185,3,0.0
-29.632677,523,134.48296,3,0.0
-0.907456,825,136.15776,3,0.0
-21.365023,701,137.68941,2,0.0
-4.454908,1050,139.720182,2,0.0
-2.993169,879,141.543399,2,0.0
4.093557,1121,143.930121,2,0.0
-35.156759,498,145.094603,3,0.0
-25.688752,666,157.548529,2,0.0
-15.154971,751,159.150051,3,0.0
30.486894,1363,161.928757,3,0.0
-5.283366,752,163.261206,2,0.0
-11.439448,732,164.814319,3,0.0
-6.50859,928,166.80342,3,0.0
-5.849647,779,168.450712,2,0.0
-6.805572,829,170.091707,2,0.0
-51.163682,651,171.599034,3,0.0
-13.875385,392,172.316635,2,0.0
13.3444,874,174.03345,2,0.0
-36.24533,409,175.133224,3,0.0
-6.542079,843,177.042317,3,0.0
5.835774,799,191.562287,2,0.0
-43.544802,465,192.548889,2,0.0
-38.168903,468,193.529931,3,0.0
-13.27659,695,195.059143,3,0.0
45.072843,1345,198.129172,3,0.0
-6.350993,723,199.717339,3,0.0
-18.603194,790,201.630477,3,0.0
3.518594,741,203.160676,3,0.0
-17.710804,559,204.439619,2,0.0
-13.253801,759,206.055195,2,0.0
1.034144,870,207.949317,2,0.0
-43.274673,619,209.342279,2,0.0
-38.386218,392,210.154805,2,0.0
-37.595455,403,211.271285,2,0.0
-3.142824,750,224.496103,3,0.0
-21.442495,701,226.049415,3,0.0
-41.429935,322,226.732021,2,0.0
-32.28888,440,227.62573,3,0.0
-11.364694,582,228.817032,2,0.0
-17.257674,865,230.625178,2,0.0
-28.329908,663,232.036029,2,0.0
11.78468,868,233.544655,2,0.0
-23.602522,833,235.203866,2,0.0
-22.633447,602,236.566921,2,0.0
-36.610713,401,237.440707,2,0.0
-27.483877,892,239.388235,2,0.0
-107.819432,1702,244.547689,3,0.0
-44.281658,644,245.840417,2,0.0
-38.882233,401,246.666647,3,0.0
-26.585128,454,261.436003,3,0.0
-19.233857,809,263.499697,3,0.0
-29.064673,790,265.362995,3,0.0
-38.612005,324,266.077211,3,0.0
-6.604855,905,268.190129,2,0.0
-34.727549,501,269.251058,3,0.0
-39.013687,359,269.994714,3,0.0
5.345087,1029,272.132264,2,0.0
-7.594536,874,273.872789,2,0.0
-28.480145,793,275.815238,2,0.0
-30.465002,418,276.692894,2,0.0
4.303185,691,278.254823,3,0.0
-24.499551,432,279.225867,3,0.0
-35.270293,444,280.173733,2,0.0
-42.200407,332,280.830949,3,0.0
-41.18681,510,281.860421,3,0.0
-38.551165,424,296.472845,2,0.0
-35.877054,456,297.326788,2,0.0
-42.066594,472,298.400109,2,0.0
2.801989,903,300.455818,2,0.0
-39.349447,410,301.510072,3,0.0
-3.947124,678,302.939328,2,0.0
-31.805515,700,304.606985,3,0.0
-51.979437,416,305.547119,2,0.0
33.795955,1053,307.742399,3,0.0
-29.187555,528,308.965939,2,0.0
-35.599265,578,310.305232,3,0.0
30.683573,911,312.122924,3,0.0
-27.382248,464,313.038881,3,0.0
9.50887,839,314.781124,2,0.0
3.180181,753,316.421955,2,0.0
