#{"t_start": 1787936468.7641954, "env_id": "None"}
r,l,t,phase,player_health
-58.449632,517,2.113595,3,0.0
-45.393314,366,2.384878,3,0.0
-37.547334,422,2.675846,3,0.0
-43.090754,568,3.132219,3,0.0
-55.4228,506,3.586146,3,0.0
-51.602875,425,3.924995,3,0.0
-34.681188,434,4.210945,2,0.0
-42.39066,336,4.427371,2,0.0
-67.608451,735,5.148728,2,0.0
-63.657661,1528,6.298673,1,0.0
-22.890928,441,6.68223,2,0.0
-55.270457,430,7.021523,3,0.0
-52.801499,883,7.622057,1,0.0
-57.569422,532,8.058225,3,0.0
-54.588353,843,8.728377,3,0.0
-50.121565,567,9.02884,1,0.0
-49.233166,635,9.708147,2,0.0
-14.53009,869,11.362728,2,0.0
-14.670334,505,12.550114,3,0.0
43.799674,1085,14.595651,3,0.0
-18.624316,752,16.00498,2,0.0
-15.749044,729,17.4605,3,0.0
-34.604716,364,18.222913,3,0.0
1.848057,675,34.839648,2,0.0
20.539953,869,36.948707,3,0.0
42.984264,1668,40.257746,3,0.0
7.801837,880,42.254745,4,0.0
42.088943,1343,44.639771,3,0.0
31.451865,912,46.652165,4,0.0
-11.625635,348,47.396538,3,0.0
18.831002,860,49.25575,3,0.0
17.98023,1137,51.576684,3,0.0
14.588153,615,52.901241,3,0.0
-16.737898,492,54.108728,3,0.0
-25.527386,302,54.831282,3,0.0
12.27155,663,56.372094,2,0.0
27.675354,787,58.11471,2,0.0
-2.883268,934,60.260816,3,0.0
-17.854258,614,61.502358,3,0.0
22.131761,782,63.30875,3,0.0
20.941136,913,66.045373,2,0.0
15.154643,829,79.14236,3,0.0
-5.864138,713,80.9096,3,0.0
-39.165613,306,81.512156,3,0.0
6.077136,1147,83.585672,2,0.0
-12.166638,588,84.840525,3,0.0
-11.767482,423,85.707474,3,0.0
-3.734983,681,87.124749,3,0.0
-11.310901,525,88.616958,3,0.0
56.668217,1103,90.888652,3,0.0
1.486537,727,92.688921,3,0.0
9.960517,762,94.396033,2,0.0
-10.4633,430,95.323362,3,0.0
-32.021284,337,96.032018,3,0.0
26.628974,1024,98.120019,3,0.0
-17.594058,591,99.424299,3,0.0
-20.940286,514,100.494804,3,0.0
-23.447829,432,101.370718,3,0.0
-10.558034,324,101.995477,2,0.0
16.450708,1118,104.026025,2,0.0
-4.875654,1274,106.731242,2,0.0
50.222787,1046,109.323565,3,0.0
-27.252451,305,110.106771,3,0.0
-21.432238,324,110.867252,3,0.0
