#{"t_start": 1787922418.9066525, "env_id": "None"}
r,l,t,phase,player_health
-58.555986,705,2.141075,1,0.0
-31.704333,580,2.448233,1,0.0
-58.442844,661,2.852194,1,0.0
-47.682242,535,3.266846,1,0.0
-47.410069,447,3.525281,1,0.0
-49.983318,958,4.085018,1,0.0
-41.790296,472,4.43369,1,0.0
-42.914736,650,4.807821,1,0.0
-48.958553,830,5.222227,1,0.0
-57.296657,624,5.691494,1,0.0
-50.837027,708,6.080724,1,0.0
-53.3095,502,6.425785,1,0.0
-42.958404,453,6.689555,1,0.0
-37.370108,621,7.06453,1,0.0
-43.515766,1036,7.551852,1,0.0
13.851904,1117,9.649922,3,0.0
9.560165,1459,12.387532,2,0.0
6.926808,1410,14.808085,2,0.0
53.294077,939,16.500618,3,0.0
43.03552,1372,19.163426,3,0.0
57.43033,1020,20.873662,3,0.0
40.614616,946,22.484367,3,0.0
47.713877,1136,24.685171,3,0.0
21.87768,1466,38.541118,2,0.0
52.386395,873,40.15975,3,0.0
26.152691,904,41.895907,2,0.0
19.493036,993,43.779549,2,0.0
11.949546,1226,45.946521,2,0.0
34.829319,1675,49.156145,3,0.0
5.18222,450,49.921388,2,0.0
45.13592,1010,51.958776,3,0.0
-6.187964,1108,53.82234,2,0.0
26.235829,743,55.219496,2,0.0
4.903218,664,56.506416,2,0.0
75.903302,1262,58.646045,3,0.0
11.983011,563,59.595392,2,0.0
39.853,867,61.208241,3,0.0
24.70979,874,63.040518,2,0.0
39.212499,1428,65.704551,3,0.0
1.741457,860,67.309377,2,0.0
3.947338,543,68.311261,2,0.0
26.552821,1225,70.655053,3,0.0
3.281416,541,71.922275,2,0.0
40.684613,892,73.79451,3,0.0
48.230809,1483,87.188902,3,0.0
47.533168,795,88.745771,3,0.0
-2.995841,492,89.598193,2,0.0
13.741351,704,90.896656,2,0.0
-0.257665,359,91.505912,2,0.0
14.549485,513,92.429111,2,0.0
0.423185,665,93.674617,2,0.0
13.249853,906,95.115326,2,0.0
-1.524156,457,95.959319,2,0.0
29.157914,1513,98.843934,3,0.0
8.224729,882,100.601114,2,0.0
39.57899,783,102.098388,3,0.0
55.511831,1210,103.991874,3,0.0
14.098932,1023,105.853313,2,0.0
2.226975,638,107.125836,2,0.0
67.679679,1598,110.17027,3,0.0
33.499669,1051,112.104124,3,0.0
42.209796,1126,114.166418,3,0.0
48.578944,1155,116.251371,3,0.0
35.232876,1507,119.248364,3,0.0
34.221054,1155,121.292092,3,0.0
24.052878,1061,132.909176,2,0.0
27.849122,718,134.127359,2,0.0
21.967459,805,135.574486,2,0.0
20.627717,810,136.9896,2,0.0
32.504043,838,138.415059,2,0.0
17.035406,1006,140.461967,2,0.0
49.503524,997,142.23625,3,0.0
4.249674,1385,144.825993,2,0.0
52.8642,1204,147.179439,3,0.0
1.975795,804,148.560212,2,0.0
45.174304,1054,150.560094,3,0.0
27.171615,890,152.177961,2,0.0
42.353649,1012,154.064606,3,0.0
