#{"t_start": 1787898968.8454773, "env_id": "None"}
r,l,t,phase,player_health
-14.855,745,1.227594,1,0.0
-25.208,392,1.282034,1,0.0
-25.16,440,1.3418,1,0.0
-24.842,758,1.443021,1,0.0
-25.208,392,1.499849,1,0.0
-25.192,408,1.550841,1,0.0
-25.174,426,1.598469,1,0.0
-24.869,731,1.691435,1,0.0
-24.842,758,1.87273,1,0.0
-25.023,577,2.36337,1,0.0
-25.213,387,2.656881,1,0.0
-24.968,632,3.164601,1,0.0
-25.074,526,3.59657,1,0.0
-23.081,519,3.98164,1,0.0
-24.94,660,4.499624,1,0.0
-24.796,804,5.218706,1,0.0
-25.135,465,5.594486,1,0.0
-25.187,413,5.946641,1,0.0
-24.906,694,6.485424,1,0.0
-25.036,564,6.952648,1,0.0
-25.103,497,7.317759,1,0.0
-25.034,566,7.786397,1,0.0
-24.915,685,8.388743,1,0.0
-25.153,447,8.713186,1,0.0
-25.046,554,9.191302,1,0.0
-17.201,399,9.543161,1,0.0
-17.093,507,10.051338,1,0.0
-24.572,1028,10.86855,1,0.0
-25.198,402,11.2035,1,0.0
-25.025,575,11.68064,1,0.0
-24.851,749,12.305082,1,0.0
-25.054,546,12.738089,1,0.0
-16.98,620,13.223344,1,0.0
-25.195,405,13.517216,1,0.0
-24.862,738,14.146221,1,0.0
-25.137,463,14.543953,1,0.0
-24.803,797,15.181399,1,0.0
-24.812,788,15.889157,1,0.0
-23.116,484,16.310708,1,0.0
-25.095,505,16.675096,1,0.0
-24.971,629,17.17033,1,0.0
-25.133,467,17.588731,1,0.0
-25.085,515,18.02426,1,0.0
-24.921,679,19.34255,1,0.0
-25.219,381,19.631971,1,0.0
-24.905,695,20.265193,1,0.0
-25.153,447,20.654913,1,0.0
-23.086,514,21.097916,1,0.0
-24.894,706,21.695849,1,0.0
-24.972,628,22.230266,1,0.0
-17.023,577,22.643699,1,0.0
-24.836,764,23.240278,1,0.0
-16.778,822,23.866355,1,0.0
-24.914,686,24.409957,1,0.0
-24.994,606,24.889951,1,0.0
-22.706,894,25.69562,1,0.0
-25.031,569,26.189796,1,0.0
-24.773,827,26.900091,1,0.0
-24.757,843,27.639566,1,0.0
-24.957,643,28.139147,1,0.0
-24.762,838,28.768947,1,0.0
-16.934,666,29.367454,1,0.0
-15.106,494,29.75693,1,0.0
-23.122,478,30.194348,1,0.0
-21.036,564,30.749778,1,0.0
-24.922,678,31.297771,1,0.0
-24.707,893,32.071791,1,0.0
-15.098,502,32.48255,1,0.0
-24.885,715,33.078321,1,0.0
-24.9,700,33.682769,1,0.0
-25.22,380,34.035205,1,0.0
-25.237,363,34.333417,1,0.0
-24.706,894,35.13487,1,0.0
-23.133,467,35.537058,1,0.0
-24.808,792,36.238268,1,0.0
